id,first_name,last_name,country,age,birth_year,height,weight
13600,Ismail,Ozturk,TUR,24,1996,,
13601,Mirac,Gulrenk,TUR,20,2000,,
13602,Nurhak,Tekin,TUR,21,1999,,
13604,Mustafa Onur,Catak,TUR,23,1997,,
13606,Cihan,Aknci,TUR,21,1998,,
13607,Ahmet Yusuf,Kilic,TUR,20,2000,,
13609,Bharath,Pereira,IND,20,2000,,
13610,Oda,Aagaard Lauridsen,DEN,18,2001,,
13613,Yana,Zdyr,UKR,19,2000,,
13614,Viktorija,Nieizvestna,UKR,20,2000,,
13615,Anton,Borozenets,UKR,20,1999,,
13616,Yaroslav,Tkach,UKR,18,2001,,
13617,Mykhailo,Tkachov,UKR,19,2001,,
13618,Dmytro,Byelik,UKR,21,1999,,
13619,Leonid,Osadchyi,UKR,19,2001,,
13620,Daria,Ustynova,UKR,19,2001,,
13621,Anastasiia,Fesenko,UKR,19,2001,,
13622,Pavlo,Bozhko,UKR,21,1999,,
13623,Artem,Maniakin,UKR,19,2001,,
13624,Pawel,Jelonek,POL,30,1990,,
13627,Vadym,Cherniavskyi,UKR,19,2001,,
13630,Sandro,Liparteliani,GEO,22,1998,,
13639,Elena,Ivanova,BUL,27,1993,,
13642,Marine,Girardet,FRA,26,1993,,
13645,Linda,Gaspari,ITA,28,1991,,
13648,Milena,Poniewozik,POL,28,1992,,
13651,Zuzana,Banaś,POL,36,1983,,
13654,Olga,Fedyuk,POR,28,1992,,
13657,Ana,Faria,POR,27,1992,,
13660,Vânia,Sousa,POR,29,1991,,
13663,Joana,Pereira,POR,28,1992,,
13669,Tetiana,Kolkotina,UKR,28,1992,,
13681,Efthymia,Moutafidou,GRE,20,2000,,
13684,Theocharis,Papadimitriou,GRE,19,2001,,
13687,Ilia,Vatahov,BUL,28,1992,,
13690,Ivan,Stoyanov,BUL,30,1990,,
13693,Rosen,Anachkov,BUL,28,1992,,
13696,Patrik,Vaníček,CZE,27,1993,,
13699,Ondřej,Bufka,CZE,30,1990,,
13702,Sam,Williams,GBR,26,1993,,
13705,Luca,Moroni,ITA,26,1994,,
13708,Ilya,Frolov,LTU,26,1994,,
13711,Šarūnas,Paplauskas,LTU,28,1991,,
13714,Konrad,Janek,POL,26,1993,,
13717,Rafał,Hałasa,POL,26,1994,,
13720,Andrzej,Mazurkiewicz,POL,33,1987,,
13723,Marcin,Berger,POL,34,1986,,
13729,Karol,Kowalczyk,POL,28,1992,,
13732,Piotr,Ginszt,POL,32,1988,,
13735,Mikołaj,Mielczarek,POL,29,1990,,
13738,Ricardo,Sacramento,POR,33,1987,,
13741,António,Silva,POR,31,1989,,
13744,Cédric,Figueiredo,POR,30,1990,,
13747,João,Gomes,POR,25,1995,,
13750, João Francisco,Dias Sabugueiro,POR,24,1995,,
13753,Manuel Filipe,Carvalho,POR,32,1988,,
13756,Pedro Miguel Gaspar,Melão,POR,27,1993,,
13762,Ihor,Tiapkin,UKR,33,1987,,
13765,Ali,Sen,TUR,30,1990,,
13768,Francesco,Bosco,ITA,23,1997,,
13777,Maria del Carmen ,Martinez ,MEX,31,1989,,
13780,Homare,Toda,JPN,21,1999,,
13783,Martin,Minárik,SVK,20,2000,,
13786,Peter,Kuric,SVK,19,2001,,
13789,Elias,Moser,AUT,23,1997,,
13792,Jan Eivind,Danielsen,NOR,45,1975,,
13795,Charalampos,Gemenetzi,CYP,36,1983,,
13798,Michalis,Ioannou,CYP,34,1986,,
13801,Karoly-Csaba,Szocs,ROU,38,1982,,
13804,Anastasia,Roygbaum,RUS,20,2000,,
13807,Darina,Galaganova,RUS,19,2001,,
13810,Maria,Sarsadskikh,RUS,23,1997,,
13813,Grigorii,Pestov,RUS,20,2000,,
13816,Marat,Rakhmatullin,RUS,20,2000,,
13819,Aleksandr,Bobylev,RUS,19,2001,,
13825,Andrew,Mawhinney,IRL,23,1996,,
13828,Viktor,Bariakhtar ,RUS,23,1997,,
13831,Constantin,Toma,ROU,21,1999,,
13834,Robert,Santha,ROU,20,2000,,
13837,Radu,Patrascoiu,ROU,20,2000,,
13843,Anton,Kukhar,UKR,34,1985,,
13846,Baris,Guvenc,TUR,37,1982,,
13852,Efe Can,Sevil,TUR,34,1986,,
13858,Irina,Sabitova,RUS,22,1998,,
13861,Stepan,Prostakov,RUS,21,1998,,
13864,Andrei,Iurchuk,RUS,22,1998,,
13867,Vladislav,Shevchenko,RUS,22,1998,,
13870,Rogelio,Amil,ARG,30,1990,,
13873,Inga,Patarcic,CRO,31,1989,,
13876,Lauren,Bair,USA,19,2001,,
13879,Nilo,Batle,USA,22,1998,,
13882,Noah,Bratschi,USA,20,2000,,
13885,Eric,Brem,USA,20,2000,,
13888,Dalton,Bunker,USA,23,1997,,
13891,Victoria,Clarke,USA,23,1997,,
13894,Joseph,Diaz,USA,23,1996,,
