,athlete_id,rank,year,title,date,comp_id,cat_id,type
72,1300,3,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
73,1340,4,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
74,1323,5,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
75,1213,6,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
76,1002,7,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
77,1050,8,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
78,986,9,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
79,1154,10,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
80,1391,11,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
81,990,12,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
82,1053,13,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
83,1157,14,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
84,1128,15,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
85,1112,16,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
86,1160,17,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
87,1316,18,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
88,1301,18,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
89,1249,20,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
90,1173,21,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
91,1263,21,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
92,1399,23,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
93,1077,24,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
94,1231,25,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
95,1266,25,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
96,1315,27,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
97,1099,27,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
98,1039,27,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
99,1155,30,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
100,1152,31,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
101,1251,31,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
102,1379,31,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
103,1221,31,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
104,1320,35,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
105,1188,35,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
106,1008,35,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
107,1261,35,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
108,1079,35,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
109,1356,35,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
110,1040,35,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
111,1071,35,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
112,1057,43,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
113,1134,44,1991,uiaa worldcup - wien 1991,26 April 1991,85,2,lead
114,266,1,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
115,202,2,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
116,232,3,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
117,845,4,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
118,273,5,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
119,219,6,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
120,461,7,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
121,268,8,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
122,733,9,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
123,842,10,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
124,753,11,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
125,299,12,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
126,811,13,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
127,275,14,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
128,789,15,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
129,678,16,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
130,792,16,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
131,409,18,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
132,971,19,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
133,884,19,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
134,20,21,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
135,709,22,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
136,514,23,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
137,454,24,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
138,734,25,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
139,914,25,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
140,556,27,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
141,798,28,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
142,412,29,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
143,48,29,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
144,748,29,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
145,817,32,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
146,5,33,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
147,432,34,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
148,344,35,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
149,41,36,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
150,546,37,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
151,29,37,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
152,405,39,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
153,596,39,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
154,109,41,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
155,26,42,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
156,65,42,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
157,602,44,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
158,501,45,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
159,503,45,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
160,330,47,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
161,938,47,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
162,577,47,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
163,940,47,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
164,778,47,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
165,223,52,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
166,331,53,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
167,35,53,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
168,910,55,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
169,835,56,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
170,774,56,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
171,915,58,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
172,347,58,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
173,502,58,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
174,849,61,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
175,314,62,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
176,815,63,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
177,486,64,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
178,471,65,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
179,177,66,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
180,565,67,1991,uiaa worldcup - clusone 1991,30 August 1991,81,1,lead
181,1340,1,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
182,1163,2,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
183,1213,3,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
184,990,4,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
185,1323,5,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
186,1154,6,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
187,1045,7,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
188,1391,7,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
189,1157,7,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
190,1002,7,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
191,1112,11,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
