,ID,Name,Dates,day_maybe,month,year
298,1421,European Youth Cup (B) - Grindelwald (SUI) 2012,2  - 3 Juni 2012,2  - 3,6,2012
299,5240,Deutsche Jugendmeisterschaft - Wuppertal 2011,3  - 4 Dezember 2011,3  - 4,12,2011
300,5385,17. offene Rheinland-Pfalz-Meisterschaft - Pfalz Rock Frankenthal 2013 (L),20 April 2013,20,4,2013
301,5384,2. Offene Rheinland-Pfalz-Meisterschaft Bouldern - Rocktown Kaiserslautern 2013,16 März 2013,16,3,2013
302,5317,Rheinland-Pfalz-Cup Lead - Pfalzrock Frankenthal 2012,23 Juni 2012,23,6,2012
303,5681,"Deutscher Bouldercup (DBC) 2016 - Köln, Stuntwerk",9 April 2016,9,4,2016
304,5678,"Deutscher Bouldercup (DBC) 2016 - Hannover, abf Messe",6 Februar 2016,6,2,2016
305,5432, 2. Wettkampf zum Sächsischen Jugendcup und Landesmeisterschaft 2013 Dresden,9 November 2013,9,11,2013
306,5411,Landesjugendspiele - Sächsische Bouldermeisterschaft Teil 1,6 Juli 2013,6,7,2013
307,5419,1. Wettkampf zum Sächsischen Jugendcup 2013 in Leipzig,1 Juni 2013,1,6,2013
308,5437,Sächsischen Bouldermeisterschaft Teil 2 Jugend A-F in Leipzig ,23 November 2013,23,11,2013
309,5513,Offene Sächsische/Berliner Meisterschaft Lead in Berlin,27 September 2014,27,9,2014
310,5450,Deutsche Meisterschaft Bouldern - Friedrichshafen 2014,11  - 12 Juli 2014,11  - 12,7,2014
311,5365,Deutscher Leadcup - Kempten 2013,22 Juni 2013,22,6,2013
312,5361,Deutscher Bouldercup - München 2013,2  - 3 Februar 2013,2  - 3,2,2013
313,5290,Deutscher Speedcup - Friedrichshafen 2012,14 Juli 2012,14,7,2012
314,5316,Deutscher Speedcup - Balingen 2012,5 Mai 2012,5,5,2012
315,6309,Bächli Swiss Climbing Cup BSCC 2017 (Lead) - SAC Lead-Schweizermeisterschaft Griffig Uster ,28 Oktober 2017,28,10,2017
316,6301,Bächli Swiss Climbing Cup BSCC 2017 (Lead) - O'Bloc Ostermundigen,17 Juni 2017,17,6,2017
317,5750,European Youth Cup (B) - L'Argentière (FRA) 2016 ,26  - 27 Juli 2016,26  - 27,7,2016
318,1600,European Youth Cup (L) - Imst (AUT) 2015,30  - 31 Mai 2015,30  - 31,5,2015
319,1599,European Youth Cup (L) - Dornbirn (AUT) 2015 ,9  - 10 Mai 2015,9  - 10,5,2015
320,5764,2. Bayerischer Jugendcup Bouldern - Regensburg 2016,23 April 2016,23,4,2016
321,5283,Deutscher Bouldercup - Überlingen 2012,4 August 2012,4,8,2012
322,5228,Deutscher Bouldercup - Überlingen 2011,9 Juli 2011,9,7,2011
323,5797,3. Bayerischer Jugendcup Lead- Berchtesgaden,11 Juni 2016,11,6,2016
324,5220,Bächli Swiss Climbing Cup BSCC (S) - Züspa,1 Oktober 2011,1,10,2011
325,5557,2. Mammut Blacklight Boulder Challenge - St. Gallen (Rheintal Cup U18),14 Februar 2015,14,2,2015
326,5352,Bächli Swiss Climbing Cup BSCC +SM (S) - Züspa Zürich,28 September 2013,28,9,2013
327,5351,Bächli Swiss Climbing Cup BSCC + SM (L) - Niederwangen,22 Juni 2013,22,6,2013
328,5349,Bächli Swiss Climbing Cup BSCC / Bodensee Climbing Trophy (L) - Dornbirn (AUT),23 März 2013,23,3,2013
329,5602,Bächli Swiss Climbing Cup BSCC 2015 (B) - SAC Boulder-Schweizermeisterschaft Zürich,9 Mai 2015,9,5,2015
330,5559,Bächli Swiss Climbing Cup BSCC 2015 (B) - Pratteln,18 April 2015,18,4,2015
331,5562,Bächli Swiss Climbing Cup BSCC 2015 (L) - Saxon,19 September 2015,19,9,2015
332,5561,Bächli Swiss Climbing Cup BSCC 2015 (L) - SAC Lead-Schweizermeisterschaft Niederwangen,20 Juni 2015,20,6,2015
333,5834,"Offene Sächsische Landesmeisterschaft Bouldern in Dresden, Senioren, Jugend A/B/C",22 Oktober 2016,22,10,2016
334,5645,Sächsischer Kinder- und Jugendcup Lead 2015 Teil 2,7 November 2015,7,11,2015
335,5634,Offene Sächsische/Berliner Meisterschaft Bouldern in Berlin,13 Juni 2015,13,6,2015
336,5577,Deutsche Meisterschaft Speed - Zürich ZÜSPA,3 Oktober 2015,3,10,2015
337,5643,Westdeutsche Meisterschaft Lead 2015,27 September 2015,27,9,2015
338,5552,"RockTown ""Originals"" 2014",6 Dezember 2014,6,12,2014
339,5510,Westdeutsche Meisterschaft Lead 2014,22 November 2014,22,11,2014
340,8346,BaWü Meisterschaft Bouldern - München FREE i.R.d.Süddeutschen Meisterschaft Bouldern,23 Februar 2019,23,2,2019
341,7362,Deutsche Meisterschaft Lead 2018 - Darmstadt,10 November 2018,10,11,2018
342,7809,BaWü Meisterschaft Lead - Heilbronn 2018,15 September 2018,15,9,2018
343,7547,BaWü Meisterschaft Bouldern - Tübingen,3 März 2018,3,3,2018
344,6765,BaWü Meisterschaft Lead - Neu-Ulm,24 September 2017,24,9,2017
345,7538,BaWü Meisterschaft Bouldern 2017 - München,25 Februar 2017,25,2,2017
346,6737,BaWü Meisterschaft Lead - Heilbronn,15 September 2017,15,9,2017
347,5861,BaWü Meisterschaft Lead - Reutlingen,17 Juli 2016,17,7,2016
348,5855,Offener BaWü Jugendcup/ Meisterschaft Bouldern - Heilbronn 2016,30 April 2016,30,4,2016
349,5638,BaWü Jugendcup Lead - Offenburg,25 Juli 2015,25,7,2015
350,5586,BaWü Jugendcup Bouldern Tübingen,7 Februar 2015,7,2,2015
351,5636,BaWü Jugendcup Lead - Freiburg,20 Juni 2015,20,6,2015
352,5537,BaWü Jugendcup Lead Offenburg,26 Juli 2014,26,7,2014
353,5536,BaWü Jugendcup Lead Reutlingen,19 Juli 2014,19,7,2014
354,5424,BaWü Jugendcup Lead Offenburg,20 Juli 2013,20,7,2013
355,5363,Deutscher Bouldercup - Friedrichshafen 2013,12  - 13 Juli 2013,12  - 13,7,2013
356,5362,Deutscher Bouldercup - Auerbach 2013,15 Juni 2013,15,6,2013
357,5236,Deutscher Speedcup - Friedrichshafen 2011,16 Juli 2011,16,7,2011
358,5229,Deutscher Speedcup - Überlingen 2011,8 Juli 2011,8,7,2011
359,5253,Deutscher Speedcup - München 2011,3 Juli 2011,3,7,2011
360,5501,Norddeutsche Meisterschaft (Bouldern) - Braunschweig 2014,22 Februar 2014,22,2,2014
361,5254,Deutsche Jugendmeisterschaft Speed - Friedrichshafen 2011,16 Juli 2011,16,7,2011
362,5794,4. Bayerischer Jugendcup Speed - Berchtesgaden,12 Juni 2016,12,6,2016
363,5717,DAV Jugendcup (S) 2016 - Berchtesgaden,12 Juni 2016,12,6,2016
364,5575,"Deutscher Leadcup (DLC) 2015 - Frankenthal, Pfalz Rock",11 Oktober 2015,11,10,2015
365,5659,Offene Norddeutsche Meisterschaft - Lead 2015 in Lübeck,31 Oktober 2015,31,10,2015
366,5624,Norddeutsche Meisterschaft Bouldern - Hamburg 2015,25 April 2015,25,4,2015
367,5389,Norddeutsche Meisterschaft (Lead) - Hamburg 2013,14 April 2013,14,4,2013
368,8241,Zürcher Klettermeisterschaft 2019 (Lead) - 6a plus Winterthur,14 September 2019,14,9,2019
369,7986,European Youth Cup (B) - Soure (POR) 2019,27  - 28 April 2019,27  - 28,4,2019
370,7236,European Youth Cup (B) - Delft (NED) 2018 ,2  - 3 Juni 2018,2  - 3,6,2018
371,7227,European Youth Cup (B) - Soure (POR) 2018 ,5  - 6 Mai 2018,5  - 6,5,2018
372,7224,"European Youth Cup (L,S) - Voiron (FRA) 2018 ",7  - 8 April 2018,7  - 8,4,2018
373,10791,BaWü Meisterschaft Bouldern - Waiblingen i.R.d.Süddeutschen Meisterschaft Bouldern,12 September 2020,12,9,2020
374,10721,Süddeutsche Meisterschaft Bouldern Active Garden Waiblingen,12 September 2020,12,9,2020
375,8452,Deutsche Meisterschaft Lead 2019 - Hilden,9 November 2019,9,11,2019
376,8289,BaWü Meisterschaft Lead/Speed im Rahmen der Süddeutschen Meisterschaft Augsburg 2019,6 Juli 2019,6,7,2019
377,8214,Süddeutsche Meisterschaft Lead LLZ Augsburg ,6 Juli 2019,6,7,2019
378,8223,Süddeutsche Meisterschaft Speed LLZ Augsburg ,6 Juli 2019,6,7,2019
379,7532,BaWü Jugendcup Lead - Heilbronn,16 September 2018,16,9,2018
380,7541,BaWü Jugendcup Speed - Heilbronn,16 September 2018,16,9,2018
381,7273,Deutsche Meisterschaft Olympic Combined 2018 - Augsburg,14  - 15 Juli 2018,14  - 15,7,2018
382,7270,Deutsche Meisterschaft Bouldern 2018 - Friedrichshafen,16  - 17 Juni 2018,16  - 17,6,2018
383,7529,BaWü Jugendcup Lead - Offenburg,9 Juni 2018,9,6,2018
384,7526,BaWü Jugendcup Bouldern - Stuttgart,5 Mai 2018,5,5,2018
385,7512,BaWü Jugendcup Bouldern - Tübingen,4 März 2018,4,3,2018
386,6497,BaWü Jugendcup Lead - Heilbronn,14 Oktober 2017,14,10,2017
387,6381,"Deutsche Meisterschaft Speed 2017 - Saarlouis, Rocklands Kletterzentrum",22 Juli 2017,22,7,2017
388,6761,BaWü Jugendcup Lead - Freiburg,15 Juli 2017,15,7,2017
389,6733,BaWü Jugendcup Speed - Reutlingen,9 Juli 2017,9,7,2017
390,6473,BaWü Jugendcup Bouldern - Heilbronn,11 März 2017,11,3,2017
391,6493,BaWü Jugendcup Bouldern - Tübingen,11 Februar 2017,11,2,2017
392,5693,"Deutscher Leadcup (DLC) 2016 - Neu-Ulm, Sparkassendome",11 September 2016,11,9,2016
393,5858,BaWü Jugendcup Lead - Reutlingen,16 Juli 2016,16,7,2016
394,5696,"Deutsche Meisterschaft Speed - Berchtesgaden, DAV Kletterzentrum",12 Juni 2016,12,6,2016
395,5849,BaWü Jugendcup Bouldern - Tübingen 2016,12 März 2016,12,3,2016
396,5641,BaWü-Meisterschaft (Lead) im Rahmen der Süddeutsche Meisterschaft - Neu-Ulm 2015,28 Juni 2015,28,6,2015
