ID,Name,Dates
"7291","4. Deutscher Jugendcup 2018 (S) - Dresden","24 Juni 2018"
"7288","3. Deutscher Jugendcup 2018 (L) - Dresden","23 Juni 2018"
"7282","1. Deutscher Jugendcup 2018 (B) - Düsseldorf","14 April 2018"
"6361","8. Deutscher Jugendcup  2017 (L) - Brakel, DAV Kletterzentrum OWL","7 Oktober 2017"
"6365","7. Deutscher Jugendcup 2017 (S) - Saarlouis, Rocklands Kletterzentrum","22 Juli 2017"
"6349","6. Deutscher Jugendcup 2017 (L) - Reutlingen, DAV Kletterzentrum","8 Juli 2017"
"6357","5. Deutscher Jugendcup 2017 (S) - Hilden, Bergstation","25 Juni 2017"
"6353","4. Deutscher Jugendcup 2017 (L) - Hilden, Bergstation","24 Juni 2017"
"6345","3. Deutscher Jugendcup 2017 (B) - Zweibrücken, Camp4 Kletterzentrum","20 Mai 2017"
"6341","2. Deutscher Jugendcup 2017 (B) - Hannover, escaladrome","1 April 2017"
"6337","1. Deutscher Jugendcup 2017 (B) - Dresden, Mandala","4 März 2017"
"5732","1. Bayerischer Jugendcup Bouldern - München 2016","13 Februar 2016"
"5594","3. Bayerischer Jugendcup Lead- Neu-Ulm","27 Juni 2015"
"5598","1. Bayerischer Jugendcup Bouldern - München 2015","21 Februar 2015"
"9831","1. Deutscher Jugendcup (B) 2020 - Nürnberg","29 Februar 2020"
"8078","Westdeutsche Leadmeisterschaft - Offenbach","14 September 2019"
"8437","6. Deutscher Jugendcup (L) 2019 - München ","7 September 2019"
"8434","5. Deutscher Jugendcup (S) 2019 - Duisburg","22 Juni 2019"
"8446","Deutsche Meisterschaft Speed 2019 - Duisburg","22 Juni 2019"
"8431","4. Deutscher Jugendcup (S) 2019 - Kempten","26 Mai 2019"
"8428","3. Deutscher Jugendcup (L) 2019 - Kempten","25 Mai 2019"
"8425","2. Deutscher Jugendcup (B) 2019 - Braunschweig","6 April 2019"
"8422","1. Deutscher Jugendcup (B) 2019 - Bexbach","16 März 2019"
"7285","2. Deutscher Jugendcup 2018 (B) - Nürnberg","21 April 2018"
"6551","Bayerische Jugendmeisterschaft Jugend B und C Speed- Neu-Ulm","23 September 2017"
"6523","Bayerische Jugendmeisterschaft Jugend B und C Lead - Neu-Ulm","23 September 2017"
"6511","Bayerische Jugendmeisterschaft Bouldern Jugend C und B 2017- E4 Nürnberg","29 Juli 2017"
"6894","Qualifikation Bayerische Meisterschaft Würzburg Speed","26 März 2017"
"6882","Qualifikation Bayerische Meisterschaft Würzburg Lead","26 März 2017"
"6857","Qualifikation Bayerische Meisterschaft im Rahmen des Coburger Bouldercups","11 Februar 2017"
"5800","5. Bayerischer Jugendcup Lead - Coburg","23 Juli 2016"
"5635","Race Challenge Neu-Ulm","27 Juni 2015"
"7944","IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ","11  - 13 Juli 2019"
"7941","IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019","4  - 6 Juli 2019"
"7155","IFSC Climbing Worldcup (B) - Munich (GER) 2018 ","17  - 18 August 2018"
"7152","IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ","2  - 3 Juni 2018"
"7128","IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018 ","13  - 14 April 2018"
"6198","IFSC Climbing Worldcup (B) - Munich (GER) 2017 ","18  - 19 August 2017"
"6186","IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017","12  - 13 Juli 2017"
"6194","IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017","7  - 8 Juli 2017"
"6369","Deutsche Meisterschaft Bouldern 2017 - Berlin","4  - 5 Juni 2017"
"6419","European Youth Cup (B) - Soure (POR) 2017","20  - 21 Mai 2017"
"1645","IFSC Climbing Worldcup (L) - Kranj (SLO) 2016","26  - 27 November 2016"
"1616","IFSC World Youth Championships - Guangzhou (CHN) - 2016","7  - 13 November 2016"
"1639","IFSC Climbing Worldcup (B) - Munich (GER) 2016","12  - 13 August 2016"
"5747","European Youth Cup (B) - Warsaw (POL) 2016 ","2  - 3 Juli 2016"
"5754","European Youth Cup (B) - Soure (POR) 2016","7  - 8 Mai 2016"
"1601","European Youth Cup (L) - Mitterdorf (AUT) 2015 ","8  - 9 August 2015"
"1609","European Youth Championship (L, S) - Edinburgh (GBR) 2015","12  - 14 Juni 2015"
"1544","European Youth Cup (B) - L'Argentière (FRA) 2014 ","22  - 23 Juli 2014"
"7404","Bayerische Meisterschaft Speed Heilbronn i.R.d. Regionalmeisterschaft Süd","15 September 2018"
"7401","Bayerische Meisterschaft Lead Heilbronn i.R.d. Regionalmeisterschaft Süd","15 September 2018"
"6527","Bayerische Meisterschaft Speed - Neu-Ulm","24 September 2017"
