,ID,Rank,Last Name,First Name,Points,Event,Gender,Year,country,birth_year,height,weight,age
3930,1308,24,Bibik,Olga,71.0,boulder,WOMEN,2009,RUS,1976.0,165.0,44.0,33.0
3931,1308,12,Bibik,Olga,160.0,boulder,WOMEN,2008,RUS,1976.0,165.0,44.0,32.0
3932,1308,30,Bibik,Olga,31.0,lead,WOMEN,2007,RUS,1976.0,165.0,44.0,31.0
3933,1308,29,Bibik,Olga,51.0,boulder,WOMEN,2007,RUS,1976.0,165.0,44.0,31.0
3934,1308,1,Bibik,Olga,472.0,boulder,WOMEN,2006,RUS,1976.0,165.0,44.0,30.0
3935,1308,2,Bibik,Olga,257.0,boulder,WOMEN,2005,RUS,1976.0,165.0,44.0,29.0
3936,1308,2,Bibik,Olga,359.0,boulder,WOMEN,2004,RUS,1976.0,165.0,44.0,28.0
3937,1308,22,Bibik,Olga,81.0,lead,WOMEN,2003,RUS,1976.0,165.0,44.0,27.0
3938,1308,2,Bibik,Olga,390.0,boulder,WOMEN,2003,RUS,1976.0,165.0,44.0,27.0
3939,1308,38,Bibik,Olga,18.0,lead,WOMEN,2001,RUS,1976.0,165.0,44.0,25.0
3940,1308,5,Bibik,Olga,213.0,boulder,WOMEN,2001,RUS,1976.0,165.0,44.0,25.0
3941,1308,36,Bibik,Olga,20.0,lead,WOMEN,2000,RUS,1976.0,165.0,44.0,24.0
3942,1308,6,Bibik,Olga,209.0,boulder,WOMEN,2000,RUS,1976.0,165.0,44.0,24.0
3943,1308,16,Bibik,Olga,82.0,boulder,WOMEN,1999,RUS,1976.0,165.0,44.0,23.0
3944,1308,37,Bibik,Olga,8.0,lead,WOMEN,1996,RUS,1976.0,165.0,44.0,20.0
3945,1308,31,Bibik,Olga,22.0,lead,WOMEN,1995,RUS,1976.0,165.0,44.0,19.0
3946,1308,26,Bibik,Olga,43.0,lead,WOMEN,1994,RUS,1976.0,165.0,44.0,18.0
3947,1308,13,Bibik,Olga,118.0,lead,WOMEN,1993,RUS,1976.0,165.0,44.0,17.0
3948,1308,20,Bibik,Olga,64.0,lead,WOMEN,1992,RUS,1976.0,165.0,44.0,16.0
3949,9935,74,Nevelikova,Karolina,7.0,boulder,WOMEN,2013,CZE,1995.0,,,18.0
3950,9935,53,Nevelikova,Karolina,22.0,boulder,WOMEN,2011,CZE,1995.0,,,16.0
3951,9882,75,Peet,Gill,7.0,boulder,WOMEN,2013,GBR,1982.0,,,31.0
3952,9882,65,Peet,Gill,3.0,boulder,WOMEN,2012,GBR,1982.0,,,30.0
3953,9882,38,Peet,Gill,35.0,boulder,WOMEN,2011,GBR,1982.0,,,29.0
3954,9099,76,Yasuda,Atori,7.0,boulder,WOMEN,2013,JPN,1994.0,,,19.0
3955,9099,62,Yasuda,Atori,8.0,lead,WOMEN,2012,JPN,1994.0,,,18.0
3956,9099,39,Yasuda,Atori,20.0,boulder,WOMEN,2012,JPN,1994.0,,,18.0
3957,9099,98,Yasuda,Atori,2.0,boulder,WOMEN,2011,JPN,1994.0,,,17.0
3958,9339,77,Faus,Isabelle,6.0,boulder,WOMEN,2013,USA,1993.0,,,20.0
3959,9339,73,Faus,Isabelle,10.0,boulder,WOMEN,2011,USA,1993.0,,,18.0
3960,6083,78,Hohkraut,Mateja,5.0,boulder,WOMEN,2013,SLO,1989.0,,,24.0
3961,6083,97,Hohkraut,Mateja,2.0,boulder,WOMEN,2011,SLO,1989.0,,,22.0
3962,10980,79,Müller,Jana,5.0,boulder,WOMEN,2013,GER,1988.0,,,25.0
3963,10441,80,Shiraiwa,Thais Makino,5.0,boulder,WOMEN,2013,BRA,1988.0,166.0,50.0,25.0
3964,10809,81,Weber,Alyssa,5.0,boulder,WOMEN,2013,CAN,1995.0,,,18.0
3965,6685,84,Pietras,Kasia,3.0,boulder,WOMEN,2013,USA,1988.0,,,25.0
3966,6685,67,Pietras,Kasia,14.0,boulder,WOMEN,2011,USA,1988.0,,,23.0
3967,6685,64,Pietras,Kasia,8.0,boulder,WOMEN,2008,USA,1988.0,,,20.0
3968,2749,87,Akalski,Marieta,1.0,boulder,WOMEN,2013,CAN,1982.0,,,31.0
3969,9010,90,Hayen,Magali,1.0,boulder,WOMEN,2013,BEL,1989.0,,,24.0
3970,9010,66,Hayen,Magali,14.0,boulder,WOMEN,2011,BEL,1989.0,,,22.0
3971,9010,56,Hayen,Magali,2.0,lead,WOMEN,2010,BEL,1989.0,,,21.0
3972,9010,50,Hayen,Magali,10.0,boulder,WOMEN,2010,BEL,1989.0,,,21.0
3973,9010,44,Hayen,Magali,4.0,lead,WOMEN,2009,BEL,1989.0,,,20.0
3974,9010,50,Hayen,Magali,8.0,boulder,WOMEN,2009,BEL,1989.0,,,20.0
3975,7290,91,Hensley,Tiffany,1.0,boulder,WOMEN,2013,USA,1991.0,,,22.0
3976,7290,51,Hensley,Tiffany,10.0,boulder,WOMEN,2012,USA,1991.0,,,21.0
3977,7290,67,Hensley,Tiffany,9.0,lead,WOMEN,2011,USA,1991.0,,,20.0
3978,7290,46,Hensley,Tiffany,28.0,boulder,WOMEN,2011,USA,1991.0,,,20.0
3979,7290,49,Hensley,Tiffany,3.0,lead,WOMEN,2009,USA,1991.0,,,18.0
3980,7290,31,Hensley,Tiffany,40.0,boulder,WOMEN,2009,USA,1991.0,,,18.0
3981,7290,28,Hensley,Tiffany,55.0,boulder,WOMEN,2008,USA,1991.0,,,17.0
3982,8388,93,Mulyar,Mariya,1.0,boulder,WOMEN,2013,UKR,1990.0,,,23.0
3983,10945,19,Choo,"Weng Khit, Adriel",66.0,speed,MEN,2013,SGP,1989.0,,,24.0
3984,8988,21,Suyushkin,Nikita,55.0,speed,MEN,2013,RUS,1994.0,,,19.0
3985,8786,23,Zhang,Yuhang,52.0,speed,MEN,2013,CHN,1990.0,,,23.0
3986,8786,30,Zhang,Yuhang,32.0,speed,MEN,2012,CHN,1990.0,,,22.0
3987,8786,49,Zhang,Yuhang,7.0,speed,MEN,2011,CHN,1990.0,,,21.0
3988,8786,13,Zhang,Yuhang,120.0,speed,MEN,2010,CHN,1990.0,,,20.0
3989,12398,25,Atlarov,Ivan,40.0,speed,MEN,2013,RUS,1992.0,,,21.0
3990,10019,27,Astashkin,Evgeny,33.0,speed,MEN,2013,RUS,1985.0,,,28.0
3991,10019,17,Astashkin,Evgeny,79.0,speed,MEN,2012,RUS,1985.0,,,27.0
3992,10019,14,Astashkin,Evgeny,67.0,speed,MEN,2011,RUS,1985.0,,,26.0
3993,10019,55,Astashkin,Evgeny,12.0,speed,MEN,2010,RUS,1985.0,,,25.0
3994,9168,30,Sabitov,Eduard,31.0,speed,MEN,2013,RUS,1989.0,,,24.0
3995,9625,31,Bokanov,Sayat,28.0,speed,MEN,2013,KAZ,1991.0,,,22.0
3996,9625,16,Bokanov,Sayat,62.0,speed,MEN,2011,KAZ,1991.0,,,20.0
3997,8977,40,Payl,Konstantin,20.0,speed,MEN,2013,RUS,1994.0,,,19.0
3998,8977,29,Payl,Konstantin,34.0,speed,MEN,2011,RUS,1994.0,,,17.0
3999,7961,41,Podchesov,Kostiantyn,18.0,speed,MEN,2013,UKR,1989.0,,,24.0
4000,7961,30,Podchesov,Kostiantyn,31.0,speed,MEN,2011,UKR,1989.0,,,22.0
4001,7961,20,Podchesov,Kostiantyn,47.0,speed,MEN,2009,UKR,1989.0,,,20.0
4002,7961,26,Podchesov,Kostiantyn,47.0,speed,MEN,2008,UKR,1989.0,,,19.0
4003,11046,42,Diachkov,Maksim,16.0,speed,MEN,2013,RUS,1997.0,,,16.0
4004,7821,48,Sirekanyan,Vaginak,13.0,speed,MEN,2013,RUS,1991.0,,,22.0
4005,7821,18,Sirekanyan,Vaginak,87.0,speed,MEN,2010,RUS,1991.0,,,19.0
4006,7821,62,Sirekanyan,Vaginak,1.0,speed,MEN,2008,RUS,1991.0,,,17.0
4007,9052,50,Chelombytko,Yevgeniy,10.0,speed,MEN,2013,UKR,1994.0,,,19.0
4008,10997,51,Tagizade,Cingiz,10.0,speed,MEN,2013,AZE,1993.0,,,20.0
4009,10345,53,Kvitsiani,Almatsgir,9.0,speed,MEN,2013,GEO,1992.0,,,21.0
4010,6802,55,Hwang,Pyeongju,8.0,speed,MEN,2013,KOR,1972.0,173.0,57.0,41.0
4011,6802,38,Hwang,Pyeongju,18.0,speed,MEN,2012,KOR,1972.0,173.0,57.0,40.0
4012,11442,57,Rahimkhanov,Rinat,8.0,speed,MEN,2013,AZE,1989.0,,,24.0
4013,12053,60,Gomiashvili,Giorgi,7.0,speed,MEN,2013,GEO,1992.0,,,21.0
4014,10035,62,Sirotti,Gianluca,7.0,speed,MEN,2013,ITA,1991.0,,,22.0
4015,10035,31,Sirotti,Gianluca,28.0,speed,MEN,2012,ITA,1991.0,,,21.0
4016,10035,25,Sirotti,Gianluca,40.0,speed,MEN,2011,ITA,1991.0,,,20.0
4017,10035,51,Sirotti,Gianluca,16.0,speed,MEN,2010,ITA,1991.0,,,19.0
4018,9512,63,Boulos,Alessandro,6.0,speed,MEN,2013,ITA,1994.0,,,19.0
4019,11010,65,Camalzade,Seymur,5.0,speed,MEN,2013,AZE,1992.0,,,21.0
4020,11444,68,Shikhrahimov ,Galib,4.0,speed,MEN,2013,AZE,1992.0,,,21.0
4021,10996,69,Ibadov,Babek,3.0,speed,MEN,2013,AZE,1987.0,,,26.0
4022,11156,70,Ali,Yasin,2.0,speed,MEN,2013,PAK,1994.0,,,19.0
4023,11449,71,Maksutov,Teymur,1.0,speed,MEN,2013,AZE,1989.0,,,24.0
4024,7665,24,Aglae,Kevin,46.0,lead,MEN,2012,FRA,1991.0,,,21.0
4025,7665,66,Aglae,Kevin,4.0,lead,MEN,2010,FRA,1991.0,,,19.0
4026,7665,71,Aglae,Kevin,8.0,lead,MEN,2007,FRA,1991.0,,,16.0
4027,6145,29,Lopez,Emmanuel,33.0,lead,MEN,2012,FRA,1988.0,,,24.0
4028,6145,48,Lopez,Emmanuel,10.0,lead,MEN,2009,FRA,1988.0,,,21.0
4029,6145,96,Lopez,Emmanuel,2.0,lead,MEN,2007,FRA,1988.0,,,19.0
4030,6145,62,Lopez,Emmanuel,14.0,lead,MEN,2006,FRA,1988.0,,,18.0
4031,5185,33,Marin Garcia,Eduard,29.0,lead,MEN,2012,ESP,1985.0,,,27.0
4032,5185,16,Marin Garcia,Eduard,129.0,lead,MEN,2011,ESP,1985.0,,,26.0
4033,5185,88,Marin Garcia,Eduard,1.0,boulder,MEN,2011,ESP,1985.0,,,26.0
4034,5185,21,Marin Garcia,Eduard,57.0,lead,MEN,2009,ESP,1985.0,,,24.0
4035,5185,32,Marin Garcia,Eduard,43.0,lead,MEN,2007,ESP,1985.0,,,22.0
4036,5185,7,Marin Garcia,Eduard,452.0,lead,MEN,2006,ESP,1985.0,,,21.0
4037,5185,58,Marin Garcia,Eduard,12.0,boulder,MEN,2006,ESP,1985.0,,,21.0
4038,5185,48,Marin Garcia,Eduard,20.0,lead,MEN,2005,ESP,1985.0,,,20.0
4039,5185,40,Marin Garcia,Eduard,24.0,lead,MEN,2004,ESP,1985.0,,,19.0
4040,5185,17,Marin Garcia,Eduard,142.0,lead,MEN,2003,ESP,1985.0,,,18.0
