,ID,Rank,Last Name,First Name,Points,Event,Gender,Year
19,9984,20,Chanourdie,Julia,85.0,lead,WOMEN,2019
20,11377,21,Hayes,Margo,79.0,lead,WOMEN,2019
21,10888,22,Fiser,Julia,70.0,lead,WOMEN,2019
22,9989,23,Gibert,Fanny,68.0,lead,WOMEN,2019
23,11397,24,Tajima,Aika,65.0,lead,WOMEN,2019
24,10826,25,Kalan,Tjasa,56.0,lead,WOMEN,2019
25,9867,26,Verhoeven,Anak,55.0,lead,WOMEN,2019
26,5169,27,Markovic,Mina,50.0,lead,WOMEN,2019
27,59758,28,Pouget,Camille,49.0,lead,WOMEN,2019
28,11374,29,Condie,Kyra,48.0,lead,WOMEN,2019
29,60150,30,Ito,Futaba,47.0,lead,WOMEN,2019
30,11809,31,Doumont,Heloïse,46.0,lead,WOMEN,2019
31,12623,32,Arthaud,Nina,41.0,lead,WOMEN,2019
32,54486,33,Douady,Luce,41.0,lead,WOMEN,2019
33,8896,34,Posch,Katharina,36.0,lead,WOMEN,2019
34,12658,35,Meshkova,Viktoriia,32.0,lead,WOMEN,2019
35,12646,36,Skusek,Lana,31.0,lead,WOMEN,2019
36,10067,37,Hiroshige,Yuki,30.0,lead,WOMEN,2019
37,13211,38,Lettner,Sandra,26.0,lead,WOMEN,2019
38,8812,39,Rekabi,Elnaz,26.0,lead,WOMEN,2019
39,13484,40,Kim,Lan,25.0,lead,WOMEN,2019
40,6367,41,Klingler,Petra,25.0,lead,WOMEN,2019
41,9985,42,Romain,Salomé,25.0,lead,WOMEN,2019
42,13224,43,Arc,Nolwenn,22.0,lead,WOMEN,2019
43,9979,44,Koller,Anne-Sophie,21.0,lead,WOMEN,2019
44,8247,45,Coxsey,Shauna,18.0,lead,WOMEN,2019
45,13954,46,Raboutou,Brooke,17.0,lead,WOMEN,2019
46,6457,47,Choong,Katherine,14.0,lead,WOMEN,2019
47,12639,48,Krasovskaya,Elena,13.0,lead,WOMEN,2019
48,64428,49,Potapova,Nika,9.0,lead,WOMEN,2019
49,9212,50,Ota,Risa,8.0,lead,WOMEN,2019
50,13280,51,Aguado,Valentina,7.0,lead,WOMEN,2019
51,9239,52,Hafsaas,Tina Johnsen,7.0,lead,WOMEN,2019
52,10003,53,Ghisolfi,Claudia,6.0,lead,WOMEN,2019
53,9266,54,SA,Sol,4.0,lead,WOMEN,2019
54,8590,55,Yip,Alannah,4.0,lead,WOMEN,2019
55,11767,56,Hulliger,Michelle,3.0,lead,WOMEN,2019
56,57542,57,Michalkova,Vanda,3.0,lead,WOMEN,2019
57,73624,58,KUDO,Hana,2.0,lead,WOMEN,2019
58,67290,59,Moriwaki,Honoka,2.0,lead,WOMEN,2019
59,13534,60,van der Meer,Lynn,2.0,lead,WOMEN,2019
0,10618,1,Narasaki,Tomoa,340.0,boulder,MEN,2019
1,8372,2,Ondra,Adam,335.0,boulder,MEN,2019
2,12501,3,Ogata,Yoshiyuki,264.0,boulder,MEN,2019
3,11183,4,CHON,Jongwon,228.0,boulder,MEN,2019
4,10172,5,Fujii,Kokoro,227.0,boulder,MEN,2019
5,6623,6,Hojer,Jan,223.0,boulder,MEN,2019
6,9046,7,Rubtsov ,Aleksey,214.0,boulder,MEN,2019
7,10825,8,Peharc,Anze,205.0,boulder,MEN,2019
8,6488,9,Kruder,Jernej,191.0,boulder,MEN,2019
9,6550,10,Schubert,Jakob,184.0,boulder,MEN,2019
10,7465,11,Sugimoto,Rei,174.0,boulder,MEN,2019
11,14023,12,Harada,Kai,148.0,boulder,MEN,2019
12,11091,13,Cornu,Manuel,143.0,boulder,MEN,2019
13,57094,14,Ishimatsu,Taisei,136.0,boulder,MEN,2019
14,9787,15,Vezonik,Gregor,121.0,boulder,MEN,2019
15,11739,16,Takata,Tomoaki,117.0,boulder,MEN,2019
16,12940,17,Pan,YuFei,112.0,boulder,MEN,2019
17,14032,18,Dohi,Keita,109.0,boulder,MEN,2019
18,9058,19,Megos,Alexander,109.0,boulder,MEN,2019
19,12601,20,Coleman,Nathaniel,104.0,boulder,MEN,2019
20,5089,21,McColl,Sean,87.0,boulder,MEN,2019
21,66836,22,Kawamata,Rei,82.0,boulder,MEN,2019
22,8870,23,Reuser,Tim,80.0,boulder,MEN,2019
23,9537,24,Khazanov,Alex,72.0,boulder,MEN,2019
24,12604,25,Flohé,Yannick,64.0,boulder,MEN,2019
25,7575,26,Timonov,Vadim,62.0,boulder,MEN,2019
26,10951,27,Lehmann,Sascha,60.0,boulder,MEN,2019
27,12432,28,Narasaki,Meichi,59.0,boulder,MEN,2019
28,57190,29,INOUE,Yuji,58.0,boulder,MEN,2019
29,12720,30,Mawem,Mickael,56.0,boulder,MEN,2019
30,10922,31,Levier,Alban,55.0,boulder,MEN,2019
31,10709,32,Phillips,Nathan,53.0,boulder,MEN,2019
32,9514,33,Piccolruaz,Michael,45.0,boulder,MEN,2019
33,9924,34,Skorodumov,Sergei,34.0,boulder,MEN,2019
34,13545,35,Iarilovets,Nikolai,27.0,boulder,MEN,2019
35,12666,36,Uznik,Nicolai,26.0,boulder,MEN,2019
36,73912,37,McQueen,Sam,24.0,boulder,MEN,2019
37,10493,38,Ridal,William,20.0,boulder,MEN,2019
38,10775,39,Bailey,Sean,19.0,boulder,MEN,2019
39,12833,40,Ternant,Arthur,18.0,boulder,MEN,2019
40,8323,41,Ghisolfi,Stefano,16.0,boulder,MEN,2019
41,7492,42,Barrans,David,14.0,boulder,MEN,2019
42,70578,43,Fultz,Matt,12.0,boulder,MEN,2019
43,9103,44,Murai,Ryuichi,12.0,boulder,MEN,2019
44,11102,45,Klingler,Florian,10.0,boulder,MEN,2019
45,12012,46,Avezou,Leo,9.0,boulder,MEN,2019
46,12582,47,Dornauer,Alfons,9.0,boulder,MEN,2019
47,10625,48,Parma,Georg,9.0,boulder,MEN,2019
48,10962,49,Bosi,William,8.0,boulder,MEN,2019
49,7348,50,Baratzadeh,Gholamali,7.0,boulder,MEN,2019
50,12607,51,Linacisoro Molina,Mikel Asier,7.0,boulder,MEN,2019
51,50798,52,Martin,Philipp,7.0,boulder,MEN,2019
52,10359,53,Lorenzi,Simon,6.0,boulder,MEN,2019
53,8317,54,Bombardi,Marcello,5.0,boulder,MEN,2019
54,13415,55,Roberts,Aidan,5.0,boulder,MEN,2019
55,12304,56,Ruana,Rudolph,5.0,boulder,MEN,2019
56,9102,57,Watabe,Keita,5.0,boulder,MEN,2019
57,67866,58,Galla,Zach,3.0,boulder,MEN,2019
58,5804,59,Topishko,Sergii,3.0,boulder,MEN,2019
59,12285,60,Uchida,Lucas,3.0,boulder,MEN,2019
60,9595,61,Baltrunas,Kipras,1.0,boulder,MEN,2019
61,11024,62,Collin,Nicolas,1.0,boulder,MEN,2019
62,6370,63,Heiniger,Kevin,1.0,boulder,MEN,2019
63,11636,64,Posch,Jan-Luca,1.0,boulder,MEN,2019
64,6489,65,Stranik,Martin,1.0,boulder,MEN,2019
0,11989,1,Garnbret,Janja,500.0,boulder,WOMEN,2019
1,6326,2,Noguchi,Akiyo,320.0,boulder,WOMEN,2019
2,9989,3,Gibert,Fanny,308.0,boulder,WOMEN,2019
3,60150,4,Ito,Futaba,206.0,boulder,WOMEN,2019
4,9970,5,Pilz,Jessica,203.0,boulder,WOMEN,2019
5,6367,6,Klingler,Petra,180.0,boulder,WOMEN,2019
6,13208,7,Rakovec,Lucka,163.0,boulder,WOMEN,2019
7,9472,8,Kadic,Katja,161.0,boulder,WOMEN,2019
8,9984,9,Chanourdie,Julia,157.0,boulder,WOMEN,2019
9,8247,10,Coxsey,Shauna,145.0,boulder,WOMEN,2019
