,Rank,Name,Name.1,Nation,Points,1307,1334,1335,1332,1331,1330,1343,1342,1324,1323,2011,event,gender,athlete_id
48,48,Ma,ZiDa,CHN,24.00,,,,,,,,14. 24.00,,,2011,lead,MEN,9415
49,48,Shafiee,Zul Fadzli,MAS,24.00,,,,,,,14. 24.00,,,,2011,lead,MEN,5972
50,51,Ozawa,Shinta,JPN,23.00,23. 8.00,26. 5.00,,,21. 10.00,,,,,,2011,lead,MEN,5952
51,52,Antoun Emile,Georges,LIB,22.00,,,,15. 22.00,,,,,,,2011,lead,MEN,10916
52,52,De Alba Flores,Santiago,MEX,22.00,27. 4.00,,,,,17. 18.00,,,,,2011,lead,MEN,9201
53,52,Suolang,Jiacuo,CHN,22.00,,,,,,,21. 10.00,20. 12.00,,,2011,lead,MEN,8900
54,55,Georges Diab,Elias,LIB,20.00,,,,16. 20.00,,,,,,,2011,lead,MEN,10914
55,55,Hoberg,Ben,USA,20.00,,,,,16. 20.00,,,,,,2011,lead,MEN,7934
56,57,Jubes Angarita,Marco Antonio,ESP,18.00,22. 9.00,,22. 9.00,,,,,,,,2011,lead,MEN,6937
57,57,Ondra,Adam,CZE,18.00,,,,,,,,,,17. 18.00,2011,lead,MEN,8372
58,59,Ischia,Martino,ITA,17.00,,,19. 14.00,,,,,,,28. 3.00,2011,lead,MEN,8736
59,60,Becan,Jure,SLO,16.00,,,,,,,,,18. 16.00,,2011,lead,MEN,6388
60,60,Ridge,Noah,USA,16.00,,,,,18. 16.00,,,,,,2011,lead,MEN,9668
61,62,Yogaswara,Indra,INA,15.00,,,,,,,25. 6.00,22. 9.00,,,2011,lead,MEN,10876
62,63,JonasMcRae,Elan,CAN,14.00,,,,,19. 14.00,,,,,,2011,lead,MEN,10080
63,63,Qu,HaiBin,CHN,14.00,,,,,,,24. 7.00,24. 7.00,,,2011,lead,MEN,8536
64,65,Akbar,Huda Wardana,INA,12.00,,,,,,,23. 8.00,27. 4.00,,,2011,lead,MEN,9203
65,65,Dory,Ian,USA,12.00,,,,,20. 12.00,,,,,,2011,lead,MEN,9352
66,65,Shchervianin,Aleksei,RUS,12.00,,,,,,,,,,20. 12.00,2011,lead,MEN,7819
67,68,Mardashov,Anton,UKR,11.00,,,30. 1.00,,,,,,21. 10.00,,2011,lead,MEN,7965
68,68,Schellingerhout,Elko,NED,11.00,,,23. 8.00,,,28. 3.00,,,,,2011,lead,MEN,8869
69,70,Krakenberger,Franz,SUI,10.00,,21. 10.00,,,,,,,,,2011,lead,MEN,7387
70,71,Firnenburg,David,GER,9.00,,,,,,22. 9.00,,,,,2011,lead,MEN,9425
71,71,Ravanal,Tomas,CHI,9.00,,,,,,,,,22. 9.00,,2011,lead,MEN,10020
72,73,Landry,Fabrice,FRA,8.00,,,,,,,,,,23. 8.00,2011,lead,MEN,7053
73,73,Levin,Josh,USA,8.00,,,,,23. 8.00,,,,,,2011,lead,MEN,8211
74,73,Qu,Changfeng,CHN,8.00,,,,,,,28. 3.00,26. 5.00,,,2011,lead,MEN,8828
75,73,Timmermans,Loïc,BEL,8.00,,,,,,23. 8.00,,,,,2011,lead,MEN,9492
76,77,Chang,Yeu-Shiang,TPE,7.00,,,,,,,30. 1.00,25. 6.00,,,2011,lead,MEN,7265
77,77,Konishi,Daisuke,JPN,7.00,24. 7.00,,,,,,,,,,2011,lead,MEN,7228
78,77,Moreno De Los Huerto,Daniel,ESP,7.00,26. 5.00,,29. 2.00,,,,,,,,2011,lead,MEN,5813
79,77,Sewell,Ryan,USA,7.00,,,,,24. 7.00,,,,,,2011,lead,MEN,7289
80,77,Tribout,Adrien,FRA,7.00,,,24. 7.00,,,,,,,,2011,lead,MEN,9533
81,82,DE FLAUGERGUES,Geoffray,FRA,6.00,,,,,,,,,25. 6.00,,2011,lead,MEN,9531
82,82,Halenke,Sebastian,GER,6.00,,25. 6.00,,,,,,,,,2011,lead,MEN,9426
83,82,Kochetkov,Mikhail,RUS,6.00,25. 6.00,,,,,,,,,,2011,lead,MEN,9092
84,82,Park,Jihwan,KOR,6.00,,,,,,,,,,25. 6.00,2011,lead,MEN,7230
85,82,Spannuth,Ben,USA,6.00,,,,,25. 6.00,,,,,,2011,lead,MEN,7926
86,82,Zupan,Izidor,SLO,6.00,,,25. 6.00,,,,,,,,2011,lead,MEN,7674
87,88,Doyle,Mike,CAN,5.00,,,,,26. 5.00,,,,,,2011,lead,MEN,5876
88,88,Dzyubyak,Yuriy,UKR,5.00,,,,,,26. 5.00,,,,,2011,lead,MEN,6839
89,88,HO,Sin-fai,HKG,5.00,,,,,,,26. 5.00,,,,2011,lead,MEN,7251
90,88,Ovchinnikov,Evgeny,RUS,5.00,,,,,,,,,,26. 5.00,2011,lead,MEN,232
91,88,Vettorata,Francesco,ITA,5.00,,,26. 5.00,,,,,,,,2011,lead,MEN,10404
92,93,Hakamada,Naoto,JPN,4.00,,,27. 4.00,,,,,,,,2011,lead,MEN,7824
93,93,PUccio,Shane,USA,4.00,,,,,27. 4.00,,,,,,2011,lead,MEN,10498
94,93,Sova,Matej,SLO,4.00,,,,,,30. 1.00,,,27. 3.00,,2011,lead,MEN,629
95,93,Yau,Ka-chun,HKG,4.00,,,,,,,27. 4.00,,,,2011,lead,MEN,9194
96,97,Blein,Charli,FRA,3.00,,,,,,,,,27. 3.00,,2011,lead,MEN,9755
97,97,Bombardi,Marcello,ITA,3.00,,28. 3.00,,,,,,,,,2011,lead,MEN,8317
98,97,Graham,Owen,USA,3.00,,,,,28. 3.00,,,,,,2011,lead,MEN,8572
99,97,Rull Flores,Gerard,ESP,3.00,28. 3.00,,,,,,,,,,2011,lead,MEN,7701
100,97,Tzeng,Jiun-Jie,TPE,3.00,,,,,,,,28. 3.00,,,2011,lead,MEN,8772
101,102,Brouard,Paul,RSA,2.00,,,,,,,29. 2.00,,,,2011,lead,MEN,5699
102,102,Hung,Jau Shiuan,TPE,2.00,,,,,,,,29. 2.00,,,2011,lead,MEN,8129
103,102,Johnson,Alex,USA,2.00,,,,,29. 2.00,,,,,,2011,lead,MEN,9361
104,102,Kim,Jaha,KOR,2.00,,,,,,,,,,29. 2.00,2011,lead,MEN,5830
105,102,Vekla,Pavlo,UKR,2.00,,,,,,29. 2.00,,,,,2011,lead,MEN,7438
106,107,Hamer,Edward,GBR,1.00,,30. 1.00,,,,,,,,,2011,lead,MEN,9375
107,107,Macartney,Kevin,USA,1.00,,,,,30. 1.00,,,,,,2011,lead,MEN,9349
