,Rank,Name,Name.1,Nation,Points,1531,1529,1528,1527,1526,1523,1524,1525,2014,event,gender,athlete_id
0,1,KIM,Jain,KOR,607.00,2. 80.00,1. 100.00,10. (34.00),6. 47.00,2. 80.00,1. 100.00,1. 100.00,1. 100.00,2014,lead,WOMEN,5983
1,2,Markovic,Mina,SLO,547.00,1. 100.00,2. 80.00,1. 100.00,1. 100.00,5. 51.00,6. (47.00),3. 65.00,5. 51.00,2014,lead,WOMEN,5169
2,3,Röck,Magdalena,AUT,501.00,9. (37.00),5. 51.00,4. 55.00,4. 55.00,1. 100.00,2. 80.00,2. 80.00,2. 80.00,2014,lead,WOMEN,8955
3,4,Verhoeven,Anak,BEL,447.00,7. (43.00),6. 47.00,2. 80.00,2. 80.00,4. 55.00,3. 65.00,4. 55.00,3. 65.00,2014,lead,WOMEN,9867
4,5,Janicot,Hélène,FRA,324.00,10. 34.00,7. 43.00,3. 65.00,3. 65.00,9. 37.00,9. 37.00,15. (22.00),7. 43.00,2014,lead,WOMEN,9077
5,6,Posch,Katharina,AUT,281.00,5. 51.00,12. 28.00,5. 51.00,5. 51.00,15. (22.00),8. 40.00,13. 26.00,10. 34.00,2014,lead,WOMEN,8896
6,7,Vidmar,Maja,SLO,265.00,8. 40.00,3. 65.00,8. 40.00,9. 37.00,,4. 55.00,12. 28.00,,2014,lead,WOMEN,3482
7,8,Fakhritdinova,Dinara,RUS,237.00,26. (5.00),15. 22.00,13. 26.00,11. 31.00,13. 26.00,10. 34.00,5. 51.00,6. 47.00,2014,lead,WOMEN,7576
8,9,Kobayashi,Yuka,JPN,236.00,6. 47.00,8. 40.00,6. 47.00,10. 34.00,,18. 16.00,20. 12.00,8. 40.00,2014,lead,WOMEN,5254
9,10,Noguchi,Akiyo,JPN,210.00,3. 65.00,4. 55.00,,,,7. 43.00,6. 47.00,,2014,lead,WOMEN,6326
10,11,Ota,Risa,JPN,205.00,13. 26.00,22. 9.00,,16. 20.00,6. 47.00,13. 26.00,8. 40.00,9. 37.00,2014,lead,WOMEN,9212
11,12,Durif,Charlotte,FRA,190.00,,9. 37.00,14. 24.00,,,11. 31.00,7. 43.00,4. 55.00,2014,lead,WOMEN,6513
12,13,Pilz,Jessica,AUT,168.00,4. 55.00,,,,3. 65.00,19. 14.00,10. 34.00,,2014,lead,WOMEN,9970
13,14,van Bergen,Nikki,NED,149.00,12. 28.00,19. 14.00,11. 31.00,12. 28.00,28. (3.00),20. 12.00,19. 14.00,15. 22.00,2014,lead,WOMEN,8196
14,15,Schranz,Christine,AUT,142.00,16. 20.00,13. 26.00,9. 37.00,7. 43.00,18. 16.00,,,,2014,lead,WOMEN,5629
15,16,Oda,Momoka,JPN,131.00,,,,,17. 18.00,5. 51.00,11. 31.00,11. 31.00,2014,lead,WOMEN,9097
16,17,Bacher,Barbara,AUT,117.00,,18. 16.00,12. 28.00,14. 24.00,22. 9.00,,16. 20.00,16. 20.00,2014,lead,WOMEN,1030
17,18,Malamid,Evgeniia,RUS,110.00,,,,,8. 40.00,17. 18.00,14. 24.00,12. 28.00,2014,lead,WOMEN,5147
18,19,Onoe,Aya,JPN,103.00,,10. 34.00,7. 43.00,13. 26.00,,,,,2014,lead,WOMEN,9731
19,20,Becerra,Mathilde,FRA,101.00,14. 24.00,,,,11. 31.00,12. 28.00,17. 18.00,,2014,lead,WOMEN,9317
20,21,Tajima,Aika,JPN,79.00,,11. 31.00,,8. 40.00,,,,23. 8.00,2014,lead,WOMEN,11397
21,22,Fredman,Netta,ISR,78.00,27. 4.00,14. 24.00,15. 22.00,17. 18.00,,24. 7.00,27. 3.00,,2014,lead,WOMEN,9538
