,Rank,Name,Name.1,Nation,Points,Munich 24.08.2013,Vail 07.06.2013,Toronto 01.06.2013,Innsbruck 17.05.2013,Log-Dragomer 11.05.2013,Kitzbühel 26.04.2013,Millau 05.04.2013,Chongqing 22.03.2013,2013,event,gender
47,47,Rugens,Rolands,LAT,19.00,23. 7.00,,,,20. 12.00,,,,2013,boulder,MEN
48,49,Adamson,Miles,CAN,18.00,,,17. 18.00,,,,,,2013,boulder,MEN
49,49,Becan,Jure,SLO,18.00,,,,,,17. 18.00,,,2013,boulder,MEN
50,51,de Leeuw,Nicky,NED,17.00,,,,25. 5.00,,27. 3.00,22. 9.00,,2013,boulder,MEN
51,52,Ma,ZiDa,CHN,16.00,,,,,,,,18. 16.00,2013,boulder,MEN
52,53,Sanchez González,Ignacio,ESP,15.00,,,,29. 1.00,,,19. 14.00,,2013,boulder,MEN
53,53,Shimizu,Atsushi,JPN,15.00,,29. 1.00,,22. 9.00,25. 5.00,,,,2013,boulder,MEN
54,55,Takata,Tomoaki,JPN,14.00,,,,,,19. 14.00,,,2013,boulder,MEN
55,55,Traversi,Carlo,USA,14.00,,19. 14.00,,,,,,,2013,boulder,MEN
56,57,Abu Hassan,Khairul Hafiz,MAS,12.00,,,,,,,,20. 12.00,2013,boulder,MEN
57,57,Farrell,Thomas,AUS,12.00,,,,,,20. 12.00,,,2013,boulder,MEN
58,57,Ratajczak,Philip,GER,12.00,20. 12.00,,,,,,,,2013,boulder,MEN
59,60,Dory,Ian,USA,11.00,,27. 4.00,24. 7.00,,,,,,2013,boulder,MEN
60,61,Chvala,Jan,CZE,10.00,,,,,,21. 10.00,,,2013,boulder,MEN
61,61,Gavrilov,Vlas,RUS,10.00,,,,,,,,21. 10.00,2013,boulder,MEN
62,61,Mogaki,Keita,JPN,10.00,,23. 7.00,28. 3.00,,,,,,2013,boulder,MEN
63,64,Fujii,Kokoro,JPN,9.00,21. 9.00,,,,,,,,2013,boulder,MEN
64,64,Geiman,Austin,USA,9.00,,22. 9.00,,,,,,,2013,boulder,MEN
65,64,Li,Beiji,CHN,9.00,,,,,,,,22. 9.00,2013,boulder,MEN
66,64,Newman,Tom,GBR,9.00,,,22. 9.00,,,,,,2013,boulder,MEN
67,68,Blaser,Benjamin,SUI,8.00,,,,,29. 1.00,,24. 7.00,,2013,boulder,MEN
68,68,Jongeneelen,Wouter,NED,8.00,,,23. 8.00,,,,,,2013,boulder,MEN
69,68,Lechaptois,Clément,FRA,8.00,,,,,,,23. 8.00,,2013,boulder,MEN
70,68,Qu,Changfeng,CHN,8.00,,,,,,,,23. 8.00,2013,boulder,MEN
71,72,Garden,James,GBR,7.00,,,,23. 7.00,,,,,2013,boulder,MEN
72,72,Raksachat,Thattana,THA,7.00,,,,,,,,24. 7.00,2013,boulder,MEN
73,72,Sommer,Remo,SUI,7.00,,,,,,23. 7.00,,,2013,boulder,MEN
74,72,Stranik,Martin,CZE,7.00,,,,,23. 7.00,,,,2013,boulder,MEN
75,72,Topishko,Sergii,UKR,7.00,23. 7.00,,,,,,,,2013,boulder,MEN
76,77,Bin Abd Jalani,Abdul Qayum,MAS,6.00,,,,,,,,25. 6.00,2013,boulder,MEN
77,77,D'Anastasio,Robert,USA,6.00,,25. 6.00,,,,,,,2013,boulder,MEN
78,77,Lazure,Sebastien,CAN,6.00,,,25. 6.00,,,,,,2013,boulder,MEN
79,80,Holowach,Jason,CAN,5.00,,,26. 5.00,,,,,,2013,boulder,MEN
80,80,Nazarov,Alexey,KAZ,5.00,,,,,,,,26. 5.00,2013,boulder,MEN
81,80,Vorotnikov,Vasya,USA,5.00,,26. 5.00,,,,,,,2013,boulder,MEN
82,83,Bowles,John,CAN,4.00,,,27. 4.00,,,,,,2013,boulder,MEN
83,83,Partridge,Jonathan,GBR,4.00,,,,27. 3.00,,29. 1.00,,,2013,boulder,MEN
84,83,Yuan Hann,Andrew Ang,MAS,4.00,,,,,,,,27. 4.00,2013,boulder,MEN
85,86,Glowka,Jakub,POL,3.00,27. 3.00,,,,,,,,2013,boulder,MEN
86,86,Ruangrit,Winai,THA,3.00,,,,,,,,28. 3.00,2013,boulder,MEN
87,86,Skofic,Domen,SLO,3.00,,,,,27. 3.00,,,,2013,boulder,MEN
88,89,Julien,Stephane,FRA,2.00,,,,,,,28. 2.00,,2013,boulder,MEN
89,89,Sopeju,Ayodele,CAN,2.00,,,29. 2.00,,,,,,2013,boulder,MEN
90,89,Valran,Sébastien,FRA,2.00,,,,,,,28. 2.00,,2013,boulder,MEN
91,92,Firnenburg,David,GER,1.00,29. 1.00,,,,,,,,2013,boulder,MEN
92,92,Hemund,Kevin,SUI,1.00,,,,,,,30. 1.00,,2013,boulder,MEN
93,92,O'Rourke,Michael,USA,1.00,,29. 1.00,,,,,,,2013,boulder,MEN
94,92,Petrasiunas,Vilimantas,LTU,1.00,,,,,29. 1.00,,,,2013,boulder,MEN
95,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,2013,boulder,MEN
