,Rank,Name,Name.1,Nation,Points,1531,1529,1528,1527,1526,1523,1524,1525,2014,event,gender,athlete_id
51,50,Raztresen,Jure,SLO,14.00,19. 14.00,,,,,,,,2014,lead,MEN,8300
52,53,Jech,Martin,CZE,12.00,,,20. 12.00,,,,,,2014,lead,MEN,11115
53,53,Reuser,Tim,NED,12.00,20. 12.00,,,,,,,,2014,lead,MEN,8870
54,55,Messer,Shane,USA,10.00,,,21. 10.00,,,,,,2014,lead,MEN,12337
55,55,Rudigier,Max,AUT,10.00,,,,,21. 10.00,,,,2014,lead,MEN,8315
56,55,Yun,Shinyeong,KOR,10.00,,,,28. 3.00,,,,24. 7.00,2014,lead,MEN,12689
57,58,Samoilov,Fedir,UKR,9.00,27. 4.00,,,,,26. 5.00,,,2014,lead,MEN,10788
58,59,Arc,Kevin,FRA,8.00,,,,,,24. 7.00,30. 1.00,,2014,lead,MEN,12357
59,59,Blein,Charli,FRA,8.00,,,,,,23. 8.00,,,2014,lead,MEN,9755
60,59,CHON,Jongwon,KOR,8.00,,,,23. 8.00,,,,,2014,lead,MEN,11183
61,59,Parma,Georg,AUT,8.00,,,,,23. 8.00,,,,2014,lead,MEN,10625
62,59,Qu,HaiBin,CHN,8.00,,,,,,,,23. 8.00,2014,lead,MEN,8536
63,59,Röck,Bernhard,AUT,8.00,25. 6.00,,,,,28. 2.00,,,2014,lead,MEN,9974
64,65,Dornauer,Alfons,AUT,7.00,,,,,24. 7.00,,,,2014,lead,MEN,12582
65,65,Hakamada,Naoto,JPN,7.00,,24. 7.00,,,,,,,2014,lead,MEN,7824
66,65,Otaka,Kaya,JPN,7.00,28. 3.00,27. 4.00,,,,,,,2014,lead,MEN,12316
67,68,Hanssens,Stephane,BEL,6.00,,,,,,25. 6.00,,,2014,lead,MEN,3575
68,69,Cho,Seungwoon,KOR,5.00,,,,26. 5.00,,,,,2014,lead,MEN,8509
69,70,Suolang,Jiacuo,CHN,4.00,,,,,,,,27. 4.00,2014,lead,MEN,8900
70,71,Ferenc,Kamil,POL,3.00,,,,,,30. 1.00,29. 2.00,,2014,lead,MEN,7781
71,71,Ogata,Kazutoshi,JPN,3.00,,28. 3.00,,,,,,,2014,lead,MEN,10028
72,71,Yau,Ka-chun,HKG,3.00,,,,,,,,28. 3.00,2014,lead,MEN,9194
73,74,Kim,Myeongsu,KOR,2.00,,,,29. 2.00,,,,,2014,lead,MEN,11517
74,74,Ter-Minasyan,Arman,RUS,2.00,,,,,29. 2.00,,,,2014,lead,MEN,7574
75,74,Vogt,Dimitri,SUI,2.00,29. 2.00,,,,,,,,2014,lead,MEN,10326
76,77,Bydtaev,Sergei,RUS,1.00,30. 1.00,,,,,,,,2014,lead,MEN,10795
77,77,Lee,Donggun,KOR,1.00,,,,30. 1.00,,,,,2014,lead,MEN,7310
