,Rank,Name,Name.1,Nation,Points,30,32,33,34,31,1997,event,gender,athlete_id
0,1,Legrand,François,FRA,345.00,2. 80.00,1. 100.00,2. 80.00,10. 34.00,5. 51.00,1997,lead,MEN,266
1,2,Petit,Arnaud,FRA,266.00,1. 100.00,7. 43.00,5. 51.00,3. 65.00,24. 7.00,1997,lead,MEN,50
2,3,Petit,François,FRA,246.00,12. 28.00,9. 37.00,3. 65.00,5. 51.00,3. 65.00,1997,lead,MEN,275
3,4,Brenna,Cristian,ITA,244.00,6. 47.00,9. 37.00,8. 40.00,8. 40.00,2. 80.00,1997,lead,MEN,109
4,5,Sharma,Chris,USA,231.00,5. 51.00,2. 80.00,1. 100.00,,,1997,lead,MEN,151
5,6,Dewilde,Paul,FRA,224.00,9. 37.00,8. 40.00,4. 55.00,4. 55.00,9. 37.00,1997,lead,MEN,696
6,7,Laurence,Ludovic,FRA,215.00,8. 40.00,13. 26.00,9. 37.00,1. 100.00,20. 12.00,1997,lead,MEN,521
7,8,Ovchinnikov,Evgeny,RUS,150.00,,,7. 43.00,24. 7.00,1. 100.00,1997,lead,MEN,232
8,9,Core,Christian,ITA,146.00,17. 18.00,13. 26.00,12. 28.00,11. 31.00,7. 43.00,1997,lead,MEN,122
9,10,Caude,David,FRA,137.00,4. 55.00,20. 12.00,19. 14.00,30. 1.00,4. 55.00,1997,lead,MEN,172
10,11,Bindhammer,Andreas,GER,134.00,17. 18.00,11. 31.00,,2. 80.00,26. 5.00,1997,lead,MEN,8
11,12,Vickers,Ian,GBR,132.00,9. 37.00,16. 20.00,19. 14.00,9. 37.00,14. 24.00,1997,lead,MEN,375
12,13,Chevieux,Elie,SUI,115.00,12. 28.00,20. 12.00,21. 10.00,7. 43.00,15. 22.00,1997,lead,MEN,219
13,14,Hirayama,Yuji,JPN,112.00,3. 65.00,6. 47.00,,,,1997,lead,MEN,973
14,15,Grom,Aljosa,SLO,109.00,23. 8.00,3. 65.00,10. 34.00,,29. 2.00,1997,lead,MEN,30
15,16,Rakhmetov,Salavat,RUS,103.00,,18. 16.00,14. 24.00,6. 47.00,18. 16.00,1997,lead,MEN,845
16,17,Petrenko,Maksym,UKR,102.00,,5. 51.00,6. 47.00,27. 4.00,,1997,lead,MEN,609
17,18,Zardini,Luca,ITA,100.00,29. 2.00,15. 22.00,15. 22.00,16. 20.00,10. 34.00,1997,lead,MEN,542
18,19,Chemoulinkine,Serguei,RUS,93.00,12. 28.00,,24. 7.00,17. 18.00,8. 40.00,1997,lead,MEN,852
19,20,Bindhammer,Christian,GER,90.00,7. 43.00,,,,6. 47.00,1997,lead,MEN,112
20,21,Golob,Jurij,SLO,77.00,9. 37.00,20. 12.00,16. 20.00,23. 8.00,,1997,lead,MEN,410
21,22,DU LAC,Daniel,FRA,70.00,17. 18.00,28. 3.00,16. 20.00,15. 22.00,24. 7.00,1997,lead,MEN,175
22,23,Calibani,Mauro,ITA,68.00,,19. 14.00,21. 10.00,14. 24.00,16. 20.00,1997,lead,MEN,554
23,24,Benian,Milan,CZE,59.00,,28. 3.00,12. 28.00,12. 28.00,,1997,lead,MEN,548
24,25,Cabane,Rafael,FRA,55.00,,4. 55.00,,,,1997,lead,MEN,755
25,26,Wandeler,Simon,SUI,52.00,12. 28.00,,27. 4.00,,16. 20.00,1997,lead,MEN,861
26,27,Kryvosheytsev,Yevgen,UKR,48.00,,,16. 20.00,,12. 28.00,1997,lead,MEN,227
27,28,Millet,Sylvain,FRA,46.00,17. 18.00,12. 28.00,,,,1997,lead,MEN,838
28,29,Gisler,Pascal,SUI,40.00,17. 18.00,,21. 10.00,20. 12.00,,1997,lead,MEN,701
29,29,Gnerro,Alberto,ITA,40.00,,20. 12.00,,,12. 28.00,1997,lead,MEN,29
30,31,Giupponi,Luca,ITA,37.00,12. 28.00,,,,22. 9.00,1997,lead,MEN,514
31,32,Lella,Donato,ITA,35.00,,17. 18.00,26. 5.00,,20. 12.00,1997,lead,MEN,193
32,33,Alippi,Stefano,ITA,34.00,,,,,10. 34.00,1997,lead,MEN,789
33,33,Lagni,Bernardino,ITA,34.00,,,10. 34.00,,,1997,lead,MEN,87
34,35,Miller,Garth,AUS,32.00,,,25. 6.00,13. 26.00,,1997,lead,MEN,307
35,36,Havlik,Marek,CZE,18.00,,,,17. 18.00,,1997,lead,MEN,572
36,36,Sarkany,Frederic,BEL,18.00,17. 18.00,,,,,1997,lead,MEN,279
37,38,Villien,David,FRA,16.00,,30. 1.00,,21. 10.00,26. 5.00,1997,lead,MEN,211
38,39,Gallot-Lavallee,Mathieu,FRA,15.00,30. 1.00,,,,19. 14.00,1997,lead,MEN,569
39,40,Milewski,Hans,AUT,14.00,,,,19. 14.00,,1997,lead,MEN,339
40,41,ANDRADA JIMENEZ,Daniel,ESP,11.00,,,,25. 6.00,26. 5.00,1997,lead,MEN,160
41,42,Martinez,Fernando,ESP,10.00,26. 5.00,26. 5.00,,,,1997,lead,MEN,271
42,43,Fairfield,Timmy,CAN,9.00,,,,,22. 9.00,1997,lead,MEN,879
43,43,Lamiche,Anthony,FRA,9.00,,,27. 4.00,26. 5.00,,1997,lead,MEN,36
44,43,Oleksy,Tomasz,POL,9.00,,,,22. 9.00,,1997,lead,MEN,906
45,46,Otegui Zubiyaga,Ricardo,ESP,8.00,23. 8.00,,,,,1997,lead,MEN,773
46,47,Branford,Kevin,USA,7.00,,24. 7.00,,,,1997,lead,MEN,472
47,48,Jandenand,Damien,FRA,6.00,25. 6.00,,,,,1997,lead,MEN,185
48,48,Liana,Adam,POL,6.00,,25. 6.00,,,,1997,lead,MEN,39
49,50,Brunel,Ralph,ITA,4.00,,27. 4.00,,,,1997,lead,MEN,751
50,50,Caldwell,Tommy,USA,4.00,,,27. 4.00,,,1997,lead,MEN,870
51,50,Chrastina,Andrej,SVK,4.00,,,27. 4.00,,,1997,lead,MEN,16
52,50,Jensterle,Franci,SLO,4.00,,,27. 4.00,,,1997,lead,MEN,265
53,50,Le Gall,Nicolas,FRA,4.00,27. 4.00,,,,,1997,lead,MEN,650
54,50,Manzanedo,César Ciudad,ESP,4.00,,,27. 4.00,,,1997,lead,MEN,121
55,50,Mate,Robert,GER,4.00,27. 4.00,,,,,1997,lead,MEN,769
56,50,Son,Jung-Jun,KOR,4.00,,,27. 4.00,,,1997,lead,MEN,458
57,58,Carson,Neil,GBR,3.00,,,,28. 3.00,,1997,lead,MEN,643
