,Rank,Name,Name.1,Nation,Points,Kranj 14.11.2015,Wujiang 17.10.2015,Puurs 26.09.2015,Stavanger 21.08.2015,Imst 31.07.2015,Briançon 17.07.2015,Chamonix 10.07.2015,2015,event,gender
47,48,PUBU,ZhuoMa,CHN,12.00,,20. 12.00,,,,,,2015,lead,WOMEN
48,49,Holfeld,Johanna,GER,10.00,21. 10.00,,,,,,,2015,lead,WOMEN
49,49,Hulliger,Michelle,SUI,10.00,24. 7.00,,27. 3.00,,,,,2015,lead,WOMEN
50,51,Berthier,Nolwen,FRA,9.00,,,26. 5.00,,,,27. 4.00,2015,lead,WOMEN
51,51,Terenteva,Galina,RUS,9.00,,,,,,22. 9.00,,2015,lead,WOMEN
52,53,Söderlund,Matilda,SWE,8.00,,,,,,,23. 8.00,2015,lead,WOMEN
53,54,Meke,Veronika,SLO,6.00,25. 6.00,,,,,,,2015,lead,WOMEN
54,55,Marigo,Léa,FRA,5.00,,,,,,26. 5.00,,2015,lead,WOMEN
55,56,Doumont,Heloïse,BEL,3.00,,,,29. 2.00,,28. 1.00,,2015,lead,WOMEN
56,56,Sandbu,Maria Davies,NOR,3.00,,,,28. 3.00,,,,2015,lead,WOMEN
57,58,Clostermann,Chiara Maria,GER,2.00,,,29. 2.00,,,,,2015,lead,WOMEN
58,59,Kim Theisen,Michelle,DEN,1.00,,,,30. 1.00,,,,2015,lead,WOMEN
59,59,RENQING,LaMu,CHN,1.00,,,,,,28. 1.00,,2015,lead,WOMEN
60,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,2015,lead,WOMEN
