,Rank,Name,Name.1,Nation,Points,Munich 24.08.2013,Vail 07.06.2013,Toronto 01.06.2013,Innsbruck 17.05.2013,Log-Dragomer 11.05.2013,Kitzbühel 26.04.2013,Millau 05.04.2013,Chongqing 22.03.2013,2013,event,gender
0,1,Stöhr,Anna,AUT,700.00,1. 100.00,1. 100.00,1. 100.00,2. (80.00),1. 100.00,1. 100.00,1. 100.00,1. 100.00,2013,boulder,WOMEN
1,2,Noguchi,Akiyo,JPN,480.00,9. (37.00),2. 80.00,2. 80.00,3. 65.00,4. 55.00,2. 80.00,3. 65.00,4. 55.00,2013,boulder,WOMEN
2,3,Puccio,Alex,USA,438.00,2. 80.00,3. 65.00,3. 65.00,10. (29.00),7. 43.00,3. 65.00,4. 55.00,3. 65.00,2013,boulder,WOMEN
3,4,Coxsey,Shauna,GBR,426.00,3. 65.00,4. 55.00,4. 55.00,10. (29.00),3. 65.00,4. 55.00,2. 80.00,5. 51.00,2013,boulder,WOMEN
4,5,Wurm,Juliane,GER,345.00,13. 26.00,5. 51.00,7. 43.00,1. 100.00,,11. 31.00,5. 51.00,7. 43.00,2013,boulder,WOMEN
5,6,Saurwein,Katharina,AUT,317.00,4. 55.00,7. 43.00,6. 47.00,10. (29.00),8. 38.00,6. 47.00,6. 47.00,8. 40.00,2013,boulder,WOMEN
6,7,Oda,Momoka,JPN,313.00,,13. 26.00,5. 51.00,5. 51.00,10. 34.00,10. 34.00,9. 37.00,2. 80.00,2013,boulder,WOMEN
7,8,Le Neve,Melissa,FRA,296.00,15. 22.00,8. 40.00,8. 40.00,4. 55.00,2. 80.00,9. 37.00,15. 22.00,15. (22.00),2013,boulder,WOMEN
8,9,Leslie-Wujastyk,Mina,GBR,210.00,,11. 31.00,12. 28.00,9. 37.00,14. 24.00,12. 28.00,12. 28.00,10. 34.00,2013,boulder,WOMEN
9,10,Markovic,Mina,SLO,204.00,10. 34.00,,,14. 24.00,5. 51.00,5. 51.00,18. 16.00,12. 28.00,2013,boulder,WOMEN
10,11,Retschy,Monika,GER,196.00,11. 31.00,12. 28.00,10. 34.00,17. 18.00,18. (16.00),16. 20.00,17. 18.00,6. 47.00,2013,boulder,WOMEN
