,Rank,Name,Name.1,Nation,Points,1245,1264,1244,1246,1263,1261,2010,event,gender,athlete_id
57,58,Chang,Chia Chu,TPE,7.00,,24. 7.00,,,,,2010,lead,MEN,8904
58,58,Moreno De Los Huerto,Daniel,ESP,7.00,,,24. 7.00,,,,2010,lead,MEN,5813
59,58,Ogata,Kazutoshi,JPN,7.00,,,,24. 7.00,,,2010,lead,MEN,10028
60,61,Lee,Changhyon,KOR,6.00,,,,25. 6.00,,,2010,lead,MEN,8776
61,61,Lis,Jurgen,BEL,6.00,,,25. 6.00,,,,2010,lead,MEN,8279
62,61,Sova,Matej,SLO,6.00,27. 4.00,,28. 2.00,,,,2010,lead,MEN,629
63,64,Krakenberger,Franz,SUI,5.00,28. 3.00,,28. 2.00,,,,2010,lead,MEN,7387
64,64,Ngo,Truong,NED,5.00,,,26. 5.00,,,,2010,lead,MEN,9868
65,66,Aglae,Kevin,FRA,4.00,,,,,,27. 4.00,2010,lead,MEN,7665
66,66,Lee,Jeongsu,KOR,4.00,,,,27. 4.00,,,2010,lead,MEN,9647
67,66,Schellingerhout,Elko,NED,4.00,,,27. 4.00,,,,2010,lead,MEN,8869
68,69,Seo,Sungbo,KOR,3.00,,,,28. 3.00,,,2010,lead,MEN,9265
69,70,Epih,Sergej,SLO,2.00,29. 2.00,,,,,,2010,lead,MEN,8784
70,70,Murai,Ryuichi,JPN,2.00,,,,29. 2.00,,,2010,lead,MEN,9103
71,72,Konishi,Daisuke,JPN,1.00,,,,30. 1.00,,,2010,lead,MEN,7228
