,Rank,Name,Name.1,Nation,Points,283,250,247,243,280,240,2000,event,gender,athlete_id
0,1,Pons,Pedro,ESP,443.00,7. 43.00,1. 100.00,1. 100.00,16. 20.00,1. 100.00,2. 80.00,2000,boulder,MEN,726
1,2,Rakhmetov,Salavat,RUS,378.00,1. 100.00,11. 31.00,3. 65.00,1. 100.00,11. 31.00,5. 51.00,2000,boulder,MEN,845
2,3,DU LAC,Daniel,FRA,349.00,5. 51.00,2. 80.00,2. 80.00,6. 47.00,3. 65.00,13. 26.00,2000,boulder,MEN,175
3,4,Julien,Stephane,FRA,334.00,9. 37.00,5. 51.00,10. 34.00,3. 65.00,6. 47.00,1. 100.00,2000,boulder,MEN,826
4,5,ANDRADA JIMENEZ,Daniel,ESP,271.00,6. 47.00,4. 55.00,7. 43.00,28. 3.00,2. 80.00,7. 43.00,2000,boulder,MEN,160
5,6,Tuscan,Frédéric,FRA,249.00,11. 31.00,7. 43.00,9. 37.00,5. 51.00,8. 40.00,6. 47.00,2000,boulder,MEN,280
6,7,Meyer,Jérôme,FRA,237.00,14. 24.00,3. 65.00,4. 55.00,9. 37.00,12. 28.00,12. 28.00,2000,boulder,MEN,441
7,8,Core,Christian,ITA,206.00,2. 80.00,6. 47.00,,,19. 14.00,3. 65.00,2000,boulder,MEN,122
8,9,Fairfield,Timmy,CAN,184.00,8. 40.00,10. 34.00,15. 22.00,12. 28.00,5. 51.00,22. 9.00,2000,boulder,MEN,879
9,10,Golob,Jurij,SLO,181.00,10. 34.00,9. 37.00,8. 40.00,14. 24.00,14. 24.00,15. 22.00,2000,boulder,MEN,410
10,11,Chabot,Alexandre,FRA,169.00,,29. 2.00,6. 47.00,7. 43.00,7. 43.00,10. 34.00,2000,boulder,MEN,2825
11,12,Giudici,Lucio,ITA,161.00,4. 55.00,,5. 51.00,,4. 55.00,,2000,boulder,MEN,515
12,13,Kazbekov,Serik,UKR,152.00,13. 26.00,17. 18.00,12. 28.00,2. 80.00,,,2000,boulder,MEN,829
13,14,Meral,Julien,FRA,130.00,15. 22.00,8. 40.00,,11. 31.00,9. 37.00,,2000,boulder,MEN,3062
14,15,Dutray,Mathieu,FRA,123.00,22. 9.00,14. 24.00,25. 6.00,21. 10.00,10. 34.00,8. 40.00,2000,boulder,MEN,562
15,16,Laurence,Ludovic,FRA,79.00,,,21. 10.00,20. 12.00,13. 26.00,11. 31.00,2000,boulder,MEN,521
16,17,Vedenmeer,Andrey,UKR,76.00,19. 14.00,,24. 7.00,4. 55.00,,,2000,boulder,MEN,68
17,18,Fischhuber,Kilian,AUT,70.00,12. 28.00,,17. 18.00,14. 24.00,,,2000,boulder,MEN,2602
18,19,Noe,Frédéric,FRA,68.00,,12. 28.00,19. 14.00,19. 14.00,20. 12.00,,2000,boulder,MEN,274
19,20,Müller,Matthias,SUI,67.00,16. 20.00,21. 10.00,28. 3.00,10. 34.00,,,2000,boulder,MEN,2675
20,21,Jeandenand,Damien,FRA,66.00,,27. 4.00,11. 31.00,26. 5.00,23. 8.00,17. 18.00,2000,boulder,MEN,186
21,22,Sharma,Chris,USA,65.00,3. 65.00,,,,,,2000,boulder,MEN,151
22,23,Petit,François,FRA,56.00,,,,,30. 1.00,4. 55.00,2000,boulder,MEN,275
23,24,Danis,Jean Luc,FRA,53.00,21. 10.00,13. 26.00,,21. 10.00,,24. 7.00,2000,boulder,MEN,396
24,25,Oleksy,Tomasz,POL,40.00,,,,8. 40.00,,,2000,boulder,MEN,906
25,26,Felgerolle,Benjamin,FRA,39.00,,,18. 16.00,26. 5.00,25. 6.00,20. 12.00,2000,boulder,MEN,3102
26,26,Scarian,Riccardo,ITA,39.00,30. 1.00,26. 5.00,22. 9.00,23. 8.00,,18. 16.00,2000,boulder,MEN,778
27,28,Cehovin,Urh,SLO,38.00,28. 3.00,15. 22.00,,,28. 3.00,21. 10.00,2000,boulder,MEN,930
28,29,Marinov,Boyco,BUL,37.00,,,,,,9. 37.00,2000,boulder,MEN,3216
29,30,Pont,Gabriel,FRA,30.00,,20. 12.00,,,17. 18.00,,2000,boulder,MEN,3196
30,31,Ovchinnikov,Evgeny,RUS,26.00,,,13. 26.00,,,,2000,boulder,MEN,232
31,31,Umnitsyn,Mikhail,RUS,26.00,17. 18.00,,,23. 8.00,,,2000,boulder,MEN,3539
32,31,Valjavec,Tomaz,SLO,26.00,,,,13. 26.00,,,2000,boulder,MEN,926
33,34,Borowka,Karsten,GER,24.00,,,14. 24.00,,,,2000,boulder,MEN,2057
34,34,Daures,Luc,FRA,24.00,,25. 6.00,,17. 18.00,,,2000,boulder,MEN,513
35,34,Garbov,Kalin,BUL,24.00,,,,,,14. 24.00,2000,boulder,MEN,478
36,37,Auclair,François,FRA,22.00,,,,,15. 22.00,,2000,boulder,MEN,245
37,38,Brenna,Cristian,ITA,20.00,,,,,,16. 20.00,2000,boulder,MEN,109
38,38,Cabane,Rafael,FRA,20.00,,,,,16. 20.00,,2000,boulder,MEN,755
39,38,Haager,Benedikt,GER,20.00,,,16. 20.00,,,,2000,boulder,MEN,81
40,38,Havlik,Marek,CZE,20.00,18. 16.00,,30. 1.00,28. 3.00,,,2000,boulder,MEN,572
41,38,Sabthier,Benoit,FRA,20.00,,16. 20.00,,,,,2000,boulder,MEN,3175
42,43,Cabessut,Romain,FRA,16.00,,,,,18. 16.00,,2000,boulder,MEN,2622
43,43,Jourjon,Jean Baptiste,FRA,16.00,,,,18. 16.00,,,2000,boulder,MEN,3473
44,43,Okano,Hiroshi,JPN,16.00,,18. 16.00,,,,,2000,boulder,MEN,341
45,46,Kryvosheytsev,Yevgen,UKR,15.00,23. 8.00,24. 7.00,,,,,2000,boulder,MEN,227
46,47,Aunet,Jimmy,FRA,14.00,,19. 14.00,,,,,2000,boulder,MEN,381
47,47,Djambazov,Todor,BUL,14.00,,,,,,19. 14.00,2000,boulder,MEN,2964
48,49,Bychkov,Dmitrii,RUS,12.00,,,20. 12.00,,,,2000,boulder,MEN,169
49,49,Ghidini,Stefano,ITA,12.00,20. 12.00,,,,,,2000,boulder,MEN,819
50,49,Lagarrigue,Laurent,FRA,12.00,,,,28. 3.00,22. 9.00,,2000,boulder,MEN,522
51,52,Philippe,Jonathan,FRA,11.00,,23. 8.00,,28. 3.00,,,2000,boulder,MEN,3327
52,53,Dard,Yohann,FRA,10.00,,,,,21. 10.00,,2000,boulder,MEN,3472
53,54,Ceccaldi,Jérome,FRA,9.00,,22. 9.00,,,,,2000,boulder,MEN,3602
54,55,Douloub,Iouri,RUS,8.00,,,,23. 8.00,,,2000,boulder,MEN,351
55,55,Littlefair,Stuart,GBR,8.00,,,23. 8.00,,,,2000,boulder,MEN,3430
56,57,Chrastina,Andrej,SVK,7.00,24. 7.00,,,,,,2000,boulder,MEN,16
57,57,Harbourg,Pierre,FRA,7.00,,,,,24. 7.00,,2000,boulder,MEN,3330
58,59,Teijsse,Dennis,NED,6.00,25. 6.00,,,,,,2000,boulder,MEN,3068
59,59,Thanopoulos,Aristomenes,GRE,6.00,,,,,,25. 6.00,2000,boulder,MEN,64
60,61,Fiedler,Bernhard,AUT,5.00,26. 5.00,,,,,,2000,boulder,MEN,3551
61,61,Htenas,Athanasios,GRE,5.00,,,,,,26. 5.00,2000,boulder,MEN,3461
62,61,Januel,Nicolas,FRA,5.00,,,,,26. 5.00,,2000,boulder,MEN,3176
63,61,Schönenberger,Urs,SUI,5.00,,,26. 5.00,,,,2000,boulder,MEN,933
64,61,Wandeler,Simon,SUI,5.00,,,26. 5.00,,,,2000,boulder,MEN,861
65,66,Pejkovski,Zoran,MKD,4.00,,,,,,27. 4.00,2000,boulder,MEN,3369
66,66,Pinier,Nicolas,FRA,4.00,,,,,27. 4.00,,2000,boulder,MEN,653
67,66,Rozman,Marko,CRO,4.00,27. 4.00,,,,,,2000,boulder,MEN,621
68,69,Chau-Uhu,Olivier,FRA,3.00,,28. 3.00,,,,,2000,boulder,MEN,665
69,69,Gezerlis,Spiridon,GRE,3.00,,,,,,28. 3.00,2000,boulder,MEN,3462
70,69,Nourmamatov,Serguei,RUS,3.00,,,,28. 3.00,,,2000,boulder,MEN,840
71,69,Piliougine,Igor,RUS,3.00,,,,28. 3.00,,,2000,boulder,MEN,2513
72,73,Archambault,Dan,CAN,2.00,,,29. 2.00,,,,2000,boulder,MEN,2644
73,73,Gallot-Lavallee,Mathieu,FRA,2.00,,,,,29. 2.00,,2000,boulder,MEN,569
74,73,Kuzmanovski,Goran,MKD,2.00,,,,,,29. 2.00,2000,boulder,MEN,3463
75,73,Mrázek,Tomás,CZE,2.00,29. 2.00,,,,,,2000,boulder,MEN,3377
76,73,Trajkovski,Martin,MKD,2.00,,,,,,29. 2.00,2000,boulder,MEN,3372
77,78,De Girolamo,Vincent,FRA,1.00,,30. 1.00,,,,,2000,boulder,MEN,3184
