,Rank,Name,Name.1,Nation,Points,6843,6206,6331,6248,6202,6190,6186,6194,2017,event,gender,athlete_id
42,42,Kipriianova,Ekaterina,RUS,22.00,,,,,15. 22.00,,,,2017,lead,WOMEN,6078
43,44,Miller,Delaney,USA,21.00,,,,19. 14.00,24. 7.00,,,,2017,lead,WOMEN,9673
44,45,Buhrfeind,Claire,USA,20.00,,,,,16. 20.00,,,,2017,lead,WOMEN,11375
45,46,Condie,Kyra,USA,18.00,,,,,17. 18.00,,,,2017,lead,WOMEN,11374
46,46,Nonaka,Miho,JPN,18.00,17. 18.00,,,,,,,,2017,lead,WOMEN,12039
47,48,Bae,Jiwon,KOR,17.00,,22. 9.00,23. 8.00,,,,,,2017,lead,WOMEN,12179
48,49,Lee,Hung Ying,TPE,13.00,,25. 6.00,24. 7.00,,,,,,2017,lead,WOMEN,8122
49,50,Lin,Hsiu-Ju,TPE,12.00,,21. 10.00,29. 2.00,,,,,,2017,lead,WOMEN,9262
50,50,Moriwaki,Honoka,JPN,12.00,,,20. 12.00,,,,,,2017,lead,WOMEN,67290
51,52,Kim,Minseon,KOR,11.00,,,,25. 6.00,,26. 5.00,,,2017,lead,WOMEN,11187
52,52,Tsyganova,Anna,RUS,11.00,,23. 8.00,28. 3.00,,,,,,2017,lead,WOMEN,8428
53,54,Stöckler,Laura,AUT,10.00,,,,,,21. 10.00,,,2017,lead,WOMEN,11960
54,55,BAIMA,YuZhen,CHN,9.00,,26. 5.00,27. 4.00,,,,,,2017,lead,WOMEN,14157
55,55,Kadic,Katja,SLO,9.00,22. 9.00,,,,,,,,2017,lead,WOMEN,9472
56,57,Cuypers,Celine,BEL,8.00,,,,,,,,23. 8.00,2017,lead,WOMEN,11030
57,57,Wood,Jennifer,GBR,8.00,,,,23. 8.00,,,,,2017,lead,WOMEN,11498
58,59,Bestvater,Alma,GER,7.00,,,,24. 7.00,,,,,2017,lead,WOMEN,11149
59,59,Lavarda,Jenny,ITA,7.00,,,,,,,24. 7.00,,2017,lead,WOMEN,1179
60,59,Rakovec,Lucka,SLO,7.00,23. 7.00,,,,,,,,2017,lead,WOMEN,13208
61,62,Caulier,Chloe,BEL,6.00,,,,,,,,25. 6.00,2017,lead,WOMEN,9945
62,63,Emeleva,Luiza,RUS,5.00,,,,,,,26. 5.00,,2017,lead,WOMEN,12659
63,63,Kiesgen,Lilli,GER,5.00,,,,26. 5.00,,,,,2017,lead,WOMEN,10744
64,63,Midtboe,Hannah,NOR,5.00,26. 5.00,,,,,,,,2017,lead,WOMEN,6522
65,63,Slamti,Kenza,FRA,5.00,,,,,,29. 2.00,28. 3.00,,2017,lead,WOMEN,9987
66,63,Son,Sunga,KOR,5.00,,,26. 5.00,,,,,,2017,lead,WOMEN,61156
67,68,Brinkmann,Joanne,SUI,4.00,,,,,,,27. 4.00,,2017,lead,WOMEN,11813
68,68,Morrison,Kitty,GBR,4.00,,,,27. 4.00,,,,,2017,lead,WOMEN,13250
69,68,Vejmolova,Iva,CZE,4.00,,,,,27. 4.00,,,,2017,lead,WOMEN,9500
70,71,Lapshina,Evgeniya,RUS,3.00,,,,,,,,28. 3.00,2017,lead,WOMEN,10614
71,71,Neame,Joanna,GBR,3.00,,,,28. 3.00,,,,,2017,lead,WOMEN,57750
72,73,Carroll,Chauncey,USA,2.00,,,,29. 2.00,,,,,2017,lead,WOMEN,65974
73,73,Kalan,Tjasa,SLO,2.00,29. 2.00,,,,,,,,2017,lead,WOMEN,10826
74,73,Piola,Anouk,SUI,2.00,,,,,,,,29. 2.00,2017,lead,WOMEN,3888
75,73,Rosen,Kajsa,SWE,2.00,,,,,,,29. 2.00,,2017,lead,WOMEN,11705
76,73,SA,Sol,KOR,2.00,,,,,28. 2.00,,,,2017,lead,WOMEN,9266
77,78,Amann,Katrin,SWE,1.00,,,,30. 1.00,,,,,2017,lead,WOMEN,10259
78,78,SONG,YiLing,CHN,1.00,,,30. 1.00,,,,,,2017,lead,WOMEN,60398
