,Rank,Name,Name.1,Nation,Points,774,756,747,745,2005,event,gender,athlete_id
33,34,Pribil,Jiri,CZE,24.00,,14. 24.00,,,2005,boulder,MEN,2522
34,35,Glairon Mondet,Guillaume,FRA,18.00,17. 18.00,,,,2005,boulder,MEN,3500
35,36,Neuhaus,Thorsten,GER,16.00,,18. 16.00,,,2005,boulder,MEN,905
36,36,Selica,Gregor,SLO,16.00,,18. 16.00,,,2005,boulder,MEN,316
37,36,West,Ben,GBR,16.00,,,,18. 16.00,2005,boulder,MEN,6416
38,39,Shaferov,Sergei,BLR,14.00,,,19. 14.00,,2005,boulder,MEN,5396
39,40,Hoppe,Markus,GER,11.00,,,23. 8.00,28. 3.00,2005,boulder,MEN,3706
40,41,Calibani,Mauro,ITA,10.00,,21. 10.00,,,2005,boulder,MEN,554
41,41,Pringle,Ethan,USA,10.00,,21. 10.00,,,2005,boulder,MEN,3622
42,43,Mogaki,Keita,JPN,9.00,,,,22. 9.00,2005,boulder,MEN,3246
43,44,Cehovin,Urh,SLO,7.00,30. 1.00,,25. 6.00,,2005,boulder,MEN,930
44,44,Gerland,Bastien,FRA,7.00,24. 7.00,,,,2005,boulder,MEN,5647
45,46,Jongeneelen,Wouter,NED,6.00,25. 6.00,,,,2005,boulder,MEN,961
46,46,Shevchenko,Kyrylo,UKR,6.00,,,25. 6.00,,2005,boulder,MEN,2604
47,46,Wilhelm,Heiko,AUT,6.00,,25. 6.00,,,2005,boulder,MEN,349
48,49,Hlavacek,Jakub,CZE,5.00,26. 5.00,,,,2005,boulder,MEN,418
49,49,Pezzulo,Giovanni,ITA,5.00,,26. 5.00,,,2005,boulder,MEN,7112
50,51,Becan,Klemen,SLO,4.00,,,,27. 4.00,2005,boulder,MEN,2523
51,51,Caminati,Michele,ITA,4.00,,27. 4.00,,,2005,boulder,MEN,6245
52,51,Kozlov,Vasily,RUS,4.00,,,27. 4.00,,2005,boulder,MEN,5138
53,51,Preti,Lucas,ITA,4.00,,27. 4.00,,,2005,boulder,MEN,2606
54,51,Shalagin,Mykhaylo,UKR,4.00,,,27. 4.00,,2005,boulder,MEN,3205
55,56,Munari,Patricio,ARG,3.00,28. 3.00,,,,2005,boulder,MEN,7098
56,57,Bashkirtsev,Evgeny,RUS,2.00,,,29. 2.00,,2005,boulder,MEN,6130
57,57,Januel,Etienne,FRA,2.00,29. 2.00,,,,2005,boulder,MEN,3568
58,57,Kryukov,Valeriy,UKR,2.00,,,29. 2.00,,2005,boulder,MEN,6934
59,60,Huber,Christoph,AUT,1.00,,,,30. 1.00,2005,boulder,MEN,3123
60,60,Rasmussen,Stefan,SWE,1.00,,,,30. 1.00,2005,boulder,MEN,5715
