,Rank,Name,Name.1,Nation,Points,1119,1118,1101,1100,1120,1094,2008,event,gender,athlete_id
0,1,Ropek,Edyta,POL,366.00,2. 80.00,4. 55.00,1. 100.00,8. (40.00),5. 51.00,2. 80.00,2008,speed,WOMEN,3547
1,2,Ryepko,Olena,UKR,332.00,1. 100.00,3. 65.00,4. 55.00,6. 47.00,9. (37.00),3. 65.00,2008,speed,WOMEN,1105
2,3,Tuzhylina,Svitlana,UKR,327.00,4. 55.00,1. 100.00,2. 80.00,4. 55.00,10. (34.00),9. 37.00,2008,speed,WOMEN,6609
3,4,Li,Chunhua,CHN,317.00,5. 51.00,7. 43.00,7. 43.00,2. 80.00,1. 100.00,,2008,speed,WOMEN,4962
4,5,Blanco,Lucelia,VEN,275.00,3. 65.00,5. 51.00,15. 22.00,9. 37.00,,1. 100.00,2008,speed,WOMEN,7120
5,6,Stenkovaya,Anna,RUS,257.00,6. 47.00,2. 80.00,6. 47.00,7. 43.00,8. 40.00,8. (40.00),2008,speed,WOMEN,3619
6,7,He,Cuifang,CHN,248.00,,11. 31.00,9. 37.00,1. 100.00,2. 80.00,,2008,speed,WOMEN,6769
7,8,Yurina,Valentina,RUS,225.00,8. 40.00,6. 47.00,3. 65.00,17. 18.00,,4. 55.00,2008,speed,WOMEN,3316
8,9,Bezhko,Olga,UKR,212.00,7. 43.00,9. 37.00,5. 51.00,10. 34.00,,6. 47.00,2008,speed,WOMEN,5255
9,10,Morozkina,Olga,RUS,189.00,12. (28.00),8. 40.00,8. 40.00,11. 31.00,6. 47.00,11. 31.00,2008,speed,WOMEN,7114
10,11,He,CuiLian,CHN,154.00,,,14. 24.00,3. 65.00,3. 65.00,,2008,speed,WOMEN,8419
11,12,PAN,Xuhua,CHN,124.00,,,17. 18.00,5. 51.00,4. 55.00,,2008,speed,WOMEN,8787
12,13,Piratinskaya,Mayya,RUS,109.00,,,11. 31.00,15. 22.00,12. 28.00,12. 28.00,2008,speed,WOMEN,1267
13,14,Rodriguez,Francis,VEN,108.00,,12. 28.00,10. 34.00,14. 24.00,,15. 22.00,2008,speed,WOMEN,6228
14,15,Mylnikova,Anna,RUS,101.00,19. 14.00,,18. 16.00,12. 28.00,,7. 43.00,2008,speed,WOMEN,8871
15,16,Da Silva,Rosmery,VEN,51.00,,,,,,5. 51.00,2008,speed,WOMEN,6330
16,17,Goatache,Katy,VEN,46.00,,,13. 26.00,16. 20.00,,,2008,speed,WOMEN,9087
17,18,Zhang,Dan,CHN,43.00,,,,,7. 43.00,,2008,speed,WOMEN,7324
18,19,Gallyamova,Anna,RUS,37.00,9. 37.00,,,,,,2008,speed,WOMEN,5146
19,20,Iskakova,Aliya,KAZ,36.00,26. 5.00,,,,11. 31.00,,2008,speed,WOMEN,7123
20,21,Hrozova,Lucie,CZE,35.00,,,12. 28.00,24. 7.00,,,2008,speed,WOMEN,5633
21,22,Evstigneeva,Olga,RUS,34.00,10. 34.00,,,,,,2008,speed,WOMEN,5144
22,22,Graftiaux,Chloé,BEL,34.00,,10. 34.00,,,,,2008,speed,WOMEN,5259
23,22,Savchenko,Ganna,UKR,34.00,,,,,,10. 34.00,2008,speed,WOMEN,7274
24,25,Titova,Natalia,RUS,31.00,11. 31.00,,,,,,2008,speed,WOMEN,1304
25,26,Gabazú,Rossi,VEN,29.00,,,16. 20.00,22. 9.00,,,2008,speed,WOMEN,7884
26,27,Gaidamakina,Alina,RUS,26.00,13. 26.00,,,,,,2008,speed,WOMEN,7234
27,27,Graftiaux,Alix,BEL,26.00,,13. 26.00,,,,,2008,speed,WOMEN,3492
28,27,Irsaliyeva,Dinara,KAZ,26.00,,,,13. 26.00,,,2008,speed,WOMEN,6700
