,Rank,Name,Name.1,Nation,Points,Kranj 16.11.2013,Valence 01.11.2013,Wujiang 19.10.2013,Mokpo 11.10.2013,Perm 27.09.2013,Puurs 20.09.2013,Imst 09.08.2013,Briançon 19.07.2013,2013,event,gender
0,1,Amma,Sachi,JPN,572.00,3. 65.00,6. 47.00,1. 100.00,1. 100.00,,2. 80.00,1. 100.00,2. 80.00,2013,lead,MEN
1,2,Schubert,Jakob,AUT,535.00,1. 100.00,4. 55.00,3. 65.00,4. 55.00,2. 80.00,1. 100.00,2. 80.00,23. (8.00),2013,lead,MEN
2,3,Julian Puigblanque,Ramón,ESP,420.00,8. 40.00,8. 40.00,17. (18.00),10. 32.00,1. 100.00,7. 43.00,3. 65.00,1. 100.00,2013,lead,MEN
3,4,Min,Hyunbin,KOR,360.00,5. 51.00,7. 43.00,,2. 80.00,3. 65.00,8. 40.00,4. 55.00,13. 26.00,2013,lead,MEN
4,5,McColl,Sean,CAN,356.00,10. 32.00,2. 80.00,2. 80.00,3. 65.00,,3. 65.00,10. 34.00,,2013,lead,MEN
5,6,Desgranges,Romain,FRA,346.00,7. 43.00,5. 51.00,4. 55.00,5. 51.00,5. 51.00,4. 55.00,8. 40.00,16. (20.00),2013,lead,MEN
6,7,Supper,Gautier,FRA,333.00,4. 55.00,3. 65.00,7. 43.00,9. 37.00,6. 47.00,11. (31.00),7. 43.00,7. 43.00,2013,lead,MEN
7,8,Romain,Manuel,FRA,319.00,6. 47.00,9. 37.00,6. 47.00,7. 43.00,7. 43.00,5. 51.00,9. (37.00),5. 51.00,2013,lead,MEN
8,9,Skofic,Domen,SLO,245.00,24. 7.00,11. 31.00,11. 31.00,6. 47.00,9. 37.00,9. 37.00,,4. 55.00,2013,lead,MEN
9,10,Ghisolfi,Stefano,ITA,232.00,25. (6.00),10. 34.00,9. 37.00,8. 40.00,8. 40.00,16. 20.00,19. 14.00,6. 47.00,2013,lead,MEN
10,11,Ondra,Adam,CZE,180.00,2. 80.00,1. 100.00,,,,,,,2013,lead,MEN
11,12,Ballet,Thomas,FRA,175.00,,13. 26.00,,,10. 34.00,10. 34.00,6. 47.00,10. 34.00,2013,lead,MEN
12,13,Lechner,Mario,AUT,151.00,21. 10.00,16. 20.00,12. 28.00,15. 22.00,11. 31.00,23. (8.00),13. 26.00,19. 14.00,2013,lead,MEN
13,14,Primozic,Urban,SLO,147.00,17. 18.00,14. 24.00,5. 51.00,13. 26.00,,,12. 28.00,,2013,lead,MEN
14,15,Midtboe,Magnus,NOR,134.00,26. 5.00,,,,,6. 47.00,5. 51.00,11. 31.00,2013,lead,MEN
15,16,Vettorata,Francesco,ITA,128.00,15. 22.00,12. 28.00,,,18. 14.00,14. 24.00,20. 12.00,12. 28.00,2013,lead,MEN
16,17,Chernikov,Mikhail,RUS,101.00,10. 32.00,,,,16. 19.00,24. 7.00,11. 31.00,20. 12.00,2013,lead,MEN
