,Rank,Name,Name.1,Nation,Points,MunichWC 18.08.2017,MumbaiWC 24.06.2017,VailWC 09.06.2017,TokyoWC 06.05.2017,NanjingWC 29.04.2017,ChongqingWC 22.04.2017,MeiringenWC 07.04.2017,2017,event,gender
54,52,Tesio,Giorgia,ITA,7.00,,,,,,,23. 7.00,2017,boulder,WOMEN
55,52,kajima,Tomoko,JPN,7.00,,,,23. 7.00,,,,2017,boulder,WOMEN
56,57,Zvigule,Alise,LAT,6.00,,25. 6.00,,,,,,2017,boulder,WOMEN
57,58,Eshghi,Solmaz,IRI,5.00,,26. 5.00,,,,,,2017,boulder,WOMEN
58,58,Karnis,Bronwen,CAN,5.00,,,25. 5.00,,,,,2017,boulder,WOMEN
59,58,McKeehan,Grace,USA,5.00,,,25. 5.00,,,,,2017,boulder,WOMEN
60,58,Pilz,Jessica,AUT,5.00,25. 5.00,,,,,,,2017,boulder,WOMEN
61,58,Tajima,Aika,JPN,5.00,,,,25. 5.00,,,,2017,boulder,WOMEN
62,63,Hayes,Tara,GBR,3.00,27. 3.00,,,,,,,2017,boulder,WOMEN
63,63,Madere,Maya,USA,3.00,,,27. 3.00,,,,,2017,boulder,WOMEN
64,63,Oda,Momoka,JPN,3.00,,,,27. 3.00,,,,2017,boulder,WOMEN
65,63,Raksachat,Pratthana,THA,3.00,,27. 3.00,,,,,,2017,boulder,WOMEN
66,63,Tamang,Panchamaya,NEP,3.00,,27. 3.00,,,,,,2017,boulder,WOMEN
67,63,Tsyganova,Anna,RUS,3.00,,,,,,27. 3.00,,2017,boulder,WOMEN
68,63,Ulzhabayeva,Tamara,KAZ,3.00,,,,,27. 3.00,,,2017,boulder,WOMEN
69,63,Yokoyama,Sofya,SUI,3.00,27. 3.00,,,,,,,2017,boulder,WOMEN
70,71,Manerikar,Siddhi Shekhar,IND,2.00,,29. 2.00,,,,,,2017,boulder,WOMEN
71,72,Bärtschi,Natalie,SUI,1.00,29. 1.00,,,,,,,2017,boulder,WOMEN
72,72,JIANG,Rong,CHN,1.00,,,,,29. 1.00,,,2017,boulder,WOMEN
73,72,Pucheux,Margaux,FRA,1.00,,,,,,,29. 1.00,2017,boulder,WOMEN
74,72,SOTOME,Miharu,JPN,1.00,,,,,,29. 1.00,,2017,boulder,WOMEN
75,72,Soga,Ayano,JPN,1.00,,,,30. 1.00,,,,2017,boulder,WOMEN
76,72,Thompson,Eva,CAN,1.00,,,29. 1.00,,,,,2017,boulder,WOMEN
77,72,Tomas,Watchareewan,THA,1.00,,30. 1.00,,,,,,2017,boulder,WOMEN
78,"6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.",2017,boulder,WOMEN
