,Rank,Name,Name.1,Nation,Points,1584,1587,1581,1586,1585,2015,event,gender,athlete_id
0,1,CHON,Jongwon,KOR,292.00,3. 65.00,1. 100.00,2. 80.00,,6. 47.00,2015,boulder,MEN,11183
1,2,Hojer,Jan,GER,264.00,5. 51.00,4. 55.00,4. 55.00,1. 100.00,27. 3.00,2015,boulder,MEN,6623
2,3,Ondra,Adam,CZE,259.00,8. 38.00,5. 51.00,8. 40.00,3. 65.00,3. 65.00,2015,boulder,MEN,8372
3,4,Coleman,Nathaniel,USA,238.00,11. 31.00,11. 31.00,18. 16.00,2. 80.00,2. 80.00,2015,boulder,MEN,12601
4,5,Levier,Alban,FRA,202.00,29. 1.00,3. 65.00,14. 24.00,20. 12.00,1. 100.00,2015,boulder,MEN,10922
5,6,Gelmanov,Rustam,RUS,179.00,6. 47.00,2. 80.00,7. 43.00,21. 9.00,,2015,boulder,MEN,6933
6,7,Fujii,Kokoro,JPN,173.00,27. 3.00,9. 37.00,11. 31.00,6. 47.00,4. 55.00,2015,boulder,MEN,10172
7,8,McColl,Sean,CAN,169.00,,,1. 100.00,5. 51.00,17. 18.00,2015,boulder,MEN,5089
8,9,Sugimoto,Rei,JPN,151.00,8. 38.00,15. 22.00,9. 37.00,8. 40.00,19. 14.00,2015,boulder,MEN,7465
9,10,Bonder,Jeremy,FRA,146.00,,14. 24.00,5. 51.00,12. 28.00,7. 43.00,2015,boulder,MEN,9991
