,Rank,Name,Name.1,Nation,Points,1195,1194,1193,1190,1187,2009,event,gender,athlete_id
57,54,de Leeuw,Nicky,NED,12.00,21. 9.00,,,27. 3.00,,2009,boulder,MEN,6098
58,59,Kim,Jaha,KOR,11.00,29. 1.00,21. 10.00,,,,2009,boulder,MEN,5830
59,60,Schubert,Jakob,AUT,9.00,,,,21. 9.00,,2009,boulder,MEN,6550
60,61,Caminati,Michele,ITA,7.00,,,23. 7.00,,,2009,boulder,MEN,6245
61,61,Macias Matutano,Bruno,ESP,7.00,,,,24. 7.00,,2009,boulder,MEN,2487
62,61,Paholek,Terry,CAN,7.00,,24. 7.00,,,,2009,boulder,MEN,9011
63,64,Chernikov,Mikhail,RUS,5.00,,,,25. 5.00,,2009,boulder,MEN,6935
64,64,Edwards,Marc,AUS,5.00,,,,,26. 5.00,2009,boulder,MEN,6486
65,66,Roden,Ryan,USA,4.00,,27. 4.00,,,,2009,boulder,MEN,7295
66,67,Sugimoto,Rei,JPN,3.00,,,,,28. 3.00,2009,boulder,MEN,7465
67,67,Ten Sijthoff,Casper,NED,3.00,27. 3.00,,,,,2009,boulder,MEN,2560
68,69,Curtis,Dustin,CAN,2.00,,28. 2.00,,,,2009,boulder,MEN,8561
69,69,Oyama,Fumihiro,JPN,2.00,,28. 2.00,,,,2009,boulder,MEN,8755
70,71,De Leeuw,Ricardo,NED,1.00,29. 1.00,,,,,2009,boulder,MEN,5280
71,71,Stranik,Martin,CZE,1.00,,,,30. 1.00,,2009,boulder,MEN,6489
72,71,Sugita,Masatoshi,JPN,1.00,,,,,30. 1.00,2009,boulder,MEN,7753
