,Rank,Name,Name.1,Nation,Points,647,676,642,2004,event,gender,athlete_id
0,1,Ruyga,Tatiana,RUS,255.00,4. 55.00,1. 100.00,1. 100.00,2004,speed,WOMEN,1378
1,2,Stenkovaya,Anna,RUS,235.00,1. 100.00,4. 55.00,2. 80.00,2004,speed,WOMEN,3619
2,3,Hendrawati,Agung Ethi,INA,182.00,3. 65.00,2. 80.00,9. 37.00,2004,speed,WOMEN,4950
3,4,Yurina,Valentina,RUS,167.00,9. 37.00,3. 65.00,3. 65.00,2004,speed,WOMEN,3316
4,5,Zakharova,Olga,UKR,146.00,8. 40.00,5. 51.00,4. 55.00,2004,speed,WOMEN,1312
5,6,Piratinskaya,Mayya,RUS,102.00,,5. 51.00,5. 51.00,2004,speed,WOMEN,1267
6,7,Saulevich,Olesya,RUS,98.00,,5. 51.00,6. 47.00,2004,speed,WOMEN,2712
7,8,Ropek,Edyta,POL,91.00,5. 51.00,,8. 40.00,2004,speed,WOMEN,3547
8,9,Ostapenko,Olena,UKR,85.00,,5. 51.00,10. 34.00,2004,speed,WOMEN,1015
9,10,Karesova,Eliska,CZE,80.00,,9. 37.00,7. 43.00,2004,speed,WOMEN,5171
10,10,Neliwati,Evi,INA,80.00,2. 80.00,,,2004,speed,WOMEN,4954
11,12,Herzog,Nina,AUT,62.00,,10. 34.00,12. 28.00,2004,speed,WOMEN,6524
12,13,Nilsson,Kristina,SWE,50.00,13. 26.00,,14. 24.00,2004,speed,WOMEN,6134
13,14,Liu,Gui-Ying,CHN,47.00,18. 16.00,,11. 31.00,2004,speed,WOMEN,5414
14,14,Piszczek,Renata,POL,47.00,6. 47.00,,,2004,speed,WOMEN,1329
15,16,Li,Chunhua,CHN,43.00,7. 43.00,,,2004,speed,WOMEN,4962
16,17,Huang,Li-Ping,CHN,42.00,18. 16.00,,13. 26.00,2004,speed,WOMEN,4947
17,18,Perlova,Nataliya,UKR,34.00,10. 34.00,,,2004,speed,WOMEN,1299
18,19,Wei,Sheng-Ju,CHN,31.00,11. 31.00,,,2004,speed,WOMEN,5416
19,20,Cheng,Lai-Sho,HKG,28.00,12. 28.00,,,2004,speed,WOMEN,5979
20,21,Couchot,Mathilde,FRA,24.00,,,14. 24.00,2004,speed,WOMEN,5635
21,21,Xu,Kitty,NZL,24.00,14. 24.00,,,2004,speed,WOMEN,5828
22,23,Huang,Qingzhu,CHN,22.00,15. 22.00,,,2004,speed,WOMEN,6772
23,24,Ulzhabayeva,Tamara,KAZ,20.00,16. 20.00,,,2004,speed,WOMEN,5151
24,25,He,Cuifang,CHN,18.00,17. 18.00,,,2004,speed,WOMEN,6769
25,26,Irsaliyeva,Dinara,KAZ,16.00,18. 16.00,,,2004,speed,WOMEN,6700
