,Rank,Name,Name.1,Nation,Points,7953,7950,7938,7947,7944,7941,2019,event,gender,athlete_id
0,1,Ondra,Adam,CZE,300.00,,1. 100.00,1. 100.00,,1. 100.00,,2019,lead,MEN,8372
1,2,Ginés López,Alberto,ESP,256.00,2. 80.00,5. 51.00,3. 65.00,22. 9.00,5. 51.00,26. (5.00),2019,lead,MEN,56609
2,3,McColl,Sean,CAN,206.00,6. 47.00,26. (5.00),4. 55.00,5. 51.00,7. 43.00,21. 10.00,2019,lead,MEN,5089
3,4,Harada,Kai,JPN,195.00,25. 6.00,4. 55.00,2. 80.00,,8. 40.00,19. 14.00,2019,lead,MEN,14023
4,5,Ghisolfi,Stefano,ITA,190.00,3. 65.00,13. 25.00,6. 47.00,15. 22.00,26. (5.00),11. 31.00,2019,lead,MEN,8323
5,6,Shimizu,Hiroto,JPN,180.00,1. 100.00,,,2. 80.00,,,2019,lead,MEN,11392
6,7,Fujii,Kokoro,JPN,165.00,20. 12.00,11. 31.00,5. 51.00,,11. 31.00,8. 40.00,2019,lead,MEN,10172
7,7,Megos,Alexander,GER,165.00,,,,16. 20.00,2. 80.00,3. 65.00,2019,lead,MEN,9058
8,9,Bailey,Sean,USA,158.00,8. 40.00,8. 40.00,14. 24.00,6. 47.00,24. 7.00,,2019,lead,MEN,10775
9,10,Lehmann,Sascha,SUI,152.00,,,,13. 26.00,13. 26.00,1. 100.00,2019,lead,MEN,10951
10,11,Stranik,Martin,CZE,138.00,,19. 14.00,8. 40.00,,6. 47.00,9. 37.00,2019,lead,MEN,6489
11,12,Narasaki,Meichi,JPN,135.00,9. 37.00,6. 47.00,,,,5. 51.00,2019,lead,MEN,12432
12,12,Pan,YuFei,CHN,135.00,,17. 18.00,,9. 37.00,,2. 80.00,2019,lead,MEN,12940
13,14,Schubert,Jakob,AUT,132.00,,,7. 43.00,,3. 65.00,14. 24.00,2019,lead,MEN,6550
14,15,Homma,Taisei,JPN,129.00,13. 26.00,2. 80.00,22. 9.00,,21. 10.00,27. 4.00,2019,lead,MEN,61376
15,16,Bosi,William,GBR,127.00,,,26. 5.00,4. 55.00,4. 55.00,20. 12.00,2019,lead,MEN,10962
16,17,Bombardi,Marcello,ITA,126.00,24. (7.00),12. 28.00,18. 16.00,8. 40.00,15. 22.00,16. 20.00,2019,lead,MEN,8317
17,18,Flohé,Yannick,GER,124.00,,13. 25.00,17. 18.00,11. 31.00,10. 34.00,18. 16.00,2019,lead,MEN,12604
18,19,Hada,Yuki,JPN,121.00,4. 55.00,,29. 2.00,30. 1.00,16. 20.00,7. 43.00,2019,lead,MEN,12326
19,20,Narasaki,Tomoa,JPN,115.00,,3. 65.00,,,28. 3.00,6. 47.00,2019,lead,MEN,10618
20,21,Grupper,Jesse,USA,110.00,5. 51.00,7. 43.00,24. 7.00,,,22. 9.00,2019,lead,MEN,11373
21,21,Skofic,Domen,SLO,110.00,,,,7. 43.00,20. 12.00,4. 55.00,2019,lead,MEN,8958
22,23,Sugimoto,Rei,JPN,109.00,12. 28.00,,9. 37.00,,17. 18.00,13. 26.00,2019,lead,MEN,7465
23,24,Nishida,Hidemasa,JPN,100.00,,,,1. 100.00,,,2019,lead,MEN,61368
