,Rank,Name,Name.1,Nation,Points,651,652,649,648,647,646,642,637,669,2004,event,gender,athlete_id
34,34,Creamer,Lucy,GBR,34.00,,,28. 3.00,,,,11. 31.00,,,2004,lead,WOMEN,1205
35,34,Harnisch,Martina,AUT,34.00,18. 16.00,,22. 9.00,,,,,22. 9.00,,2004,lead,WOMEN,5631
36,37,Crouvisier,Stéphanie,FRA,32.00,,,,,,,23. 8.00,14. 24.00,,2004,lead,WOMEN,3490
37,37,Ilic,Caroline,FRA,32.00,,,,24. 7.00,,,30. 1.00,,14. 24.00,2004,lead,WOMEN,6543
38,39,Pinet,Florence,FRA,28.00,,,29. 2.00,,,,13. 26.00,,,2004,lead,WOMEN,5245
39,40,Asher,Elizabeth,USA,27.00,,,30. 1.00,13. 26.00,,,,,,2004,lead,WOMEN,3677
40,41,Hernandez,Raquel,ESP,22.00,,,,,,17. 18.00,27. 4.00,,,2004,lead,WOMEN,5712
41,41,Huang,Li-Ping,CHN,22.00,,,,,15. 22.00,,,,,2004,lead,WOMEN,4947
42,43,Etter,Susanne,SUI,21.00,,,,22. 9.00,,,,28. 3.00,22. 9.00,2004,lead,WOMEN,3853
43,44,Giroux,Elodie,FRA,20.00,,,,,,,,,16. 20.00,2004,lead,WOMEN,2731
44,44,Li,Chunhua,CHN,20.00,,,,,16. 20.00,,,,,2004,lead,WOMEN,4962
45,46,CRUZ MONTALBAN,Esther,ESP,18.00,,,,,,17. 18.00,,,,2004,lead,WOMEN,3168
46,46,Madate,Tomoko,JPN,18.00,,,,,17. 18.00,,,,,2004,lead,WOMEN,5864
47,46,Theroux,Corinne,FRA,18.00,,,,,,,17. 18.00,,,2004,lead,WOMEN,1070
48,49,Hrozova,Lucie,CZE,16.00,,18. 16.00,,,,,,,,2004,lead,WOMEN,5633
49,49,Kudrova,Nelly,CZE,16.00,,18. 16.00,,,,,,,,2004,lead,WOMEN,6593
50,51,Lipenska,Helena,CZE,15.00,,23. 8.00,30. 1.00,25. 6.00,,,,,,2004,lead,WOMEN,5335
51,51,Martin Sancho,Berta,ESP,15.00,,,,,28. 3.00,21. 10.00,29. 2.00,,,2004,lead,WOMEN,3070
52,53,Malamid,Evgeniia,RUS,14.00,,,,,,,,19. 14.00,,2004,lead,WOMEN,5147
53,54,Anthoni,Kim,BEL,12.00,,,,,,,,,20. 12.00,2004,lead,WOMEN,1182
54,54,Knoche,Lisa,GER,12.00,24. 7.00,,,,,,,26. 5.00,,2004,lead,WOMEN,5455
55,54,Mathieu,Laure,FRA,12.00,,,20. 12.00,,,,,,,2004,lead,WOMEN,3145
56,54,Novikova,Natalia,RUS,12.00,,,,,,,,20. 12.00,,2004,lead,WOMEN,2848
57,58,Ansade,Maud,FRA,10.00,,,21. 10.00,,,,,,,2004,lead,WOMEN,6082
58,58,Cintalova,Katarina,SVK,10.00,,21. 10.00,,,,,,,,2004,lead,WOMEN,2742
59,58,Forestier,Monique,AUS,10.00,,,,,,,,21. 10.00,,2004,lead,WOMEN,5751
60,58,Labanu,Ilmawaty,INA,10.00,,,,,21. 10.00,,,,,2004,lead,WOMEN,6777
61,58,Rodriguez,Francis,VEN,10.00,,,,,,21. 10.00,,,,2004,lead,WOMEN,6228
62,63,Chevrier,Anne-Laure,FRA,9.00,,,22. 9.00,,,,,,,2004,lead,WOMEN,5636
63,63,Chudobova,Katerina,CZE,9.00,,22. 9.00,,,,,,,,2004,lead,WOMEN,6836
64,63,Nilwik,Rachel,NED,9.00,30. 1.00,,,,,,,,23. 8.00,2004,lead,WOMEN,5251
65,63,Perlova,Nataliya,UKR,9.00,,,,,22. 9.00,,,,,2004,lead,WOMEN,1299
66,67,Liu,Hiu Ying,HKG,8.00,,,,,23. 8.00,,,,,2004,lead,WOMEN,1145
67,67,Teso,Emeline,FRA,8.00,,,,23. 8.00,,,,,,2004,lead,WOMEN,3486
68,67,Zeilemaker,Monica,NED,8.00,,,,,28. 3.00,,,,26. 5.00,2004,lead,WOMEN,1285
69,70,Berry,Samantha,AUS,7.00,,,,,24. 7.00,,,,,2004,lead,WOMEN,6169
70,70,Louis,Stéphanie,SUI,7.00,,,,,,,,30. 1.00,25. 6.00,2004,lead,WOMEN,2716
71,70,Outland,Stephanie,USA,7.00,,,,,,24. 7.00,,,,2004,lead,WOMEN,6686
72,73,Largeron,Marine,FRA,6.00,,,25. 6.00,,,,,,,2004,lead,WOMEN,5173
73,73,Oliveira,Kimie,POR,6.00,,,,,,25. 6.00,,,,2004,lead,WOMEN,6752
74,73,Piszczek,Renata,POL,6.00,,,,,25. 6.00,,,,,2004,lead,WOMEN,1329
75,73,Schranz,Barbara,AUT,6.00,,,,,,,,25. 6.00,,2004,lead,WOMEN,2819
76,77,Dufraisse,Alizée,FRA,5.00,,,,,,,26. 5.00,,,2004,lead,WOMEN,6219
77,77,Kugler,Eliza,POL,5.00,,26. 5.00,,,,,,,,2004,lead,WOMEN,6188
78,77,Livaniu,Athena,GRE,5.00,,,,,,26. 5.00,,,,2004,lead,WOMEN,6753
79,77,Webster,Sarah,AUS,5.00,,,,,26. 5.00,,,,,2004,lead,WOMEN,6778
80,81,Asher,Alexis,USA,4.00,,,,27. 4.00,,,,,,2004,lead,WOMEN,3667
81,81,Bacher,Sabine,AUT,4.00,,,,,,,,27. 4.00,,2004,lead,WOMEN,2821
82,81,Giouri,Paraskevi,GRE,4.00,,,,,,27. 4.00,,,,2004,lead,WOMEN,6754
83,81,Huang,Bai-Le,TPE,4.00,,,,,27. 4.00,,,,,2004,lead,WOMEN,4937
84,81,Tomanova,Petra,SVK,4.00,,27. 4.00,,,,,,,,2004,lead,WOMEN,1319
85,81,Van Winckel,Valentine,BEL,4.00,,,,,,,,,27. 4.00,2004,lead,WOMEN,5687
