,Rank,Name,Name.1,Nation,Points,254,253,251,252,243,2000,event,gender,athlete_id
0,1,Sansoz,Liv,FRA,445.00,1. 100.00,1. 100.00,2. 80.00,1. 100.00,3. 65.00,2000,lead,WOMEN,1222
1,2,Sarkany,Muriel,BEL,361.00,5. 51.00,3. 65.00,1. 100.00,2. 80.00,3. 65.00,2000,lead,WOMEN,1272
2,3,Bodet,Stéphanie,FRA,350.00,3. 65.00,3. 65.00,3. 65.00,4. 55.00,1. 100.00,2000,lead,WOMEN,1335
3,4,Cufar,Martina,SLO,327.00,2. 80.00,5. 51.00,5. 51.00,3. 65.00,2. 80.00,2000,lead,WOMEN,1236
4,5,Schultz,Annatina,SUI,206.00,4. 55.00,8. 40.00,9. 37.00,10. 34.00,8. 40.00,2000,lead,WOMEN,3870
5,6,Go,Mi-Sun,KOR,201.00,6. 47.00,8. 40.00,8. 40.00,10. 34.00,8. 40.00,2000,lead,WOMEN,1273
6,7,Minoret,Chloé,FRA,183.00,11. 31.00,6. 47.00,19. 14.00,8. 40.00,5. 51.00,2000,lead,WOMEN,1063
7,8,Lavarda,Jenny,ITA,177.00,9. 37.00,6. 47.00,13. 26.00,14. 24.00,7. 43.00,2000,lead,WOMEN,1179
8,9,Levet,Sandrine,FRA,156.00,15. 22.00,12. 28.00,7. 43.00,7. 43.00,16. 20.00,2000,lead,WOMEN,1350
9,10,Sedlmayer,Katrin,GER,135.00,,2. 80.00,4. 55.00,,,2000,lead,WOMEN,1195
10,11,Choumilova,Elena,RUS,130.00,7. 43.00,8. 40.00,,,6. 47.00,2000,lead,WOMEN,1106
11,12,Novikova,Natalia,RUS,116.00,,18. 16.00,10. 34.00,13. 26.00,8. 40.00,2000,lead,WOMEN,2848
12,13,Ovtchinnikova,Elena,USA,114.00,,,6. 47.00,6. 47.00,16. 20.00,2000,lead,WOMEN,1101
13,14,schöpf,Bettina,AUT,101.00,14. 24.00,,18. 16.00,9. 37.00,14. 24.00,2000,lead,WOMEN,1042
14,15,Tusar,Eva,SLO,95.00,12. 28.00,26. 5.00,29. 2.00,16. 20.00,8. 40.00,2000,lead,WOMEN,1109
15,16,Uhden,Marietta,GER,91.00,,,,5. 51.00,8. 40.00,2000,lead,WOMEN,1277
16,17,Knorr,Damaris,GER,88.00,8. 40.00,13. 26.00,17. 18.00,27. 4.00,,2000,lead,WOMEN,1084
17,18,Guzzi,Nastja,SLO,82.00,17. 18.00,29. 2.00,10. 34.00,12. 28.00,,2000,lead,WOMEN,2707
18,19,Petrignet,Carole,FRA,74.00,15. 22.00,,14. 24.00,23. 8.00,16. 20.00,2000,lead,WOMEN,1066
19,20,Kryvonis,Olena,UKR,64.00,,16. 20.00,15. 22.00,19. 14.00,23. 8.00,2000,lead,WOMEN,1393
20,21,Kim,Hyun-Jung,KOR,56.00,,11. 31.00,,15. 22.00,28. 3.00,2000,lead,WOMEN,1143
