,Rank,Name,Name.1,Nation,Points,Rovereto 16.09.2000,Grenoble 01.09.2000,München 04.08.2000,Chamonix 12.07.2000,Milau 01.06.2000,Konitsa 27.05.2000,2000,event,gender
0,1,Levet,Sandrine,FRA,402.00,1. 100.00,3. 65.00,2. 80.00,4. 55.00,6. 47.00,4. 55.00,2000,boulder,WOMEN
1,2,Choumilova,Elena,RUS,300.00,,,,1. 100.00,1. 100.00,1. 100.00,2000,boulder,WOMEN
2,3,Martin,Delphine,FRA,266.00,10. 34.00,6. 47.00,7. 43.00,8. 40.00,4. 55.00,6. 47.00,2000,boulder,WOMEN
3,4,Motteau,Myriam,FRA,234.00,,,14. 24.00,3. 65.00,3. 65.00,2. 80.00,2000,boulder,WOMEN
4,5,Kotasova-Kostruhova,Vera,CZE,222.00,5. 51.00,15. 22.00,6. 47.00,5. 51.00,5. 51.00,,2000,boulder,WOMEN
5,6,Bibik,Olga,RUS,209.00,2. 80.00,4. 55.00,11. 31.00,7. 43.00,,,2000,boulder,WOMEN
6,7,Theroux,Corinne,FRA,167.00,13. 26.00,10. 34.00,13. 26.00,21. 10.00,10. 34.00,9. 37.00,2000,boulder,WOMEN
7,8,Sansoz,Liv,FRA,165.00,3. 65.00,1. 100.00,,,,,2000,boulder,WOMEN
8,9,Avezou,Cecile,FRA,160.00,,,,2. 80.00,2. 80.00,,2000,boulder,WOMEN
9,10,Bauer,Tanja,GER,159.00,12. 28.00,2. 80.00,5. 51.00,,,,2000,boulder,WOMEN
10,11,Perlova,Nataliya,UKR,146.00,6. 47.00,7. 43.00,12. 28.00,12. 28.00,,,2000,boulder,WOMEN
11,12,Novikova,Natalia,RUS,131.00,7. 43.00,9. 37.00,,5. 51.00,,,2000,boulder,WOMEN
12,13,Chenevier Pigneur,Delphine,FRA,125.00,,14. 24.00,10. 34.00,23. 8.00,11. 31.00,12. 28.00,2000,boulder,WOMEN
13,14,Minoret,Chloé,FRA,120.00,,8. 40.00,,,8. 40.00,8. 40.00,2000,boulder,WOMEN
14,15,Nilsson,Ingela,SWE,111.00,,20. 12.00,16. 20.00,23. 8.00,16. 20.00,5. 51.00,2000,boulder,WOMEN
15,16,Aguirre,Leire,ESP,110.00,4. 55.00,,4. 55.00,,,,2000,boulder,WOMEN
16,17,Anthoni,Kim,BEL,103.00,17. 18.00,13. 26.00,18. 16.00,,7. 43.00,,2000,boulder,WOMEN
17,18,Uhden,Marietta,GER,100.00,,,1. 100.00,,,,2000,boulder,WOMEN
18,19,Raffetseder,Gerda,AUT,90.00,15. 22.00,16. 20.00,8. 40.00,23. 8.00,,,2000,boulder,WOMEN
19,20,Haager,Nicola,GER,88.00,,5. 51.00,9. 37.00,,,,2000,boulder,WOMEN
20,21,Bell,Claire,GBR,83.00,,,,,17. 18.00,3. 65.00,2000,boulder,WOMEN
21,22,Plannels,Ruth,ESP,73.00,9. 37.00,12. 28.00,,23. 8.00,,,2000,boulder,WOMEN
22,23,Go,Mi-Sun,KOR,71.00,11. 31.00,18. 16.00,,14. 24.00,,,2000,boulder,WOMEN
23,24,Frati,Mirella,ITA,68.00,14. 24.00,17. 18.00,17. 18.00,,23. 8.00,,2000,boulder,WOMEN
24,25,Schultz,Annatina,SUI,65.00,,,3. 65.00,,,,2000,boulder,WOMEN
25,26,Marti,Nuria,ESP,52.00,18. 16.00,19. 14.00,15. 22.00,,,,2000,boulder,WOMEN
26,27,Dzhambazova,Ina,BUL,43.00,,,,,,7. 43.00,2000,boulder,WOMEN
27,28,Lavarda,Jenny,ITA,40.00,8. 40.00,,,,,,2000,boulder,WOMEN
28,29,Schirrmacher,Katherine,GBR,38.00,,24. 7.00,,,,11. 31.00,2000,boulder,WOMEN
29,30,Cufar,Martina,SLO,37.00,,,,,9. 37.00,,2000,boulder,WOMEN
30,30,Ryepko,Olena,UKR,37.00,,,,9. 37.00,,,2000,boulder,WOMEN
31,32,Piszczek,Renata,POL,34.00,,,,10. 34.00,,,2000,boulder,WOMEN
32,32,Zantzou,Vasiliki,GRE,34.00,,,,,,10. 34.00,2000,boulder,WOMEN
33,34,Ooiwa,Akiko,JPN,31.00,,11. 31.00,,,,,2000,boulder,WOMEN
34,34,Pardo,Estelle,FRA,31.00,,,,28. 3.00,12. 28.00,,2000,boulder,WOMEN
35,34,Tusar,Eva,SLO,31.00,,,,11. 31.00,,,2000,boulder,WOMEN
