,Rank,Name,Name.1,Nation,Points,KranjWC 11.11.2017,XiamenWC 14.10.2017,Wujiang 07.10.2017,EdinburghWC 23.09.2017,ArcoWC 25.08.2017,BriançonWC 28.07.2017,ChamonixWC 12.07.2017,VillarsWC 07.07.2017,2017,event,gender
27,28,Arc,Nolwenn,FRA,63.00,,,,,,27. 4.00,11. 31.00,11. 28.00,2017,lead,WOMEN
28,29,Repusic,Urska,SLO,52.00,10. 34.00,,,,,,,17. 18.00,2017,lead,WOMEN
29,30,Coxsey,Shauna,GBR,47.00,6. 47.00,,,,,,,,2017,lead,WOMEN
30,30,YOSHIMURA,Moe,JPN,47.00,21. 10.00,,16. 20.00,,26. 5.00,20. 12.00,,,2017,lead,WOMEN
31,32,Slaney,Hannah,GBR,43.00,,,,7. 43.00,,,,,2017,lead,WOMEN
32,33,Berthier,Nolwen,FRA,42.00,,,,,,17. 18.00,20. 12.00,20. 12.00,2017,lead,WOMEN
33,33,Posch,Katharina,AUT,42.00,,,,,,18. 16.00,21. 10.00,18. 16.00,2017,lead,WOMEN
34,35,RENQING,LaMu,CHN,36.00,,16. 20.00,18. 16.00,,,,,,2017,lead,WOMEN
35,36,Röck,Magdalena,AUT,34.00,,17. 18.00,25. 6.00,21. 10.00,,,,,2017,lead,WOMEN
36,37,Fredman,Netta,ISR,30.00,,20. 12.00,19. 14.00,,,,,27. 4.00,2017,lead,WOMEN
37,37,Meshkova,Viktoriia,RUS,30.00,25. 6.00,,,,,14. 24.00,,,2017,lead,WOMEN
38,37,Ring,Alina,SUI,30.00,,,,,,25. 6.00,,14. 24.00,2017,lead,WOMEN
39,40,Hulliger,Michelle,SUI,26.00,27. 3.00,,,,,,18. 16.00,24. 7.00,2017,lead,WOMEN
40,41,Doumont,Heloïse,BEL,24.00,18. 16.00,,,,,23. 8.00,,,2017,lead,WOMEN
41,42,Gejo,Stasa,SRB,22.00,15. 22.00,,,,,,,,2017,lead,WOMEN
42,42,Kipriianova,Ekaterina,RUS,22.00,,,,,15. 22.00,,,,2017,lead,WOMEN
43,44,Miller,Delaney,USA,21.00,,,,19. 14.00,24. 7.00,,,,2017,lead,WOMEN
44,45,Buhrfeind,Claire,USA,20.00,,,,,16. 20.00,,,,2017,lead,WOMEN
45,46,Condie,Kyra,USA,18.00,,,,,17. 18.00,,,,2017,lead,WOMEN
46,46,Nonaka,Miho,JPN,18.00,17. 18.00,,,,,,,,2017,lead,WOMEN
47,48,Bae,Jiwon,KOR,17.00,,22. 9.00,23. 8.00,,,,,,2017,lead,WOMEN
48,49,Lee,Hung Ying,TPE,13.00,,25. 6.00,24. 7.00,,,,,,2017,lead,WOMEN
49,50,Lin,Hsiu-Ju,TPE,12.00,,21. 10.00,29. 2.00,,,,,,2017,lead,WOMEN
50,50,Moriwaki,Honoka,JPN,12.00,,,20. 12.00,,,,,,2017,lead,WOMEN
51,52,Kim,Minseon,KOR,11.00,,,,25. 6.00,,26. 5.00,,,2017,lead,WOMEN
52,52,Tsyganova,Anna,RUS,11.00,,23. 8.00,28. 3.00,,,,,,2017,lead,WOMEN
53,54,Stöckler,Laura,AUT,10.00,,,,,,21. 10.00,,,2017,lead,WOMEN
54,55,BAIMA,YuZhen,CHN,9.00,,26. 5.00,27. 4.00,,,,,,2017,lead,WOMEN
55,55,Kadic,Katja,SLO,9.00,22. 9.00,,,,,,,,2017,lead,WOMEN
56,57,Cuypers,Celine,BEL,8.00,,,,,,,,23. 8.00,2017,lead,WOMEN
57,57,Wood,Jennifer,GBR,8.00,,,,23. 8.00,,,,,2017,lead,WOMEN
58,59,Bestvater,Alma,GER,7.00,,,,24. 7.00,,,,,2017,lead,WOMEN
59,59,Lavarda,Jenny,ITA,7.00,,,,,,,24. 7.00,,2017,lead,WOMEN
60,59,Rakovec,Lucka,SLO,7.00,23. 7.00,,,,,,,,2017,lead,WOMEN
61,62,Caulier,Chloe,BEL,6.00,,,,,,,,25. 6.00,2017,lead,WOMEN
62,63,Emeleva,Luiza,RUS,5.00,,,,,,,26. 5.00,,2017,lead,WOMEN
63,63,Kiesgen,Lilli,GER,5.00,,,,26. 5.00,,,,,2017,lead,WOMEN
64,63,Midtboe,Hannah,NOR,5.00,26. 5.00,,,,,,,,2017,lead,WOMEN
65,63,Slamti,Kenza,FRA,5.00,,,,,,29. 2.00,28. 3.00,,2017,lead,WOMEN
66,63,Son,Sunga,KOR,5.00,,,26. 5.00,,,,,,2017,lead,WOMEN
67,68,Brinkmann,Joanne,SUI,4.00,,,,,,,27. 4.00,,2017,lead,WOMEN
68,68,Morrison,Kitty,GBR,4.00,,,,27. 4.00,,,,,2017,lead,WOMEN
69,68,Vejmolova,Iva,CZE,4.00,,,,,27. 4.00,,,,2017,lead,WOMEN
70,71,Lapshina,Evgeniya,RUS,3.00,,,,,,,,28. 3.00,2017,lead,WOMEN
71,71,Neame,Joanna,GBR,3.00,,,,28. 3.00,,,,,2017,lead,WOMEN
72,73,Carroll,Chauncey,USA,2.00,,,,29. 2.00,,,,,2017,lead,WOMEN
73,73,Kalan,Tjasa,SLO,2.00,29. 2.00,,,,,,,,2017,lead,WOMEN
74,73,Piola,Anouk,SUI,2.00,,,,,,,,29. 2.00,2017,lead,WOMEN
75,73,Rosen,Kajsa,SWE,2.00,,,,,,,29. 2.00,,2017,lead,WOMEN
76,73,SA,Sol,KOR,2.00,,,,,28. 2.00,,,,2017,lead,WOMEN
77,78,Amann,Katrin,SWE,1.00,,,,30. 1.00,,,,,2017,lead,WOMEN
78,78,SONG,YiLing,CHN,1.00,,,30. 1.00,,,,,,2017,lead,WOMEN
79,"7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.",2017,lead,WOMEN
