,Rank,Name,Name.1,Nation,Points,283,250,247,243,280,240,2000,event,gender,athlete_id
67,67,Nagakai,Hoshiko,JPN,7.00,,,,,24. 7.00,,2000,boulder,WOMEN,3362
68,67,Swierstra,Yolanda,NED,7.00,,,24. 7.00,,,,2000,boulder,WOMEN,1401
69,70,Bergqvist,Annika,SWE,6.00,,25. 6.00,,,,,2000,boulder,WOMEN,3408
70,70,Deschamps,Juliette,FRA,6.00,,,,,25. 6.00,,2000,boulder,WOMEN,3469
71,72,Doulat,Laurence,FRA,4.00,,,,,27. 4.00,,2000,boulder,WOMEN,1206
72,72,Watatuki,Kazumi,JPN,4.00,,,27. 4.00,,,,2000,boulder,WOMEN,1197
73,74,Cintalova,Zuzana,SVK,3.00,,,,28. 3.00,,,2000,boulder,WOMEN,2770
74,74,Gas,Florence,FRA,3.00,,,,,28. 3.00,,2000,boulder,WOMEN,3470
75,76,Chauvet,Valérie,FRA,2.00,,,,,29. 2.00,,2000,boulder,WOMEN,3471
76,77,VAN LANDEGHEM,Sandrine,FRA,1.00,,,,30. 1.00,,,2000,boulder,WOMEN,4936
