,Rank,Name,Name.1,Nation,Points,MunichWC 12.08.2016,VailWC 10.06.2016,TyrolWC 20.05.2016,NaviMumbaiWC 14.05.2016,ChongqingWC 30.04.2016,KazoWC 23.04.2016,MeiringenWC 15.04.2016,2016,event,gender
48,49,Difelice,Andre,CAN,12.00,,,20. 12.00,,,,,2016,boulder,MEN
49,50,Harada,Kai,JPN,9.00,,,,,,21. 9.00,,2016,boulder,MEN
50,50,Mohammad Sapri,Ashraf,SGP,9.00,,,,22. 9.00,,,,2016,boulder,MEN
51,50,Posch,Jan-Luca,AUT,9.00,21. 9.00,,,,,,,2016,boulder,MEN
52,53,Sethna,Eric,CAN,8.00,,,,23. 8.00,,,,2016,boulder,MEN
53,54,Anglin,Will,USA,7.00,,23. 7.00,,,,,,2016,boulder,MEN
54,54,Arnel Iisager,Bjørn,DEN,7.00,,,23. 7.00,,,,,2016,boulder,MEN
55,54,Luzhetskii,Sergei,RUS,7.00,23. 7.00,,,,,,,2016,boulder,MEN
56,57,Hashemzadeh,Khosro,IRI,6.00,,,,24. 6.00,,,,2016,boulder,MEN
57,57,JonasMcRae,Elan,CAN,6.00,,,,24. 6.00,,,,2016,boulder,MEN
58,57,Vezonik,Gregor,SLO,6.00,25. 5.00,29. 1.00,,,,,,2016,boulder,MEN
59,60,Lopez Mateos,Eric,ESP,5.00,25. 5.00,,,,,,,2016,boulder,MEN
60,60,Narasaki,Meichi,JPN,5.00,,,,,,25. 5.00,,2016,boulder,MEN
61,60,Reuser,Tim,NED,5.00,,,,,,,25. 5.00,2016,boulder,MEN
62,60,Stranik,Stepan,CZE,5.00,,,,,,,25. 5.00,2016,boulder,MEN
63,64,Kolasangian,Reza,IRI,4.00,,,,26. 4.00,,,,2016,boulder,MEN
64,64,Maity,Sandeep,IND,4.00,,,,26. 4.00,,,,2016,boulder,MEN
65,66,Adarsh,Singh,IND,3.00,,,,28. 3.00,,,,2016,boulder,MEN
66,66,Ennemoser,Lukas,AUT,3.00,,,,,,,27. 3.00,2016,boulder,MEN
67,66,Geiman,Austin,USA,3.00,,27. 3.00,,,,,,2016,boulder,MEN
68,66,Higuchi,Masahiro,JPN,3.00,,27. 3.00,,,,,,2016,boulder,MEN
69,66,Huang,ZhouWen,CHN,3.00,,,,,27. 3.00,,,2016,boulder,MEN
70,66,Qu,HaiBin,CHN,3.00,,,,,27. 3.00,,,2016,boulder,MEN
71,72,SHAIKH,Ajij,IND,2.00,,,,29. 2.00,,,,2016,boulder,MEN
72,73,AU,Chi-fung,HKG,1.00,29. 1.00,,,,,,,2016,boulder,MEN
73,73,Holowach,Jason,CAN,1.00,,29. 1.00,,,,,,2016,boulder,MEN
74,73,Kobata,Yuta,JPN,1.00,,,,,,29. 1.00,,2016,boulder,MEN
75,73,Ma,ZiDa,CHN,1.00,,,,,29. 1.00,,,2016,boulder,MEN
76,73,Shaikh,Irfan,IND,1.00,,,,30. 1.00,,,,2016,boulder,MEN
77,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,2016,boulder,MEN
