,Rank,Name,Name.1,Nation,Points,Singapore 23.08.2002,Lecco 24.06.2002,Yekaterinburg 3 25.05.2002,Yekaterinburg 2 22.05.2002,Yekaterinburg 17.05.2002,2002,event,gender
0,1,Peshekhonov,Alexander,RUS,460.00,1. 100.00,1. 100.00,2. 80.00,2. 80.00,1. 100.00,2002,speed,MEN
1,2,Styenkovyy,Maksym,UKR,311.00,3. 65.00,4. 55.00,1. 100.00,8. 40.00,5. 51.00,2002,speed,MEN
2,3,Sinitcyn,Sergei,RUS,296.00,4. 55.00,5. 51.00,21. 10.00,1. 100.00,2. 80.00,2002,speed,MEN
3,4,Gadeev,Alexei,RUS,270.00,2. 80.00,2. 80.00,9. 37.00,4. 55.00,17. 18.00,2002,speed,MEN
4,5,Soubbotine,Iakov,RUS,233.00,9. 37.00,6. 47.00,4. 55.00,5. 51.00,7. 43.00,2002,speed,MEN
5,6,Komondi,Csaba,HUN,173.00,,7. 43.00,3. 65.00,9. 37.00,12. 28.00,2002,speed,MEN
6,7,Sadyrov,Marat,RUS,170.00,7. 43.00,9. 37.00,,7. 43.00,6. 47.00,2002,speed,MEN
7,8,Chaoulsky,Alexandre,RUS,148.00,,,7. 43.00,3. 65.00,8. 40.00,2002,speed,MEN
8,9,Zakharov,Vladimir,UKR,135.00,,3. 65.00,10. 34.00,15. 22.00,19. 14.00,2002,speed,MEN
9,10,Minatchev,Evgueni,RUS,116.00,,,5. 51.00,,3. 65.00,2002,speed,MEN
10,11,Baranov,Vladislav,RUS,114.00,,,6. 47.00,6. 47.00,16. 20.00,2002,speed,MEN
11,12,Kouzovlev,Nikolai,RUS,86.00,,,12. 28.00,10. 34.00,14. 24.00,2002,speed,MEN
12,13,Piniguine,Serguei,RUS,82.00,,,15. 22.00,13. 26.00,10. 34.00,2002,speed,MEN
13,14,Mikhailov,Maxim,RUS,77.00,,,14. 24.00,11. 31.00,15. 22.00,2002,speed,MEN
14,15,Netsvetaev-Dolgalev,Vladimir,RUS,73.00,,,18. 16.00,16. 20.00,9. 37.00,2002,speed,MEN
15,16,Kryvosheytsev,Yevgen,UKR,71.00,,8. 40.00,,,11. 31.00,2002,speed,MEN
