,Rank,Name,Name.1,Nation,Points,WC Eindhoven 12.06.2009,WC Vail 05.06.2009,WC Wien 29.05.2009,WC Hall 01.05.2009,WC Kazo 11.04.2009,2009,event,gender
56,54,Szekely,Andrea Brigitta,HUN,5.00,,26. 5.00,,,,2009,boulder,WOMEN
57,58,Jouett-Bosley,Charlotte,USA,4.00,,27. 4.00,,,,2009,boulder,WOMEN
58,59,Chapet,Manon,FRA,3.00,27. 3.00,,,,,2009,boulder,WOMEN
59,59,Leslie-Wujastyk,Mina,GBR,3.00,27. 3.00,,,,,2009,boulder,WOMEN
60,59,Sakakibara,Yuko,JPN,3.00,,,,,27. 3.00,2009,boulder,WOMEN
61,59,Tonegi,Mai,JPN,3.00,,,,,27. 3.00,2009,boulder,WOMEN
62,63,Harrington,Emily,USA,2.00,,28. 2.00,,,,2009,boulder,WOMEN
63,63,Kubrakova,Natalia,RUS,2.00,,,,,29. 2.00,2009,boulder,WOMEN
64,63,McGinnis,Kate,USA,2.00,,28. 2.00,,,,2009,boulder,WOMEN
65,66,Harmand,Ludivine,FRA,1.00,,,,29. 1.00,,2009,boulder,WOMEN
66,66,Malamid,Evgeniia,RUS,1.00,,,,29. 1.00,,2009,boulder,WOMEN
67,66,Schmid,Christina,SUI,1.00,,,29. 1.00,,,2009,boulder,WOMEN
68,66,Verhage,Marianne,NED,1.00,29. 1.00,,,,,2009,boulder,WOMEN
69,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,2009,boulder,WOMEN
