,Rank,Name,Name.1,Nation,Points,902,900,897,893,890,887,885,879,876,875,2006,event,gender,athlete_id
0,1,Eiter,Angela,AUT,845.00,2. 80.00,1. 100.00,9. (37.00),1. 100.00,3. 65.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,2006,lead,WOMEN,3487
1,2,Levet,Sandrine,FRA,655.00,4. 55.00,3. 65.00,1. 100.00,4. 55.00,1. 100.00,4. 55.00,3. 65.00,7. (43.00),2. 80.00,2. 80.00,2006,lead,WOMEN,1350
2,3,Ciavaldini,Caroline,FRA,573.00,10. (34.00),2. 80.00,2. 80.00,6. 47.00,5. 51.00,3. 65.00,7. 43.00,2. 80.00,6. 47.00,2. 80.00,2006,lead,WOMEN,5183
3,4,Vidmar,Maja,SLO,561.00,1. 100.00,5. 51.00,5. 51.00,3. 65.00,4. 55.00,2. 80.00,3. 65.00,6. 47.00,13. (26.00),6. 47.00,2006,lead,WOMEN,3482
4,5,Gros,Natalija,SLO,559.00,3. 65.00,4. 55.00,6. 47.00,2. 80.00,2. 80.00,6. 47.00,3. 65.00,3. 65.00,4. 55.00,8. (40.00),2006,lead,WOMEN,2755
5,6,Markovic,Mina,SLO,407.00,7. 43.00,6. 47.00,3. 65.00,20. 12.00,7. 43.00,7. 43.00,2. 80.00,27. (4.00),9. 37.00,9. 37.00,2006,lead,WOMEN,5169
6,7,Durif,Charlotte,FRA,395.00,5. 51.00,22. (9.00),8. 40.00,8. 40.00,6. 47.00,12. 28.00,6. 47.00,5. 51.00,8. 40.00,5. 51.00,2006,lead,WOMEN,6513
7,8,Bacher,Barbara,AUT,309.00,14. 24.00,13. 26.00,11. 31.00,9. 37.00,10. 34.00,8. 40.00,8. 40.00,4. 55.00,22. (9.00),15. 22.00,2006,lead,WOMEN,1030
8,9,Kobayashi,Yuka,JPN,237.00,,14. 24.00,7. 43.00,5. 51.00,11. 31.00,11. 31.00,,13. 26.00,11. 31.00,,2006,lead,WOMEN,5254
9,10,Franko,Lucka,SLO,224.00,8. 40.00,6. 47.00,10. 34.00,21. 10.00,,9. 37.00,10. 34.00,27. 4.00,17. 18.00,,2006,lead,WOMEN,2745
10,11,Chereshneva,Yana,RUS,213.00,11. 31.00,8. 40.00,4. 55.00,7. 43.00,,,,,12. 28.00,18. 16.00,2006,lead,WOMEN,6324
