,Rank,Name,Name.1,Nation,Points,532,588,583,524,523,581,2003,event,gender,athlete_id
0,1,Oleksy,Tomasz,POL,425.00,2. 80.00,2. 80.00,1. 100.00,3. 65.00,14. (24.00),1. 100.00,2003,speed,MEN,906
1,2,Peshekhonov,Alexander,RUS,378.00,1. 100.00,6. 47.00,8. (40.00),1. 100.00,5. 51.00,2. 80.00,2003,speed,MEN,5464
2,3,Soubbotine,Iakov,RUS,322.00,3. 65.00,5. 51.00,9. (37.00),4. 55.00,1. 100.00,5. 51.00,2003,speed,MEN,2514
3,4,Sinitcyn,Sergei,RUS,288.00,5. 51.00,4. 55.00,5. 51.00,5. 51.00,2. 80.00,24. (7.00),2003,speed,MEN,5141
4,5,Chaoulsky,Alexandre,RUS,271.00,,3. 65.00,2. 80.00,9. 37.00,3. 65.00,14. 24.00,2003,speed,MEN,2567
5,6,Konovalov,Dmytro,UKR,224.00,,8. 40.00,6. 47.00,7. 43.00,6. 47.00,6. 47.00,2003,speed,MEN,2499
6,7,Minatchev,Evgueni,RUS,190.00,,,,2. 80.00,4. 55.00,4. 55.00,2003,speed,MEN,2501
7,8,Styenkovyy,Maksym,UKR,165.00,,1. 100.00,3. 65.00,,,,2003,speed,MEN,2586
8,9,Gadeev,Alexei,RUS,151.00,,7. 43.00,,6. 47.00,7. 43.00,17. 18.00,2003,speed,MEN,3108
9,10,Sadyrov,Marat,RUS,145.00,,9. 37.00,4. 55.00,13. 26.00,16. 20.00,24. 7.00,2003,speed,MEN,2613
10,11,Komondi,Csaba,HUN,136.00,,,7. 43.00,12. 28.00,10. 34.00,11. 31.00,2003,speed,MEN,135
11,12,Baranov,Vladislav,RUS,106.00,,,,8. 40.00,13. 26.00,8. 40.00,2003,speed,MEN,2849
12,13,Klepikov,Pavel,RUS,94.00,,,,11. 31.00,9. 37.00,13. 26.00,2003,speed,MEN,2619
13,14,Vaitsekhovskii,Evgenii,RUS,85.00,,,,10. 34.00,11. 31.00,16. 20.00,2003,speed,MEN,6132
14,15,Shyshkovskyy,Ivan,UKR,68.00,,10. 34.00,10. 34.00,,,,2003,speed,MEN,3256
15,16,Omeltchenko,Denis,RUS,65.00,,,,,,3. 65.00,2003,speed,MEN,5608
16,17,Kosterin,Alexander,RUS,60.00,,,,16. 20.00,17. 18.00,15. 22.00,2003,speed,MEN,5293
17,18,Charafoutdinov,Denis,RUS,56.00,,,,15. 22.00,,10. 34.00,2003,speed,MEN,2495
18,19,Rosyid,Nurrahman,INA,55.00,4. 55.00,,,,,,2003,speed,MEN,5465
19,20,Sharafutdinov,Dmitrii,RUS,53.00,,,,18. 16.00,,9. 37.00,2003,speed,MEN,5781
20,21,Darmawahyu,Dharma,INA,47.00,6. 47.00,,,,,,2003,speed,MEN,6407
21,21,Goutorine,Egor,RUS,47.00,,,,24. 7.00,8. 40.00,,2003,speed,MEN,3304
22,23,Kryvosheytsev,Yevgen,UKR,46.00,,,,17. 18.00,12. 28.00,,2003,speed,MEN,227
23,23,Lyukhanov,Konstantin,RUS,46.00,,,,14. 24.00,15. 22.00,,2003,speed,MEN,6157
24,25,Shevchenko,Kyrylo,UKR,43.00,,,,,,7. 43.00,2003,speed,MEN,2604
25,25,Tan,Leong Wai,MAS,43.00,7. 43.00,,,,,,2003,speed,MEN,5458
26,27,Pahati,Jaime Amiel,PHI,40.00,8. 40.00,,,,,,2003,speed,MEN,6393
27,27,Tchernykh,Maxim,RUS,40.00,,,,21. 10.00,18. 16.00,19. 14.00,2003,speed,MEN,2614
28,29,Chen,Xiaojie,CHN,37.00,9. 37.00,,,,,,2003,speed,MEN,5758
29,30,Bartha,Attila,HUN,36.00,,,,19. 14.00,19. 14.00,23. 8.00,2003,speed,MEN,5021
30,31,Chen,Ge,CHN,34.00,10. 34.00,,,,,,2003,speed,MEN,6408
31,32,Boulbahaiem,Salah,BEL,31.00,,,11. 31.00,,,,2003,speed,MEN,6167
32,32,Wang,Janmin,CHN,31.00,11. 31.00,,,,,,2003,speed,MEN,5761
33,34,Zemski,Alexei,RUS,30.00,,,,22. 9.00,20. 12.00,22. 9.00,2003,speed,MEN,2575
34,35,Shalagin,Mykhaylo,UKR,28.00,,,,,,12. 28.00,2003,speed,MEN,3205
35,35,Sulaiman,Sultoni,INA,28.00,12. 28.00,,,,,,2003,speed,MEN,6409
36,37,Muhd,Hatta,SGP,26.00,13. 26.00,,,,,,2003,speed,MEN,5466
37,38,Hazlee,Mohd,SGP,24.00,14. 24.00,,,,,,2003,speed,MEN,5411
38,38,Lobzov,Stanislav,RUS,24.00,,,,20. 12.00,,20. 12.00,2003,speed,MEN,6133
39,40,Ma,Hetai,CHN,22.00,15. 22.00,,,,,,2003,speed,MEN,5940
40,41,Lai,Chi-Wai,HKG,20.00,16. 20.00,,,,,,2003,speed,MEN,5005
41,42,Sun,Man-Wai,HKG,18.00,17. 18.00,,,,,,2003,speed,MEN,4997
42,43,Li,Ying-Kit,HKG,16.00,18. 16.00,,,,,,2003,speed,MEN,6410
43,43,Popov,Sergey,RUS,16.00,,,,,,18. 16.00,2003,speed,MEN,6131
44,45,Jangar,G.,MGL,14.00,19. 14.00,,,,,,2003,speed,MEN,6398
45,46,Och,Tumur,MGL,12.00,20. 12.00,,,,,,2003,speed,MEN,5863
46,47,Astashov,Ruslan,RUS,10.00,,,,,21. 10.00,,2003,speed,MEN,6158
47,47,Batsukh,Batkhuu,MGL,10.00,21. 10.00,,,,,,2003,speed,MEN,5860
48,47,Piniguine,Serguei,RUS,10.00,,,,,,21. 10.00,2003,speed,MEN,5131
49,50,Kaurov,Ivan,RUS,8.00,,,,23. 8.00,,,2003,speed,MEN,5137
