,Rank,Name,Name.1,Nation,Points,WC Eindhoven 12.06.2009,WC Vail 05.06.2009,WC Wien 29.05.2009,WC Hall 01.05.2009,WC Kazo 11.04.2009,2009,event,gender
29,30,Son,Sangwon,KOR,41.00,,12. 28.00,29. 1.00,,20. 12.00,2009,boulder,MEN
30,31,Sommer,Remo,SUI,36.00,,19. 14.00,,15. 22.00,,2009,boulder,MEN
31,32,Pouvreau,Gérome,FRA,34.00,,23. 8.00,,,13. 26.00,2009,boulder,MEN
32,33,Hoppe,Markus,GER,31.00,21. 9.00,25. 6.00,18. 16.00,,,2009,boulder,MEN
33,33,Kruder,Jernej,SLO,31.00,12. 28.00,,27. 3.00,,,2009,boulder,MEN
34,33,Meral,Julien,FRA,31.00,,30. 1.00,29. 1.00,16. 20.00,21. 9.00,2009,boulder,MEN
35,33,Rubtsov,Aleksey,RUS,31.00,,,26. 5.00,13. 26.00,,2009,boulder,MEN
36,37,Hukkataival,Nalle,FIN,26.00,,16. 20.00,,,25. 6.00,2009,boulder,MEN
37,37,Traversi,Carlo,USA,26.00,,13. 26.00,,,,2009,boulder,MEN
38,39,Würth,Peter,GER,25.00,23. 7.00,,,21. 9.00,21. 9.00,2009,boulder,MEN
39,40,Bautista,Julian,USA,24.00,,14. 24.00,,,,2009,boulder,MEN
40,40,Hoarau,Didier,FRA,24.00,14. 24.00,,,,,2009,boulder,MEN
41,42,Watanabe,Kazuma,JPN,22.00,,,,,15. 22.00,2009,boulder,MEN
42,43,Rugens,Rolands,LAT,21.00,23. 7.00,,19. 14.00,,,2009,boulder,MEN
43,44,Tak,Timo,NED,20.00,16. 20.00,,,,,2009,boulder,MEN
44,45,Jongeneelen,Wouter,NED,19.00,19. 14.00,26. 5.00,,,,2009,boulder,MEN
45,46,Danker,Stefan,GER,18.00,,,17. 18.00,,,2009,boulder,MEN
46,46,Lechner,Mario,AUT,18.00,,,,17. 18.00,,2009,boulder,MEN
47,48,Andersson,Daniel,SWE,17.00,17. 17.00,,,,,2009,boulder,MEN
48,48,Schulte,Ferdinand,NED,17.00,17. 17.00,,,,,2009,boulder,MEN
49,50,Amma,Sachi,JPN,16.00,,,,,18. 16.00,2009,boulder,MEN
50,50,Difelice,Andre,CAN,16.00,,18. 16.00,,,,2009,boulder,MEN
51,50,Jaggi,Martin,SUI,16.00,,,,18. 16.00,,2009,boulder,MEN
52,53,Shimizu,Atsushi,JPN,14.00,,,,,19. 14.00,2009,boulder,MEN
53,54,Core,Christian,ITA,12.00,,,21. 9.00,27. 3.00,,2009,boulder,MEN
54,54,Gerland,Bastien,FRA,12.00,,,27. 3.00,21. 9.00,,2009,boulder,MEN
55,54,Kozlov,Vasily,RUS,12.00,,,20. 12.00,,,2009,boulder,MEN
56,54,Takeuchi,Toshiaki,JPN,12.00,,20. 12.00,,,,2009,boulder,MEN
57,54,de Leeuw,Nicky,NED,12.00,21. 9.00,,,27. 3.00,,2009,boulder,MEN
58,59,Kim,Jaha,KOR,11.00,29. 1.00,21. 10.00,,,,2009,boulder,MEN
59,60,Schubert,Jakob,AUT,9.00,,,,21. 9.00,,2009,boulder,MEN
60,61,Caminati,Michele,ITA,7.00,,,23. 7.00,,,2009,boulder,MEN
61,61,Macias Matutano,Bruno,ESP,7.00,,,,24. 7.00,,2009,boulder,MEN
62,61,Paholek,Terry,CAN,7.00,,24. 7.00,,,,2009,boulder,MEN
63,64,Chernikov,Mikhail,RUS,5.00,,,,25. 5.00,,2009,boulder,MEN
64,64,Edwards,Marc,AUS,5.00,,,,,26. 5.00,2009,boulder,MEN
65,66,Roden,Ryan,USA,4.00,,27. 4.00,,,,2009,boulder,MEN
66,67,Sugimoto,Rei,JPN,3.00,,,,,28. 3.00,2009,boulder,MEN
67,67,Ten Sijthoff,Casper,NED,3.00,27. 3.00,,,,,2009,boulder,MEN
68,69,Curtis,Dustin,CAN,2.00,,28. 2.00,,,,2009,boulder,MEN
69,69,Oyama,Fumihiro,JPN,2.00,,28. 2.00,,,,2009,boulder,MEN
70,71,De Leeuw,Ricardo,NED,1.00,29. 1.00,,,,,2009,boulder,MEN
71,71,Stranik,Martin,CZE,1.00,,,,30. 1.00,,2009,boulder,MEN
72,71,Sugita,Masatoshi,JPN,1.00,,,,,30. 1.00,2009,boulder,MEN
73,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,2009,boulder,MEN
