,Rank,Name,Name.1,Nation,Points,MunichWC 12.08.2016,VailWC 10.06.2016,TyrolWC 20.05.2016,NaviMumbaiWC 14.05.2016,ChongqingWC 30.04.2016,KazoWC 23.04.2016,MeiringenWC 15.04.2016,2016,event,gender
47,48,Tajima,Aika,JPN,15.00,,,,,23. 8.00,23. 7.00,,2016,boulder,WOMEN
48,49,Čelková,Mária,SVK,13.00,,,,21. 10.00,26. 3.00,,,2016,boulder,WOMEN
49,50,Medici,Giulia,ITA,12.00,20. 12.00,,,,,,,2016,boulder,WOMEN
50,51,Biyarjomandy,Nasim,IRI,9.00,,,,22. 9.00,,,,2016,boulder,WOMEN
51,51,Hayes,Tara,GBR,9.00,21. 9.00,,,,,,,2016,boulder,WOMEN
52,51,Midtboe,Hannah,NOR,9.00,21. 9.00,,,,,,,2016,boulder,WOMEN
53,51,Vest,Allison,CAN,9.00,,28. 3.00,,25. 6.00,,,,2016,boulder,WOMEN
54,55,Kiersch,Michaela,USA,8.00,,22. 8.00,,,,,,2016,boulder,WOMEN
55,56,Grandcoing,Romane,FRA,7.00,,,,,,,23. 7.00,2016,boulder,WOMEN
56,56,Kastet,Mie (Marie Therese),NOR,7.00,,,,,,,23. 7.00,2016,boulder,WOMEN
57,56,Rennie,Molly,USA,7.00,,24. 7.00,,,,,,2016,boulder,WOMEN
58,56,Watanabe,Saari,JPN,7.00,,,,,,23. 7.00,,2016,boulder,WOMEN
59,60,Ekwinska,Katarzyna,POL,6.00,,,,,25. 6.00,,,2016,boulder,WOMEN
60,61,Canavan,Lily,USA,5.00,,26. 5.00,,,,,,2016,boulder,WOMEN
61,61,Furukawa,Hinako,JPN,5.00,,,,,,25. 5.00,,2016,boulder,WOMEN
62,61,Hagiwara,Asaki,JPN,5.00,,,,,,25. 5.00,,2016,boulder,WOMEN
63,61,Soltani,Sima,IRI,5.00,,,,26. 5.00,,,,2016,boulder,WOMEN
64,65,Ziffer,Emily,USA,4.00,,27. 4.00,,,,,,2016,boulder,WOMEN
65,66,Bigvand,Athena,IRI,3.00,,,,27. 3.00,,,,2016,boulder,WOMEN
66,66,De Marco,Annalisa,ITA,3.00,,,,,,,27. 3.00,2016,boulder,WOMEN
67,66,Kümin,Andrea,SUI,3.00,27. 3.00,,,,,,,2016,boulder,WOMEN
68,66,Nishikori,Misato,JPN,3.00,,,,,,27. 3.00,,2016,boulder,WOMEN
69,66,Okawachi,serika,JPN,3.00,,,,,,27. 3.00,,2016,boulder,WOMEN
70,66,Pearce,Sarah,USA,3.00,,,,27. 3.00,,,,2016,boulder,WOMEN
71,66,Pucheux,Margaux,FRA,3.00,,,,,26. 3.00,,,2016,boulder,WOMEN
72,66,Rekabi,Elnaz,IRI,3.00,,,,,26. 3.00,,,2016,boulder,WOMEN
73,66,Thévenet,Marine,FRA,3.00,27. 3.00,,,,,,,2016,boulder,WOMEN
74,66,marak,Chea,IND,3.00,,,,27. 3.00,,,,2016,boulder,WOMEN
75,76,BAIMA,YuZhen,CHN,1.00,,,,,30. 1.00,,,2016,boulder,WOMEN
76,76,Becerra,Mathilde,FRA,1.00,,,29. 1.00,,,,,2016,boulder,WOMEN
77,76,Ruzickova,Petra,CZE,1.00,,,29. 1.00,,,,,2016,boulder,WOMEN
78,76,Sim,"Mingxin, Judith",SGP,1.00,,29. 1.00,,,,,,2016,boulder,WOMEN
79,76,Sugimura,Saeko,JPN,1.00,,,,,,29. 1.00,,2016,boulder,WOMEN
80,76,Tamang,Panchamaya,NEP,1.00,,,,30. 1.00,,,,2016,boulder,WOMEN
81,76,Tesio,Giorgia,ITA,1.00,,,,,,,29. 1.00,2016,boulder,WOMEN
82,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,2016,boulder,WOMEN
