,Rank,Name,Name.1,Nation,Points,74,76,78,77,75,79,1992,event,gender,athlete_id
0,1,Erbesfield,Robyn,USA,440.00,4. (55.00),2. 80.00,2. 80.00,1. 100.00,2. 80.00,1. 100.00,1992,lead,WOMEN,1323
1,2,Patissier,Isabelle,FRA,400.00,2. 80.00,2. 80.00,3. 60.00,3. (60.00),1. 100.00,2. 80.00,1992,lead,WOMEN,1163
2,3,Hill,Lynn,USA,375.00,1. 100.00,4. 55.00,4. (55.00),2. 80.00,2. 80.00,3. 60.00,1992,lead,WOMEN,1211
3,4,Good,Susi,SUI,370.00,3. 60.00,1. 100.00,1. 100.00,4. 55.00,,4. 55.00,1992,lead,WOMEN,1340
4,5,Raybaud,Nanette,FRA,259.00,4. 55.00,9. (37.00),5. 51.00,5. 51.00,4. 55.00,6. 47.00,1992,lead,WOMEN,1300
5,6,Iovane,Luisa,ITA,215.00,10. 34.00,7. 43.00,8. 40.00,6. 47.00,11. (31.00),5. 51.00,1992,lead,WOMEN,1213
6,7,Ibanez-Tudoras,Anna,ESP,214.00,7. 43.00,5. 51.00,6. 47.00,19. (14.00),5. 51.00,15. 22.00,1992,lead,WOMEN,1002
7,8,Richer,Natalie,FRA,190.00,9. 37.00,13. 26.00,9. 37.00,7. 43.00,6. 47.00,17. (18.00),1992,lead,WOMEN,1301
8,9,Uhden,Marietta,GER,183.00,6. 47.00,6. 47.00,7. 43.00,9. 37.00,,22. 9.00,1992,lead,WOMEN,1277
9,10,Bless-Reith,Karin,SUI,137.00,12. 28.00,10. 34.00,10. 34.00,30. 1.00,,8. 40.00,1992,lead,WOMEN,1183
10,11,Butler,Felicity,GBR,131.00,16. 20.00,11. 31.00,17. (18.00),13. 26.00,10. 34.00,16. 20.00,1992,lead,WOMEN,1112
11,12,Inozemtseva,Yulia,RUS,130.00,8. 40.00,8. 40.00,11. 31.00,19. 14.00,,26. 5.00,1992,lead,WOMEN,1175
12,13,Brard,Agnès,FRA,119.00,14. 24.00,25. 6.00,12. 28.00,14. 24.00,9. 37.00,,1992,lead,WOMEN,986
13,14,Gronkiewicz-Marcisz,Iwona,POL,108.00,,19. 14.00,19. 14.00,,7. 43.00,9. 37.00,1992,lead,WOMEN,1157
14,15,Valsecchi,Raffaella,ITA,101.00,17. 18.00,,,8. 40.00,,7. 43.00,1992,lead,WOMEN,1332
15,16,Guyon,Laurence,FRA,91.00,11. 31.00,25. 6.00,13. 26.00,12. 28.00,,,1992,lead,WOMEN,1209
16,17,Ooiwa,Akiko,JPN,88.00,,,,10. 34.00,8. 40.00,19. 14.00,1992,lead,WOMEN,1013
17,18,Dijkstra,Ineke,NED,81.00,23. 8.00,15. 22.00,25. 6.00,19. 14.00,11. 31.00,,1992,lead,WOMEN,1155
18,19,Farmer,Rachel,GBR,66.00,15. 22.00,16. 20.00,,,14. 24.00,,1992,lead,WOMEN,1324
