,Rank,Name,Name.1,Nation,Points,455,453,450,446,444,441,439,2002,event,gender,athlete_id
0,1,Sarkany,Muriel,BEL,607.00,1. 100.00,6. 47.00,1. 100.00,2. 80.00,1. 100.00,2. 80.00,1. 100.00,2002,lead,WOMEN,1272
1,2,Levet,Sandrine,FRA,443.00,3. 65.00,6. 47.00,2. 80.00,5. 51.00,3. 65.00,4. 55.00,2. 80.00,2002,lead,WOMEN,1350
2,3,Cufar,Martina,SLO,402.00,5. 51.00,9. 37.00,6. 47.00,2. 80.00,6. 47.00,1. 100.00,8. 40.00,2002,lead,WOMEN,1236
3,4,Gros,Natalija,SLO,357.00,2. 80.00,4. 55.00,5. 51.00,,4. 55.00,5. 51.00,3. 65.00,2002,lead,WOMEN,2755
4,5,Sedlmayer,Katrin,GER,340.00,,3. 65.00,,1. 100.00,2. 80.00,8. 40.00,4. 55.00,2002,lead,WOMEN,1195
5,6,Pouget,Emilie,FRA,339.00,6. 47.00,1. 100.00,3. 65.00,7. 43.00,,6. 47.00,9. 37.00,2002,lead,WOMEN,2805
6,7,Knorr,Damaris,GER,243.00,8. 40.00,11. 31.00,4. 55.00,14. 24.00,15. 22.00,7. 43.00,12. 28.00,2002,lead,WOMEN,1084
7,8,Lavarda,Jenny,ITA,211.00,14. 24.00,8. 40.00,7. 43.00,9. 37.00,9. 37.00,17. 18.00,20. 12.00,2002,lead,WOMEN,1179
8,9,Vidmar,Maja,SLO,197.00,4. 55.00,2. 80.00,,8. 40.00,,,15. 22.00,2002,lead,WOMEN,3482
9,10,Uhden,Marietta,GER,178.00,12. 28.00,,,,10. 34.00,3. 65.00,5. 51.00,2002,lead,WOMEN,1277
10,11,Bacher,Barbara,AUT,171.00,13. 26.00,19. 14.00,8. 40.00,18. 16.00,12. 28.00,,6. 47.00,2002,lead,WOMEN,1030
11,12,schöpf,Bettina,AUT,169.00,19. 14.00,17. 18.00,12. 28.00,4. 55.00,18. 16.00,12. 28.00,21. 10.00,2002,lead,WOMEN,1042
12,13,Kryvonis,Olena,UKR,165.00,26. 5.00,11. 31.00,,11. 31.00,5. 51.00,18. 16.00,11. 31.00,2002,lead,WOMEN,1393
13,14,Vidmar,Katja,SLO,142.00,11. 31.00,16. 20.00,,15. 22.00,15. 22.00,,6. 47.00,2002,lead,WOMEN,3137
14,15,Kimura,Rie,JPN,141.00,23. 8.00,11. 31.00,11. 31.00,11. 31.00,8. 40.00,,,2002,lead,WOMEN,1327
15,16,Minoret,Chloé,FRA,139.00,,,9. 37.00,6. 47.00,,9. 37.00,17. 18.00,2002,lead,WOMEN,1063
16,17,Raffetseder,Gerda,AUT,136.00,10. 34.00,17. 18.00,20. 12.00,,7. 43.00,30. 1.00,12. 28.00,2002,lead,WOMEN,1135
17,18,Eiter,Angela,AUT,130.00,7. 43.00,5. 51.00,,,11. 31.00,,26. 5.00,2002,lead,WOMEN,3487
18,19,Petrignet,Carole,FRA,125.00,17. 18.00,22. 9.00,,15. 22.00,13. 26.00,15. 22.00,12. 28.00,2002,lead,WOMEN,1066
19,20,Eyer,Alexandra,SUI,95.00,15. 22.00,14. 24.00,14. 24.00,25. 6.00,21. 10.00,,22. 9.00,2002,lead,WOMEN,991
