,Rank,Name,Name.1,Nation,Points,WC Grenoble 28.08.1999,WC Cortina 13.08.1999,WC Bardonecchia 31.07.1999,WC Chamonix 17.07.1999,WC Val d'Isere 11.07.1999,WC Benasque 03.07.1999,1999,event,gender
43,44,Francone,Alessandra,ITA,15.00,,24. 7.00,23. 8.00,,,,1999,boulder,WOMEN
44,45,Benetti,Lisa,ITA,14.00,,,19. 14.00,,,,1999,boulder,WOMEN
45,45,Watatuki,Kazumi,JPN,14.00,,19. 14.00,,,,,1999,boulder,WOMEN
46,47,CRUZ MONTALBAN,Esther,ESP,12.00,,,20. 12.00,,,,1999,boulder,WOMEN
47,47,Ferrero,Laura,ITA,12.00,,20. 12.00,,,,,1999,boulder,WOMEN
48,47,Haager,Nicola,GER,12.00,23. 8.00,,,,27. 4.00,,1999,boulder,WOMEN
49,50,Delphino,Amélie,FRA,8.00,,,,,23. 8.00,,1999,boulder,WOMEN
50,50,Piszczek,Renata,POL,8.00,23. 8.00,,,,,,1999,boulder,WOMEN
51,52,Motteau,Myriam,FRA,7.00,,,,24. 7.00,,,1999,boulder,WOMEN
52,53,Astie,Hélène,FRA,6.00,,,,,25. 6.00,,1999,boulder,WOMEN
53,53,Zakharova,Olga,UKR,6.00,29. 2.00,,,27. 4.00,,,1999,boulder,WOMEN
54,55,Guiguet,Myrtille,FRA,4.00,,,28. 3.00,,30. 1.00,,1999,boulder,WOMEN
55,55,Verdier,Emilie,FRA,4.00,27. 4.00,,,,,,1999,boulder,WOMEN
56,57,Hartmann,Iva,SUI,3.00,,,,28. 3.00,,,1999,boulder,WOMEN
57,57,Richer,Natalie,FRA,3.00,,,,,28. 3.00,,1999,boulder,WOMEN
58,59,Annecchini,Marina,ITA,2.00,,,,,29. 2.00,,1999,boulder,WOMEN
59,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,1999,boulder,WOMEN
