,Rank,Name,Name.1,Nation,Points,Kranj (L) 19.11.2005,Valence (L) 27.10.2005,Shanghai (L+S) 22.10.2005,Marbella (L) 17.09.2005,Chamonix (L+S) 12.07.2005,Zürich (L) 24.06.2005,Imst (L) 27.05.2005,Puurs (L) 29.04.2005,Veliko Tarnovo (L+S) 23.04.2005,2005,event,gender
35,36,Repcik,Juraj,SVK,36.00,,,,,,,18. 16.00,,16. 20.00,2005,lead,MEN
36,37,Pouvreau,Gérome,FRA,34.00,,,,,,,10. 34.00,,,2005,lead,MEN
37,38,Oleksy,Tomasz,POL,32.00,,,,,24. 7.00,,30. 1.00,,14. 24.00,2005,lead,MEN
38,39,Garbov,Kalin,BUL,31.00,,,,,,,,,11. 31.00,2005,lead,MEN
39,39,Kim,Jabee,KOR,31.00,,,,,11. 31.00,,,,,2005,lead,MEN
40,41,Manzanedo,César Ciudad,ESP,30.00,,,,17. 18.00,,20. 12.00,,,,2005,lead,MEN
41,42,Munoz,Dmitri,FRA,29.00,,,,24. 7.00,27. 4.00,17. 18.00,,,,2005,lead,MEN
42,43,Sommer,Remo,SUI,26.00,,,,,,14. 24.00,,29. 2.00,,2005,lead,MEN
43,44,Sharafutdinov,Dmitrii,RUS,24.00,,,,,18. 16.00,,,,23. 8.00,2005,lead,MEN
44,45,Legrand,Yannick,FRA,23.00,,28. 3.00,,,,25. 6.00,,19. 14.00,,2005,lead,MEN
45,46,Videnovski,Milen,BUL,22.00,,,,,,29. 2.00,,,16. 20.00,2005,lead,MEN
46,47,Badia,Nicolas,FRA,20.00,,18. 16.00,,,27. 4.00,,,,,2005,lead,MEN
47,47,Marin Garcia,Eduard,ESP,20.00,,,,,,,27. 4.00,,18. 16.00,2005,lead,MEN
48,47,Ozawa,Shinta,JPN,20.00,,,16. 20.00,,,,,,,2005,lead,MEN
49,50,Bokhari,Hafzanizam,MAS,18.00,,,17. 18.00,,,,,,,2005,lead,MEN
50,50,De Girolamo,Vincent,FRA,18.00,,17. 18.00,,,,,,,,2005,lead,MEN
51,52,Magin,Philipp,GER,17.00,,,,,,21. 10.00,,25. 6.00,30. 1.00,2005,lead,MEN
52,53,Cao,Rongwu,CHN,16.00,,,18. 16.00,,,,,,,2005,lead,MEN
53,54,Lo Piccolo,Cédric,FRA,15.00,,,,,19. 14.00,,30. 1.00,,,2005,lead,MEN
54,55,Kaurov,Ivan,RUS,14.00,,,,,22. 9.00,,,,26. 5.00,2005,lead,MEN
55,55,Ye,Xiangyang,CHN,14.00,,,19. 14.00,,,,,,,2005,lead,MEN
56,57,Jaggi,Martin,SUI,13.00,27. 4.00,22. 9.00,,,,,,,,2005,lead,MEN
57,58,Glairon Mondet,Guillaume,FRA,12.00,,20. 12.00,,,,,,,,2005,lead,MEN
58,58,Koh,"Zher Yeow, Jay",SGP,12.00,,,20. 12.00,,,,,,,2005,lead,MEN
59,60,Chu,Ka-Wai,HKG,10.00,,,21. 10.00,,,,,,,2005,lead,MEN
60,60,Favresse,Olivier,BEL,10.00,,,,,,,,21. 10.00,,2005,lead,MEN
61,60,Fichtinger,Reinhard,AUT,10.00,,,,,,,21. 10.00,,,2005,lead,MEN
