,Rank,Name,Name.1,Nation,Points,1307,1334,1335,1332,1331,1330,1343,1342,1324,1323,2011,event,gender,athlete_id
0,1,Markovic,Mina,SLO,751.00,1. 81.00,2. 80.00,5. (51.00),1. 100.00,2. 80.00,3. 65.00,1. 90.00,1. 100.00,2. 80.00,1. 75.00,2011,lead,WOMEN,5169
1,2,KIM,Jain,KOR,681.00,1. 81.00,1. 100.00,8. 40.00,3. 60.00,,1. 100.00,1. 90.00,2. 80.00,4. 55.00,1. 75.00,2011,lead,WOMEN,5983
2,3,Vidmar,Maja,SLO,535.00,5. 51.00,5. 51.00,6. 47.00,2. 80.00,4. 55.00,11. 31.00,3. 65.00,4. 55.00,1. 100.00,16. (20.00),2011,lead,WOMEN,3482
3,4,Eiter,Angela,AUT,454.00,1. 81.00,6. 47.00,4. 55.00,,5. 51.00,2. 80.00,,,3. 65.00,1. 75.00,2011,lead,WOMEN,3487
4,5,Posch,Katharina,AUT,438.00,8. 40.00,3. 65.00,2. 80.00,11. 29.00,14. (24.00),10. 34.00,7. 43.00,3. 65.00,9. 37.00,6. 45.00,2011,lead,WOMEN,8896
5,6,Ernst,Johanna,AUT,369.00,4. 55.00,8. 40.00,1. 100.00,,1. 100.00,7. 43.00,,,,11. 31.00,2011,lead,WOMEN,7563
6,7,Chereshneva,Yana,RUS,357.00,12. 24.00,9. 37.00,3. 65.00,14. 24.00,,9. 37.00,6. 47.00,7. 43.00,7. 43.00,9. 37.00,2011,lead,WOMEN,6324
7,8,Schranz,Christine,AUT,350.00,7. 43.00,14. (24.00),11. 31.00,8. 40.00,9. 37.00,12. 28.00,8. 40.00,9. 35.00,5. 51.00,6. 45.00,2011,lead,WOMEN,5629
8,9,Durif,Charlotte,FRA,347.00,12. 24.00,7. 43.00,16. 20.00,6. 47.00,8. 40.00,19. (14.00),5. 51.00,6. 47.00,6. 47.00,12. 28.00,2011,lead,WOMEN,6513
9,10,Ciavaldini,Caroline,FRA,331.00,11. 31.00,12. 28.00,12. 28.00,11. 29.00,10. 34.00,23. (8.00),9. 37.00,9. 35.00,10. 34.00,1. 75.00,2011,lead,WOMEN,5183
10,11,Oda,Momoka,JPN,267.00,,,,3. 60.00,3. 65.00,,,5. 51.00,8. 40.00,5. 51.00,2011,lead,WOMEN,9097
11,12,Bacher,Barbara,AUT,262.00,12. 24.00,10. 34.00,21. 10.00,10. 34.00,,8. 40.00,10. 34.00,8. 40.00,15. 22.00,14. 24.00,2011,lead,WOMEN,1030
12,13,Han,Seuran,KOR,244.00,9. 37.00,15. 22.00,,5. 51.00,,14. 24.00,4. 55.00,11. 31.00,14. 24.00,,2011,lead,WOMEN,8963
13,14,Lavarda,Jenny,ITA,150.00,26. 5.00,11. 31.00,17. 18.00,7. 43.00,,15. 22.00,,,22. 9.00,15. 22.00,2011,lead,WOMEN,1179
