,Rank,Name,Name.1,Nation,Points,W-Bi 05.12.1991,W-Nü 31.10.1991,W-To 16.10.1991,W-In 20.09.1991,W-Cl 30.08.1991,W-Wi 26.04.1991,1991,event,gender
67,68,Oxley,Pete,GBR,6.00,25. 6.00,,,,,,1991,lead,MEN
68,68,Zauska,Pavol,SVK,6.00,,,,,29. 2.00,27. 4.00,1991,lead,MEN
69,70,Gadd,Will,CAN,5.00,,,26. 5.00,,,,1991,lead,MEN
70,70,Satou,Yutaka,JPN,5.00,,,26. 5.00,,,,1991,lead,MEN
71,72,Jourkin,Vladimir,RUS,4.00,29. 2.00,29. 2.00,,,,,1991,lead,MEN
72,73,Brette,Stéphane,FRA,3.00,,,,,28. 3.00,,1991,lead,MEN
73,73,Son,Jung-Jun,KOR,3.00,,,28. 3.00,,,,1991,lead,MEN
74,75,Bucher,Christoph,GER,2.00,,,,29. 2.00,,,1991,lead,MEN
75,75,Florine,Hans,USA,2.00,29. 2.00,,,,,,1991,lead,MEN
76,75,Gnerro,Alberto,ITA,2.00,29. 2.00,,,,,,1991,lead,MEN
77,75,Pacek,Anton,SVK,2.00,,,,,29. 2.00,,1991,lead,MEN
78,79,Kazuyoshi,Saleb,JPN,1.00,,,30. 1.00,,,,1991,lead,MEN
79,79,Tansou,Tetsuyuki,JPN,1.00,,,30. 1.00,,,,1991,lead,MEN
80,5 best competition results are counting for UIAA Climbing-Worldcup 1991. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1991. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1991. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1991. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1991. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1991. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1991. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1991. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1991. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1991. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1991. Not counting points are in brackets.,1991,lead,MEN
