,Rank,Name,Name.1,Nation,Points,7182,7179,7170,7149,7146,7185,7164,2018,event,gender,athlete_id
0,1,Schubert,Jakob,AUT,495.00,16. (20.00),2. 80.00,2. 80.00,1. 100.00,4. 55.00,2. 80.00,1. 100.00,2018,lead,MEN,6550
1,2,Ghisolfi,Stefano,ITA,466.00,2. 80.00,5. 51.00,1. 100.00,2. 80.00,5. (51.00),1. 100.00,4. 55.00,2018,lead,MEN,8323
2,3,Desgranges,Romain,FRA,356.00,6. 47.00,1. 100.00,20. 12.00,9. 37.00,2. 80.00,27. (4.00),2. 80.00,2018,lead,MEN,3554
3,3,Skofic,Domen,SLO,356.00,1. 100.00,19. (14.00),12. 28.00,3. 65.00,3. 65.00,4. 55.00,7. 43.00,2018,lead,MEN,8958
4,5,Min,Hyunbin,KOR,251.00,3. 65.00,3. 65.00,,8. 40.00,17. 18.00,18. 16.00,6. 47.00,2018,lead,MEN,7229
5,6,Megos,Alexander,GER,230.00,,,,12. 28.00,1. 100.00,3. 65.00,9. 37.00,2018,lead,MEN,9058
6,7,Homma,Taisei,JPN,217.00,5. 51.00,8. 40.00,13. 26.00,,9. 37.00,7. 43.00,16. 20.00,2018,lead,MEN,61376
7,8,Lehmann,Sascha,SUI,206.00,8. 40.00,17. 18.00,25. (6.00),6. 47.00,7. 43.00,8. 40.00,17. 18.00,2018,lead,MEN,10951
8,9,Hada,Yuki,JPN,192.00,7. 43.00,20. (12.00),7. 43.00,14. 24.00,12. 28.00,19. 14.00,8. 40.00,2018,lead,MEN,12326
9,10,Vettorata,Francesco,ITA,168.00,15. 22.00,6. 47.00,6. 47.00,22. 9.00,20. 12.00,11. 31.00,,2018,lead,MEN,10404
10,11,Bombardi,Marcello,ITA,154.00,18. 16.00,9. 37.00,4. 55.00,20. 12.00,23. 8.00,13. 26.00,,2018,lead,MEN,8317
11,11,Nishida,Hidemasa,JPN,154.00,4. 55.00,4. 55.00,23. 8.00,11. 31.00,,25. 5.00,,2018,lead,MEN,61368
12,13,Rudigier,Max,AUT,141.00,14. 24.00,16. 20.00,21. 10.00,19. 14.00,15. 22.00,,5. 51.00,2018,lead,MEN,8315
13,14,Higuchi,Masahiro,JPN,133.00,23. 8.00,10. 34.00,3. 65.00,18. 16.00,21. 10.00,,,2018,lead,MEN,8608
14,15,Tanaka,Shuta,JPN,127.00,,,,5. 51.00,29. 1.00,6. 47.00,12. 28.00,2018,lead,MEN,14478
