,Rank,Name,Name.1,Nation,Points,1460,1466,1459,1462,1464,1467,1451,2013,event,gender,athlete_id
0,1,Kokorin,Stanislav,RUS,510.00,1. 100.00,2. 80.00,3. 65.00,13. (26.00),3. 65.00,1. 100.00,1. 100.00,2013,speed,MEN,8560
1,2,Hroza,Libor,CZE,405.00,7. 43.00,20. (12.00),2. 80.00,2. 80.00,1. 100.00,15. 22.00,2. 80.00,2013,speed,MEN,5651
2,3,Zhong,QiXin,CHN,360.00,15. 22.00,12. 28.00,1. 100.00,3. 65.00,2. 80.00,,3. 65.00,2013,speed,MEN,7994
3,4,Gontaryk,Yaroslav,UKR,300.00,3. 65.00,10. 34.00,9. 37.00,,9. 37.00,2. 80.00,6. 47.00,2013,speed,MEN,9039
4,5,Dzienski,Marcin,POL,296.00,5. 51.00,4. 55.00,15. (22.00),7. 43.00,4. 55.00,9. 37.00,4. 55.00,2013,speed,MEN,8525
5,6,Gontero,Leonardo,ITA,274.00,10. 34.00,13. (26.00),6. 47.00,5. 51.00,8. 40.00,3. 65.00,9. 37.00,2013,speed,MEN,9436
6,7,Vaitsekhovskii,Evgenii,RUS,272.00,13. 26.00,3. 65.00,4. 55.00,12. 28.00,6. 47.00,5. 51.00,,2013,speed,MEN,6132
7,8,Timofeev,Dmitrii,RUS,259.00,8. 40.00,7. 43.00,11. 31.00,6. 47.00,,4. 55.00,7. 43.00,2013,speed,MEN,10851
8,9,Shevchenko,Arsenii,RUS,237.00,11. 31.00,16. 20.00,10. 34.00,1. 100.00,10. 34.00,17. 18.00,,2013,speed,MEN,9700
9,10,Boldyrev,Danyil,UKR,230.00,21. 10.00,5. 51.00,5. 51.00,,14. 24.00,7. 43.00,5. 51.00,2013,speed,MEN,7964
10,11,Komosinski,Jedrzej,POL,228.00,4. 55.00,9. 37.00,16. 20.00,17. (18.00),5. 51.00,10. 34.00,11. 31.00,2013,speed,MEN,6980
11,12,Swirk,Lukasz,POL,210.00,12. 28.00,15. (22.00),8. 40.00,14. 24.00,11. 31.00,6. 47.00,8. 40.00,2013,speed,MEN,8200
