,Rank,Name,Name.1,Nation,Points,6843,6206,6331,6248,6202,6190,6186,6194,2017,event,gender,athlete_id
0,1,Desgranges,Romain,FRA,477.00,9. 37.00,22. (9.00),5. 51.00,1. 100.00,10. 34.00,1. 100.00,4. 55.00,1. 100.00,2017,lead,MEN,3554
1,2,Ghisolfi,Stefano,ITA,413.00,5. 51.00,7. 43.00,1. 100.00,2. 80.00,18. (16.00),3. 65.00,7. 43.00,11. 31.00,2017,lead,MEN,8323
2,3,Korenaga,Keiichiro,JPN,373.00,10. (32.00),1. 100.00,8. 40.00,10. 34.00,5. 51.00,10. 34.00,2. 80.00,10. 34.00,2017,lead,MEN,10173
3,4,Skofic,Domen,SLO,325.00,4. 55.00,17. 18.00,4. 55.00,4. 55.00,21. (10.00),9. 37.00,13. 25.00,2. 80.00,2017,lead,MEN,8958
4,5,Bombardi,Marcello,ITA,289.00,7. 43.00,23. (8.00),17. 18.00,12. 28.00,9. 37.00,6. 47.00,1. 100.00,18. 16.00,2017,lead,MEN,8317
5,6,Schubert,Jakob,AUT,265.00,1. 100.00,,,3. 65.00,1. 100.00,,,,2017,lead,MEN,6550
6,7,Joannes,Thomas,FRA,221.00,12. 28.00,9. 37.00,16. 20.00,5. 51.00,6. 47.00,19. 14.00,27. (2.00),14. 24.00,2017,lead,MEN,9758
7,8,KIM,Hanwool,KOR,213.00,14. 24.00,10. 34.00,3. 65.00,13. 26.00,15. 22.00,13. 26.00,16. 16.00,29. (2.00),2017,lead,MEN,8503
8,9,Samoilov,Fedir,UKR,193.00,15. 22.00,5. 51.00,25. 6.00,9. 37.00,24. 7.00,,26. 5.00,3. 65.00,2017,lead,MEN,10788
9,10,Vettorata,Francesco,ITA,182.00,6. 47.00,14. 24.00,14. 24.00,,16. 19.00,14. 24.00,9. 35.00,22. 9.00,2017,lead,MEN,10404
10,11,Bailey,Sean,USA,173.00,,,,6. 47.00,16. 19.00,5. 51.00,16. 16.00,8. 40.00,2017,lead,MEN,10775
11,11,Puman,Hannes,SWE,173.00,28. (3.00),21. 10.00,19. 13.00,14. 24.00,7. 43.00,17. 18.00,12. 28.00,9. 37.00,2017,lead,MEN,10365
12,11,Rudigier,Max,AUT,173.00,,18. 16.00,18. 16.00,7. 43.00,3. 65.00,12. 28.00,27. 2.00,28. 3.00,2017,lead,MEN,8315
13,14,Hada,Yuki,JPN,170.00,13. 26.00,16. 20.00,,,23. 8.00,,3. 65.00,5. 51.00,2017,lead,MEN,12326
14,15,Narasaki,Tomoa,JPN,166.00,25. 6.00,2. 80.00,2. 80.00,,,,,,2017,lead,MEN,10618
15,16,Fujii,Kokoro,JPN,162.00,17. 18.00,6. 47.00,10. 34.00,,,,9. 35.00,12. 28.00,2017,lead,MEN,10172
