,Rank,Name,Name.1,Nation,Points,533,552,585,584,525,581,2003,event,gender,athlete_id
0,1,Levet,Sandrine,FRA,500.00,1. 100.00,1. 100.00,1. 100.00,9. (37.00),1. 100.00,1. 100.00,2003,boulder,WOMEN,1350
1,2,Bibik,Olga,RUS,390.00,2. 80.00,3. 65.00,3. 65.00,1. 100.00,4. (55.00),2. 80.00,2003,boulder,WOMEN,1308
2,3,Perlova,Nataliya,UKR,266.00,5. 51.00,4. 55.00,9. 37.00,14. (24.00),2. 80.00,7. 43.00,2003,boulder,WOMEN,1299
3,4,Abramchuk,Yulia,RUS,248.00,7. 43.00,5. 51.00,11. 31.00,2. 80.00,7. 43.00,12. (28.00),2003,boulder,WOMEN,2736
4,5,Kotasova-Kostruhova,Vera,CZE,242.00,3. 65.00,7. 43.00,7. 43.00,11. (31.00),5. 51.00,8. 40.00,2003,boulder,WOMEN,1389
5,6,Danion,Juliette,FRA,229.00,8. 40.00,2. 80.00,4. 55.00,13. 26.00,12. 28.00,,2003,boulder,WOMEN,2803
6,7,Giammarco,Giulia,ITA,221.00,6. 47.00,9. 37.00,2. 80.00,7. 43.00,19. 14.00,,2003,boulder,WOMEN,3548
7,8,Theroux,Corinne,FRA,202.00,10. 34.00,8. 40.00,13. 26.00,4. 55.00,13. (26.00),6. 47.00,2003,boulder,WOMEN,1070
8,9,Motteau,Myriam,FRA,186.00,15. 22.00,11. 31.00,27. (4.00),3. 65.00,11. 31.00,9. 37.00,2003,boulder,WOMEN,1259
9,10,Rands,Lisa,USA,160.00,,,12. 28.00,5. 51.00,6. 47.00,10. 34.00,2003,boulder,WOMEN,5478
10,11,Son,Mélanie,FRA,151.00,4. 55.00,10. 34.00,15. 22.00,8. 40.00,,,2003,boulder,WOMEN,1275
11,12,Rogeaux,Fanny,FRA,132.00,,,22. 9.00,17. 18.00,8. 40.00,3. 65.00,2003,boulder,WOMEN,2836
12,13,Iakovleva,Olga,RUS,113.00,,,,10. 34.00,14. 24.00,4. 55.00,2003,boulder,WOMEN,2807
13,14,Bihr,Isabelle,FRA,98.00,,12. 28.00,26. 5.00,6. 47.00,17. 18.00,,2003,boulder,WOMEN,1151
14,15,Marchisio,Stella,ITA,97.00,,,21. 10.00,15. 22.00,3. 65.00,,2003,boulder,WOMEN,1353
15,15,Ritsch,Isabella,AUT,97.00,,14. 24.00,23. 8.00,12. 28.00,9. 37.00,,2003,boulder,WOMEN,2739
16,17,Chereshneva,Venera,RUS,78.00,,,6. 47.00,,,11. 31.00,2003,boulder,WOMEN,1391
17,18,Bacher,Barbara,AUT,67.00,,6. 47.00,,16. 20.00,,,2003,boulder,WOMEN,1030
18,19,Berry,Samantha,AUS,53.00,,,5. 51.00,29. 2.00,,,2003,boulder,WOMEN,6169
19,20,Dufraisse,Alizée,FRA,51.00,9. 37.00,,19. 14.00,,,,2003,boulder,WOMEN,6219
20,20,Titova,Natalia,RUS,51.00,,,,,,5. 51.00,2003,boulder,WOMEN,1304
21,22,De Grandi,Stefania,ITA,46.00,,13. 26.00,,20. 12.00,23. 8.00,,2003,boulder,WOMEN,5628
