,Rank,Name,Name.1,Nation,Points,984,982,980,979,975,971,968,964,2007,event,gender,athlete_id
0,1,Usobiaga Lakunza,Patxi,ESP,499.00,18. (16.00),1. 100.00,2. 80.00,2. 80.00,6. 47.00,6. 47.00,2. 80.00,3. 65.00,2007,lead,MEN,2550
1,2,Julian Puigblanque,Ramón,ESP,486.00,26. (5.00),2. 80.00,2. 80.00,1. 100.00,5. 51.00,2. 80.00,4. 55.00,8. 40.00,2007,lead,MEN,3521
2,3,Mrázek,Tomás,CZE,462.00,3. 65.00,,1. 100.00,8. 40.00,1. 100.00,8. 40.00,9. 37.00,2. 80.00,2007,lead,MEN,3377
3,4,Verhoeven,Jorg,NED,458.00,6. 47.00,3. 65.00,13. (26.00),3. 65.00,3. 65.00,3. 65.00,1. 100.00,5. 51.00,2007,lead,MEN,3115
4,5,Crespi,Flavio,ITA,448.00,2. 80.00,4. 55.00,7. 43.00,7. 43.00,2. 80.00,1. 100.00,6. 47.00,21. (10.00),2007,lead,MEN,251
5,6,Lachat,Cédric,SUI,361.00,1. 100.00,7. 43.00,,4. 55.00,7. 43.00,,3. 65.00,4. 55.00,2007,lead,MEN,2583
6,7,Lama,David,AUT,326.00,,10. 34.00,4. 55.00,5. 51.00,9. 37.00,25. 6.00,7. 43.00,1. 100.00,2007,lead,MEN,6487
7,8,Millet,Sylvain,FRA,288.00,13. 26.00,13. 26.00,6. 47.00,12. 28.00,4. 55.00,4. 55.00,5. 51.00,13. (26.00),2007,lead,MEN,838
8,9,Dugit,Fabien,FRA,208.00,20. 12.00,11. 31.00,14. 24.00,15. 22.00,10. 34.00,5. 51.00,,10. 34.00,2007,lead,MEN,2791
9,10,Midtboe,Magnus,NOR,195.00,5. 51.00,6. 47.00,,6. 47.00,,16. 20.00,17. 18.00,20. 12.00,2007,lead,MEN,5800
10,11,Fuselier,Michaël,FRA,187.00,9. 37.00,5. 51.00,,10. 34.00,,16. 20.00,19. 14.00,11. 31.00,2007,lead,MEN,567
11,12,Amma,Sachi,JPN,181.00,,,5. 51.00,,11. 31.00,13. 26.00,13. 26.00,6. 47.00,2007,lead,MEN,7225
12,13,Winkler,Daniel,SUI,149.00,10. 34.00,14. 24.00,,,8. 40.00,16. 20.00,14. 24.00,24. 7.00,2007,lead,MEN,3505
