,Rank,Name,Name.1,Nation,Points,KranjWC 11.11.2017,XiamenWC 14.10.2017,Wujiang 07.10.2017,EdinburghWC 23.09.2017,ArcoWC 25.08.2017,BriançonWC 28.07.2017,ChamonixWC 12.07.2017,VillarsWC 07.07.2017,2017,event,gender
45,45,Rubtsov,Aleksey,RUS,28.00,,,,,,21. 10.00,,17. 18.00,2017,lead,MEN
46,47,Firnenburg,David,GER,25.00,,,,27. 4.00,,,16. 16.00,26. 5.00,2017,lead,MEN
47,48,Bosi,William,GBR,21.00,,,,17. 18.00,28. 3.00,,,,2017,lead,MEN
48,49,Lehmann,Sascha,SUI,19.00,24. 7.00,,,20. 12.00,,,,,2017,lead,MEN
49,50,Bergant,Martin,SLO,16.00,19. 14.00,,,,,,27. 2.00,,2017,lead,MEN
50,51,Monchois,Nao,FRA,15.00,,,,,,30. 1.00,23. 8.00,25. 6.00,2017,lead,MEN
51,51,Shevchenko,Vladislav,RUS,15.00,,,,,,28. 3.00,,20. 12.00,2017,lead,MEN
52,53,Collin,Nicolas,BEL,14.00,,,,,,,,19. 14.00,2017,lead,MEN
53,54,Bonder,Jeremy,FRA,12.00,20. 12.00,,,,,,,,2017,lead,MEN
54,55,Harrison,Campbell,AUS,11.00,,28. 3.00,23. 8.00,,,,,,2017,lead,MEN
55,55,Kruder,Jernej,SLO,11.00,21. 10.00,,,,,,,30. 1.00,2017,lead,MEN
56,57,Blein,Charli,FRA,10.00,,,,,,,21. 10.00,,2017,lead,MEN
57,58,Parma,Georg,AUT,9.00,,,,22. 9.00,,,,,2017,lead,MEN
58,58,Schenk,Filip,ITA,9.00,,,,,,22. 9.00,,,2017,lead,MEN
59,60,Narasaki,Meichi,JPN,8.00,23. 8.00,,,,,,,,2017,lead,MEN
60,60,Schiestl,Matthias,AUT,8.00,,,,,,23. 8.00,,,2017,lead,MEN
61,62,Ravanello,Théo,FRA,5.00,,,,,,26. 5.00,,,2017,lead,MEN
62,63,Bosio,Anatole,FRA,4.00,,,,,,27. 4.00,,,2017,lead,MEN
63,63,Bydtaev,Sergei,RUS,4.00,29. 2.00,,,,,,27. 2.00,,2017,lead,MEN
64,63,Levin,Josh,USA,4.00,,30. 1.00,28. 3.00,,,,,,2017,lead,MEN
65,63,Luzhetskii,Sergei,RUS,4.00,27. 4.00,,,,,,,,2017,lead,MEN
66,63,Shimizu,Hiroto,JPN,4.00,,,,,27. 4.00,,,,2017,lead,MEN
67,63,Tkachuk,Mykhayil,UKR,4.00,,,27. 4.00,,,,,,2017,lead,MEN
68,69,Berthe,Sébastien,BEL,3.00,,,,28. 3.00,,,,,2017,lead,MEN
69,70,Grupper,Jesse,USA,2.00,,,,,,29. 2.00,,,2017,lead,MEN
70,70,Muehring,Luke,USA,2.00,,,29. 2.00,,,,,,2017,lead,MEN
71,70,Numajiri,Takuma,JPN,2.00,,,,29. 2.00,,,,,2017,lead,MEN
72,"7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.",2017,lead,MEN
