,Rank,Name,Name.1,Nation,Points,979,975,974,971,1072,959,2007,event,gender,athlete_id
0,1,Ruyga,Tatiana,RUS,405.00,3. 65.00,1. 100.00,2. 80.00,2. 80.00,2. 80.00,4. (55.00),2007,speed,WOMEN,1378
1,2,Tuzhylina,Svitlana,UKR,363.00,1. 100.00,,5. 51.00,1. 100.00,6. 47.00,3. 65.00,2007,speed,WOMEN,6609
2,3,Stenkovaya,Anna,RUS,360.00,2. 80.00,2. 80.00,8. (40.00),4. 55.00,3. 65.00,2. 80.00,2007,speed,WOMEN,3619
3,4,Yurina,Valentina,RUS,310.00,4. 55.00,3. 65.00,1. 100.00,6. 47.00,7. 43.00,8. (40.00),2007,speed,WOMEN,3316
4,5,Ropek,Edyta,POL,291.00,9. (37.00),7. 43.00,3. 65.00,7. 43.00,8. 40.00,1. 100.00,2007,speed,WOMEN,3547
5,6,Da Silva,Rosmery,VEN,253.00,5. 51.00,,9. 37.00,10. 34.00,1. 100.00,11. 31.00,2007,speed,WOMEN,6330
6,7,Rodriguez,Francis,VEN,181.00,17. 18.00,,7. 43.00,15. 22.00,4. 55.00,7. 43.00,2007,speed,WOMEN,6228
7,8,Blanco,Lucelia,VEN,176.00,7. 43.00,,10. 34.00,9. 37.00,10. 34.00,12. 28.00,2007,speed,WOMEN,7120
8,9,Piratinskaya,Mayya,RUS,175.00,11. 31.00,19. (14.00),6. 47.00,13. 26.00,9. 37.00,10. 34.00,2007,speed,WOMEN,1267
9,10,Ryepko,Olena,UKR,157.00,,,4. 55.00,,5. 51.00,5. 51.00,2007,speed,WOMEN,1105
10,11,Chereshneva,Yana,RUS,106.00,6. 47.00,11. 31.00,,12. 28.00,,,2007,speed,WOMEN,6324
11,12,Li,Chunhua,CHN,91.00,,5. 51.00,,8. 40.00,,,2007,speed,WOMEN,4962
12,13,He,Cuifang,CHN,86.00,,4. 55.00,,11. 31.00,,,2007,speed,WOMEN,6769
13,14,Karesova,Eliska,CZE,78.00,,,,14. 24.00,12. 28.00,13. 26.00,2007,speed,WOMEN,5171
14,15,Terenteva,Galina,RUS,65.00,,,,3. 65.00,,,2007,speed,WOMEN,8413
15,16,Alekseeva,Kseniia,RUS,51.00,,,,5. 51.00,,,2007,speed,WOMEN,5149
16,17,Bezhko,Olga,UKR,47.00,,,,,,6. 47.00,2007,speed,WOMEN,5255
17,17,He,CuiLian,CHN,47.00,,6. 47.00,,,,,2007,speed,WOMEN,8419
18,19,Iskakova,Aliya,KAZ,40.00,13. 26.00,,,19. 14.00,,,2007,speed,WOMEN,7123
19,19,Neliwati,Evi,INA,40.00,8. 40.00,,,,,,2007,speed,WOMEN,4954
20,19,Saurwein,Katharina,AUT,40.00,16. 20.00,16. 20.00,,,,,2007,speed,WOMEN,5244
21,19,Zhang,Dan,CHN,40.00,,8. 40.00,,,,,2007,speed,WOMEN,7324
22,23,Savchenko,Ganna,UKR,37.00,,,,,,9. 37.00,2007,speed,WOMEN,7274
23,23,peng,huanmiao,CHN,37.00,,9. 37.00,,,,,2007,speed,WOMEN,8524
24,25,Cheng,Lai-Sho,HKG,34.00,,10. 34.00,,,,,2007,speed,WOMEN,5979
25,25,Zijlstra,Vera,NED,34.00,10. 34.00,,,,,,2007,speed,WOMEN,5641
26,27,Zampar,Cassandra,ITA,31.00,,,,,11. 31.00,,2007,speed,WOMEN,7069
27,28,Graftiaux,Chloé,BEL,28.00,12. 28.00,,,,,,2007,speed,WOMEN,5259
28,28,Li,Xuqing,CHN,28.00,,12. 28.00,,,,,2007,speed,WOMEN,7318
29,30,Soltaninejad,Sajedeh,IRI,26.00,,13. 26.00,,,,,2007,speed,WOMEN,7363
30,31,Gros,Natalija,SLO,24.00,14. 24.00,,,,,,2007,speed,WOMEN,2755
31,31,Lenartowicz,Marta,POL,24.00,,,,,,14. 24.00,2007,speed,WOMEN,6703
32,31,Malamid,Evgeniia,RUS,24.00,,14. 24.00,,,,,2007,speed,WOMEN,5147
33,34,Bacher,Barbara,AUT,22.00,15. 22.00,,,,,,2007,speed,WOMEN,1030
34,34,Caprez,Nina,SUI,22.00,,15. 22.00,,,,,2007,speed,WOMEN,6376
35,34,Szczepaniec,Agnieszka,POL,22.00,,,,,,15. 22.00,2007,speed,WOMEN,7024
36,37,Hrozova,Lucie,CZE,20.00,,,,,,16. 20.00,2007,speed,WOMEN,5633
37,37,Khudyakova,Anna,RUS,20.00,,,,16. 20.00,,,2007,speed,WOMEN,8254
38,39,Karami,Azam,IRI,18.00,,17. 18.00,,,,,2007,speed,WOMEN,61172
39,39,Korolkova,Ekaterina,RUS,18.00,,,,17. 18.00,,,2007,speed,WOMEN,3277
40,39,Prokopiuk,Monika,POL,18.00,,,,,,17. 18.00,2007,speed,WOMEN,7801
41,42,Lee,Hung Ying,TPE,16.00,,18. 16.00,,,,,2007,speed,WOMEN,8122
42,42,Miciula,Agnieszka,POL,16.00,,,,,,18. 16.00,2007,speed,WOMEN,8222
43,42,Yachnik,Julia,RUS,16.00,,,,18. 16.00,,,2007,speed,WOMEN,8408
44,45,Esmailzadeh,Farnaz,IRI,14.00,,19. 14.00,,,,,2007,speed,WOMEN,7379
45,45,Malkova,Yana,RUS,14.00,,,,,,19. 14.00,2007,speed,WOMEN,6694
