,Rank,Name,Name.1,Nation,Points,WC Kranj 13.11.2010,WC Huaiji 29.10.2010,WC Puurs 24.09.2010,WC Chuncheon 28.08.2010,WC Xining 20.08.2010,Wc Chamonix 12.07.2010,2010,event,gender
56,57,Peng,Kuei Chi,TPE,8.00,,23. 8.00,,,,,2010,lead,MEN
57,58,Chang,Chia Chu,TPE,7.00,,24. 7.00,,,,,2010,lead,MEN
58,58,Moreno De Los Huerto,Daniel,ESP,7.00,,,24. 7.00,,,,2010,lead,MEN
59,58,Ogata,Kazutoshi,JPN,7.00,,,,24. 7.00,,,2010,lead,MEN
60,61,Lee,Changhyon,KOR,6.00,,,,25. 6.00,,,2010,lead,MEN
61,61,Lis,Jurgen,BEL,6.00,,,25. 6.00,,,,2010,lead,MEN
62,61,Sova,Matej,SLO,6.00,27. 4.00,,28. 2.00,,,,2010,lead,MEN
63,64,Krakenberger,Franz,SUI,5.00,28. 3.00,,28. 2.00,,,,2010,lead,MEN
64,64,Ngo,Truong,NED,5.00,,,26. 5.00,,,,2010,lead,MEN
65,66,Aglae,Kevin,FRA,4.00,,,,,,27. 4.00,2010,lead,MEN
66,66,Lee,Jeongsu,KOR,4.00,,,,27. 4.00,,,2010,lead,MEN
67,66,Schellingerhout,Elko,NED,4.00,,,27. 4.00,,,,2010,lead,MEN
68,69,Seo,Sungbo,KOR,3.00,,,,28. 3.00,,,2010,lead,MEN
69,70,Epih,Sergej,SLO,2.00,29. 2.00,,,,,,2010,lead,MEN
70,70,Murai,Ryuichi,JPN,2.00,,,,29. 2.00,,,2010,lead,MEN
71,72,Konishi,Daisuke,JPN,1.00,,,,30. 1.00,,,2010,lead,MEN
72,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,2010,lead,MEN
