,Rank,Name,Name.1,Nation,Points,1639,1636,1637,1633,1640,1635,1638,2016,event,gender,athlete_id
0,1,Coxsey,Shauna,GBR,560.00,2. 80.00,2. 80.00,1. 100.00,9. (37.00),1. 100.00,1. 100.00,1. 100.00,2016,boulder,WOMEN,8247
1,2,Nonaka,Miho,JPN,446.00,1. 100.00,5. 51.00,3. 65.00,1. 100.00,3. 65.00,3. 65.00,14. (24.00),2016,boulder,WOMEN,12039
2,3,Le Neve,Melissa,FRA,368.00,4. 55.00,4. 55.00,8. (40.00),4. 55.00,7. 43.00,2. 80.00,2. 80.00,2016,boulder,WOMEN,9074
3,4,Noguchi,Akiyo,JPN,352.00,3. 65.00,8. 40.00,6. 47.00,3. 65.00,2. 80.00,20. (12.00),4. 55.00,2016,boulder,WOMEN,6326
4,5,Retschy,Monika,GER,236.00,24. 7.00,10. 34.00,12. 28.00,2. 80.00,6. 47.00,8. 40.00,25. (5.00),2016,boulder,WOMEN,7641
5,6,Gibert,Fanny,FRA,223.00,7. 43.00,,21. 9.00,8. 40.00,9. 37.00,5. 51.00,7. 43.00,2016,boulder,WOMEN,9989
6,7,Mascarenas,Megan,USA,220.00,,1. 100.00,4. 55.00,,,,3. 65.00,2016,boulder,WOMEN,12027
7,8,Klingler,Petra,SUI,192.00,21. 9.00,7. 43.00,13. 25.00,,13. 26.00,4. 55.00,10. 34.00,2016,boulder,WOMEN,6367
8,9,Kaiser,Clementine,FRA,175.00,13. 26.00,,,7. 43.00,11. 31.00,12. 28.00,6. 47.00,2016,boulder,WOMEN,9549
9,10,SA,Sol,KOR,171.00,,18. 16.00,7. 43.00,5. 51.00,16. 20.00,18. 15.00,13. 26.00,2016,boulder,WOMEN,9266
10,11,Crane,Leah,GBR,164.00,8. 40.00,21. (10.00),15. 22.00,11. 31.00,17. 18.00,14. 24.00,11. 29.00,2016,boulder,WOMEN,6849
11,12,Stöhr,Anna,AUT,159.00,,3. 65.00,5. 51.00,,,10. 34.00,21. 9.00,2016,boulder,WOMEN,5630
12,12,Tracy,Michaela,GBR,159.00,,14. 24.00,17. 18.00,,10. 34.00,7. 43.00,8. 40.00,2016,boulder,WOMEN,8101
13,14,Saurwein,Katharina,AUT,153.00,12. 28.00,20. (12.00),16. 20.00,6. 47.00,18. 16.00,15. 22.00,16. 20.00,2016,boulder,WOMEN,5244
14,15,Schwaiger,Berit,AUT,143.00,,9. 37.00,13. 25.00,12. 28.00,15. 22.00,11. 31.00,,2016,boulder,WOMEN,8953
15,16,Caulier,Chloe,BEL,138.00,15. 22.00,,23. 7.00,,8. 40.00,6. 47.00,15. 22.00,2016,boulder,WOMEN,9945
16,17,Garnbret,Janja,SLO,131.00,,,2. 80.00,,,,5. 51.00,2016,boulder,WOMEN,11989
17,18,Gejo,Stasa,SRB,125.00,5. 51.00,,9. 37.00,,,,9. 37.00,2016,boulder,WOMEN,10338
