,Rank,Name,Name.1,Nation,Points,W-Bi 29.11.1997,W-Im 22.11.1997,W-Kr 09.11.1997,W-Pr 24.10.1997,W-Co 05.09.1997,1997,event,gender
0,1,Sarkany,Muriel,BEL,427.00,1. 100.00,2. 80.00,6. 47.00,1. 100.00,1. 100.00,1997,lead,WOMEN
1,2,Sansoz,Liv,FRA,360.00,2. 80.00,1. 100.00,1. 100.00,2. 80.00,,1997,lead,WOMEN
2,3,Bodet,Stéphanie,FRA,297.00,6. 47.00,3. 65.00,4. 55.00,3. 65.00,3. 65.00,1997,lead,WOMEN
3,4,Choumilova,Elena,RUS,277.00,8. 40.00,4. 55.00,2. 80.00,5. 51.00,5. 51.00,1997,lead,WOMEN
4,5,Cufar,Martina,SLO,241.00,11. 31.00,6. 47.00,8. 40.00,7. 43.00,2. 80.00,1997,lead,WOMEN
5,6,Richer,Natalie,FRA,234.00,5. 51.00,5. 51.00,5. 51.00,13. 26.00,4. 55.00,1997,lead,WOMEN
6,7,Avezou,Cecile,FRA,221.00,4. 55.00,8. 40.00,12. 28.00,4. 55.00,7. 43.00,1997,lead,WOMEN
7,8,Uhden,Marietta,GER,191.00,3. 65.00,14. 24.00,3. 65.00,9. 37.00,,1997,lead,WOMEN
8,9,Schultz,Annatina,SUI,147.00,13. 26.00,16. 20.00,16. 20.00,6. 47.00,10. 34.00,1997,lead,WOMEN
9,10,Go,Mi-Sun,KOR,140.00,,10. 34.00,13. 26.00,8. 40.00,8. 40.00,1997,lead,WOMEN
10,11,Hilly,Margaux,FRA,136.00,10. 34.00,9. 37.00,10. 34.00,11. 31.00,,1997,lead,WOMEN
11,12,Gronkiewicz-Marcisz,Iwona,POL,130.00,9. 37.00,18. 16.00,7. 43.00,10. 34.00,,1997,lead,WOMEN
