,Rank,Name,Name.1,Nation,Points,450,513,443,442,441,2002,event,gender,athlete_id
0,1,Peshekhonov,Alexander,RUS,460.00,1. 100.00,1. 100.00,2. 80.00,2. 80.00,1. 100.00,2002,speed,MEN,5464
1,2,Styenkovyy,Maksym,UKR,311.00,3. 65.00,4. 55.00,1. 100.00,8. 40.00,5. 51.00,2002,speed,MEN,2586
2,3,Sinitcyn,Sergei,RUS,296.00,4. 55.00,5. 51.00,21. 10.00,1. 100.00,2. 80.00,2002,speed,MEN,5141
3,4,Gadeev,Alexei,RUS,270.00,2. 80.00,2. 80.00,9. 37.00,4. 55.00,17. 18.00,2002,speed,MEN,3108
4,5,Soubbotine,Iakov,RUS,233.00,9. 37.00,6. 47.00,4. 55.00,5. 51.00,7. 43.00,2002,speed,MEN,2514
5,6,Komondi,Csaba,HUN,173.00,,7. 43.00,3. 65.00,9. 37.00,12. 28.00,2002,speed,MEN,135
6,7,Sadyrov,Marat,RUS,170.00,7. 43.00,9. 37.00,,7. 43.00,6. 47.00,2002,speed,MEN,2613
7,8,Chaoulsky,Alexandre,RUS,148.00,,,7. 43.00,3. 65.00,8. 40.00,2002,speed,MEN,2567
8,9,Zakharov,Vladimir,UKR,135.00,,3. 65.00,10. 34.00,15. 22.00,19. 14.00,2002,speed,MEN,954
9,10,Minatchev,Evgueni,RUS,116.00,,,5. 51.00,,3. 65.00,2002,speed,MEN,2501
10,11,Baranov,Vladislav,RUS,114.00,,,6. 47.00,6. 47.00,16. 20.00,2002,speed,MEN,2849
11,12,Kouzovlev,Nikolai,RUS,86.00,,,12. 28.00,10. 34.00,14. 24.00,2002,speed,MEN,5142
12,13,Piniguine,Serguei,RUS,82.00,,,15. 22.00,13. 26.00,10. 34.00,2002,speed,MEN,5131
13,14,Mikhailov,Maxim,RUS,77.00,,,14. 24.00,11. 31.00,15. 22.00,2002,speed,MEN,2674
14,15,Netsvetaev-Dolgalev,Vladimir,RUS,73.00,,,18. 16.00,16. 20.00,9. 37.00,2002,speed,MEN,944
