,Rank,Name,Name.1,Nation,Points,Moscow (B+S) 02.11.2006,Hall (B) 23.06.2006,Fiera di Primiero(B) 16.06.2006,Grindelwald (B) 09.06.2006,Rovereto (B) 12.05.2006,Veliko Tarnovo (B+S) 21.04.2006,Birmingham (B) 17.03.2006,2006,event,gender
58,55,Würth,Peter,GER,12.00,,,,,,20. 12.00,,2006,boulder,MEN
59,60,Hemund,Kevin,SUI,11.00,,,,22. 9.00,,29. 2.00,,2006,boulder,MEN
60,61,Carvalho,Eduardo,BRA,10.00,,,21. 10.00,,,,,2006,boulder,MEN
61,61,Cehovin,Urh,SLO,10.00,21. 10.00,,,,,,,2006,boulder,MEN
62,61,Kazbekov,Serik,UKR,10.00,,,,,21. 10.00,,,2006,boulder,MEN
63,64,Jubes Angarita,Marco Antonio,ESP,9.00,,,,,,22. 9.00,,2006,boulder,MEN
64,64,Meral,Julien,FRA,9.00,,,,,,,22. 9.00,2006,boulder,MEN
65,66,Kaurov,Ivan,RUS,8.00,23. 8.00,,,,,,,2006,boulder,MEN
66,67,Georgiev,Marian,BUL,7.00,,,,,,24. 7.00,,2006,boulder,MEN
67,67,Scarian,Riccardo,ITA,7.00,,,24. 7.00,,,,,2006,boulder,MEN
68,69,DU LAC,Daniel,FRA,6.00,,,,,,,25. 6.00,2006,boulder,MEN
69,69,Merz,Aric,GER,6.00,,,,29. 2.00,,27. 4.00,,2006,boulder,MEN
70,71,Lazarov,Blagovest,BUL,5.00,,,,,,26. 5.00,,2006,boulder,MEN
71,72,Bashkirtsev,Evgeny,RUS,4.00,,,,,,27. 4.00,,2006,boulder,MEN
72,72,Kim,Jaha,KOR,4.00,,27. 4.00,,,,,,2006,boulder,MEN
73,72,Ladniy,Andrey,RUS,4.00,27. 4.00,,,,,,,2006,boulder,MEN
74,72,Smith,Martin,GBR,4.00,,,27. 4.00,,,,,2006,boulder,MEN
75,76,Kozlov,Vasily,RUS,3.00,28. 3.00,,,,,,,2006,boulder,MEN
76,77,Gerland,Bastien,FRA,2.00,,,,,,,29. 2.00,2006,boulder,MEN
77,77,Mihaylov,Iliyan,BUL,2.00,,,,,,29. 2.00,,2006,boulder,MEN
78,77,Shaferov,Sergei,BLR,2.00,29. 2.00,,,,,,,2006,boulder,MEN
79,80,Benk,Christian,GER,1.00,,,,30. 1.00,,,,2006,boulder,MEN
80,80,Caleyron,Thomas,FRA,1.00,,,,,,,30. 1.00,2006,boulder,MEN
81,80,D'yakonov,Kirill,RUS,1.00,30. 1.00,,,,,,,2006,boulder,MEN
82,6 (=7-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,6 (=7-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,6 (=7-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,6 (=7-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,6 (=7-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,6 (=7-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,6 (=7-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,6 (=7-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,6 (=7-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,6 (=7-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,6 (=7-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,6 (=7-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,2006,boulder,MEN
