,Rank,Name,Name.1,Nation,Points,7950,7944,7941,7959,7929,7926,2019,event,gender,athlete_id
0,1,Mawem,Bassa,FRA,329.00,5. 51.00,7. 43.00,4. 55.00,2. 80.00,15. (22.00),1. 100.00,2019,speed,MEN,6
1,2,Deulin,Vladislav,RUS,312.00,3. 65.00,3. 65.00,5. 51.00,5. 51.00,14. (24.00),2. 80.00,2019,speed,MEN,10613
2,3,Muhammad,Alfian,INA,286.00,8. 40.00,1. 100.00,20. 12.00,10. 34.00,1. 100.00,24. (7.00),2019,speed,MEN,10688
3,4,Zhong,QiXin,CHN,285.00,1. 100.00,2. 80.00,7. 43.00,24. 7.00,4. 55.00,,2019,speed,MEN,7994
4,5,Timofeev,Dmitrii,RUS,283.00,7. 43.00,16. 20.00,2. 80.00,1. 100.00,16. (20.00),8. 40.00,2019,speed,MEN,10851
5,6,Alipourshenazandifar,Reza,IRI,236.00,6. 47.00,23. (8.00),8. 40.00,4. 55.00,5. 51.00,7. 43.00,2019,speed,MEN,10635
6,7,Rukin,Sergey,RUS,234.00,4. 55.00,6. 47.00,16. 20.00,,3. 65.00,6. 47.00,2019,speed,MEN,59998
7,8,Shikov,Aleksandr,RUS,203.00,12. 28.00,14. 24.00,1. 100.00,,,5. 51.00,2019,speed,MEN,10856
8,9,Pavlenko,Kostiantyn,UKR,181.00,22. 9.00,11. 31.00,19. 14.00,6. 47.00,2. 80.00,,2019,speed,MEN,11071
9,10,Kriz,Jan,CZE,162.00,24. (7.00),18. 16.00,3. 65.00,7. 43.00,18. 16.00,15. 22.00,2019,speed,MEN,10059
10,11,Jaelolo,Aspar,INA,158.00,28. 3.00,9. 37.00,,15. 22.00,11. 31.00,3. 65.00,2019,speed,MEN,11470
11,12,Dzienski,Marcin,POL,150.00,25. (6.00),5. 51.00,17. 18.00,13. 26.00,9. 37.00,17. 18.00,2019,speed,MEN,8525
12,13,Shilov,Aleksandr,RUS,137.00,16. (20.00),15. 22.00,13. 26.00,14. 24.00,12. 28.00,9. 37.00,2019,speed,MEN,12994
13,14,Rudatskiy,Lev,RUS,136.00,2. 80.00,29. 2.00,10. 34.00,,,16. 20.00,2019,speed,MEN,11326
14,15,Fossali,Ludovico,ITA,126.00,,,9. 37.00,3. 65.00,,14. 24.00,2019,speed,MEN,10596
15,16,CAO,Long,CHN,121.00,,13. 26.00,12. 28.00,28. 3.00,22. 9.00,4. 55.00,2019,speed,MEN,12942
16,17,LONG,JinBao,CHN,120.00,10. 34.00,22. 9.00,11. 31.00,20. 12.00,10. 34.00,,2019,speed,MEN,77860
17,18,Roji,Fatchur,INA,118.00,15. 22.00,28. 3.00,,9. 37.00,8. 40.00,18. 16.00,2019,speed,MEN,10684
18,19,Boldyrev,Danyil,UKR,102.00,,4. 55.00,6. 47.00,,,,2019,speed,MEN,7964
19,19,Kokorin,Stanislav,RUS,102.00,21. 10.00,12. 28.00,18. 16.00,,19. 14.00,10. 34.00,2019,speed,MEN,8560
20,21,Lee,Seungbeom,KOR,93.00,9. 37.00,10. 34.00,15. 22.00,,,,2019,speed,MEN,13483
21,22,CHEN,ZhiXing,CHN,77.00,,30. 1.00,21. 10.00,8. 40.00,13. 26.00,,2019,speed,MEN,14490
22,23,Ou,ZhiYong,CHN,75.00,20. 12.00,,,16. 20.00,7. 43.00,,2019,speed,MEN,13437
23,24,Zodda,Gian Luca,ITA,65.00,,26. 5.00,27. 4.00,18. 16.00,20. 12.00,12. 28.00,2019,speed,MEN,12092
24,25,Iarilovets,Nikolai,RUS,63.00,,27. 4.00,29. 2.00,,6. 47.00,21. 10.00,2019,speed,MEN,13545
25,26,LIN,PengHui,CHN,62.00,11. 31.00,,,11. 31.00,,,2019,speed,MEN,13436
26,27,Brosler,John,USA,61.00,,8. 40.00,,17. 18.00,28. 3.00,,2019,speed,MEN,11380
27,28,Granja,Carlos,ECU,54.00,29. (2.00),17. 18.00,24. 7.00,19. 14.00,21. 10.00,26. 5.00,2019,speed,MEN,11575
28,29,Khaibullin,Rishat,KAZ,51.00,13. 26.00,,14. 24.00,,,30. 1.00,2019,speed,MEN,9567
29,30,Bogomolov,Arsenii,RUS,50.00,23. 8.00,,,12. 28.00,,19. 14.00,2019,speed,MEN,12643
30,31,Maimuratov,Amir,KAZ,47.00,18. 16.00,,,,,11. 31.00,2019,speed,MEN,9619
31,32,Rebreyend,Pierre,FRA,46.00,14. 24.00,19. 14.00,23. 8.00,,,,2019,speed,MEN,11191
32,33,Luzhetskii,Sergei,RUS,31.00,,,,22. 9.00,17. 18.00,27. 4.00,2019,speed,MEN,9696
33,34,Artamonov,Georgy,RUS,26.00,,,,,,13. 26.00,2019,speed,MEN,10189
34,34,Mawem,Mickael,FRA,26.00,,21. 10.00,,23. 8.00,,23. 8.00,2019,speed,MEN,12720
35,36,LIANG,RongQi,CHN,18.00,17. 18.00,,,,,,2019,speed,MEN,68646
36,36,Noya Cardona,Erik,ESP,18.00,,20. 12.00,25. 6.00,,,,2019,speed,MEN,79287
37,38,Fujii,Kokoro,JPN,16.00,,,26. 5.00,27. 4.00,24. 7.00,,2019,speed,MEN,10172
38,38,ZHANG,Liang,CHN,16.00,27. 4.00,,,21. 10.00,29. 2.00,,2019,speed,MEN,74925
39,40,Cornu,Manuel,FRA,15.00,,,22. 9.00,30. 1.00,26. 5.00,,2019,speed,MEN,11091
40,41,WANG,MinHui,CHN,14.00,19. 14.00,,,,,,2019,speed,MEN,83951
41,42,Goodacre,Joe,USA,12.00,,,,,,20. 12.00,2019,speed,MEN,13915
42,42,Xu,Shuo,CHN,12.00,,,,25. 6.00,25. 6.00,,2019,speed,MEN,77863
43,44,AliPourShenazandi,Mehdi,IRI,9.00,,,,,,22. 9.00,2019,speed,MEN,11216
44,44,Narasaki,Tomoa,JPN,9.00,,25. 6.00,28. 3.00,,,,2019,speed,MEN,10618
45,46,Chan,Cheung-chi Shoji,HKG,8.00,,,,,23. 8.00,,2019,speed,MEN,12473
46,46,Khabibullin,Artem,RUS,8.00,,24. 7.00,30. 1.00,,,,2019,speed,MEN,10853
47,48,Asrar,Ehsan,IRI,6.00,,,,,,25. 6.00,2019,speed,MEN,14523
48,49,BianBa,ZhaXi,CHN,5.00,,,,26. 5.00,,,2019,speed,MEN,14171
49,49,Zaenal,Aripin,INA,5.00,26. 5.00,,,,,,2019,speed,MEN,13040
50,51,Hojer,Jan,GER,4.00,,,,,27. 4.00,,2019,speed,MEN,6623
51,52,Knapp,Lukas,AUT,3.00,,,,,,28. 3.00,2019,speed,MEN,12675
52,53,Dohi,Keita,JPN,2.00,,,,,,29. 2.00,2019,speed,MEN,14032
53,53,Piccolruaz,Michael,ITA,2.00,,,,29. 2.00,,,2019,speed,MEN,9514
