,Rank,Name,Name.1,Nation,Points,1460,1466,1459,1462,1464,1467,1451,2013,event,gender,athlete_id
0,1,Gaidamakina,Alina,RUS,515.00,4. 55.00,1. 100.00,2. 80.00,1. 100.00,1. 100.00,2. 80.00,9. (37.00),2013,speed,WOMEN,7234
1,2,Kaplina,Iuliia,RUS,471.00,1. 100.00,4. 55.00,1. 100.00,7. (43.00),5. 51.00,1. 100.00,3. 65.00,2013,speed,WOMEN,10857
2,3,Miroslaw,Aleksandra,POL,402.00,5. 51.00,2. 80.00,5. 51.00,4. 55.00,17. (16.00),3. 65.00,1. 100.00,2013,speed,WOMEN,9493
3,4,Krasavina,Mariia,RUS,388.00,2. 80.00,3. 65.00,4. 55.00,3. 65.00,2. 80.00,7. 43.00,7. (43.00),2013,speed,WOMEN,9281
4,5,Levochkina,Yuliya,RUS,377.00,3. 65.00,6. 47.00,3. 65.00,2. 80.00,8. 40.00,8. (40.00),2. 80.00,2013,speed,WOMEN,9133
5,6,Jaubert,Anouck,FRA,291.00,8. 40.00,5. 51.00,7. 43.00,8. (40.00),4. 55.00,6. 47.00,4. 55.00,2013,speed,WOMEN,10354
6,7,Buczek,Klaudia,POL,233.00,7. 43.00,14. 24.00,8. 40.00,5. 51.00,15. (22.00),5. 51.00,14. 24.00,2013,speed,WOMEN,9238
7,8,Heitz,Margot,FRA,209.00,13. 26.00,12. 28.00,9. 37.00,18. 16.00,17. (16.00),4. 55.00,6. 47.00,2013,speed,WOMEN,8293
8,9,Prokopiuk,Monika,POL,196.00,10. 34.00,11. 31.00,11. 31.00,9. 37.00,7. 43.00,22. (7.00),16. 20.00,2013,speed,WOMEN,7801
9,10,Ropek,Edyta,POL,191.00,9. 37.00,13. 26.00,10. 34.00,20. 12.00,11. 31.00,,5. 51.00,2013,speed,WOMEN,3547
10,11,Marenych,Alla,UKR,164.00,12. 28.00,8. 40.00,12. 28.00,,9. 37.00,11. 31.00,,2013,speed,WOMEN,11299
11,12,Polekhina,Kseniya,RUS,112.00,,,,6. 47.00,3. 65.00,,,2013,speed,WOMEN,7235
