,Rank,Name,Name.1,Nation,Points,Wujiang 18.10.2014,Mokpo 11.10.2014,Arco 30.08.2014,Chamonix 10.07.2014,Haiyang 20.06.2014,Baku 03.05.2014,Chongqing 26.04.2014,2014,event,gender
54,55,Lewicki,Michal,POL,11.00,,,24. 7.00,26. 4.00,,,,2014,speed,MEN
55,55,Pasqua,Tommaso,ITA,11.00,,,26. 5.00,25. 6.00,,,,2014,speed,MEN
56,57,Her,Youngwook,KOR,10.00,,21. 10.00,,,,,,2014,speed,MEN
57,57,Mukbaniani,Giorgi,GEO,10.00,,,,,,21. 10.00,,2014,speed,MEN
58,57,Ruangrit,Winai,THA,10.00,,,,,,,21. 10.00,2014,speed,MEN
59,60,Khutsishvili,Mamuka,GEO,9.00,,,,,,22. 9.00,,2014,speed,MEN
60,60,Son,Donggyu,KOR,9.00,,22. 9.00,,,,,,2014,speed,MEN
61,62,Rahimkhanov,Ramel,AZE,8.00,,,,,,23. 8.00,,2014,speed,MEN
62,63,Shahbalaye,Zohrab,AZE,7.00,,,,,,24. 7.00,,2014,speed,MEN
63,64,Taghizade,Chingiz,AZE,6.00,,,,,,25. 6.00,,2014,speed,MEN
64,65,Bunprakop,Phanuphong,THA,4.00,,27. 4.00,,,,,,2014,speed,MEN
65,65,Sordyl,Tomasz,POL,4.00,,,,26. 4.00,,,,2014,speed,MEN
66,65,Zama,Stanislao,ITA,4.00,,,27. 4.00,,,,,2014,speed,MEN
67,68,Erber,Matthias,AUT,3.00,,,28. 3.00,,,,,2014,speed,MEN
68,68,Levier,Alban,FRA,3.00,,,,28. 3.00,,,,2014,speed,MEN
69,68,Thanakornkul,Supasan,THA,3.00,,28. 3.00,,,,,,2014,speed,MEN
70,71,Burian,Petr,CZE,2.00,,,,29. 2.00,,,,2014,speed,MEN
71,72,Bosler,Joshua,GER,1.00,,,,30. 1.00,,,,2014,speed,MEN
72,72,Manosalvas,Josue,ECU,1.00,,,30. 1.00,,,,,2014,speed,MEN
73,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,2014,speed,MEN
