,Rank,Name,Name.1,Nation,Points,21,20,19,22,18,23,1998,event,gender,athlete_id
0,1,Rakhmetov,Salavat,RUS,345.00,1. 100.00,3. 65.00,2. 80.00,1. 100.00,6. (47.00),3. (65.00),1998,boulder,MEN,845
1,2,Petit,François,FRA,315.00,4. 55.00,2. 80.00,6. (47.00),2. 80.00,7. (43.00),1. 100.00,1998,boulder,MEN,275
2,3,Julien,Stephane,FRA,286.00,7. 43.00,1. 100.00,7. 43.00,10. (34.00),1. 100.00,11. (31.00),1998,boulder,MEN,826
3,4,DU LAC,Daniel,FRA,262.00,2. 80.00,5. 51.00,,5. 51.00,2. 80.00,5. (51.00),1998,boulder,MEN,175
4,5,Kazbekov,Serik,UKR,230.00,5. (51.00),4. 55.00,5. (51.00),3. 65.00,4. 55.00,4. 55.00,1998,boulder,MEN,829
5,6,Laurence,Ludovic,FRA,210.00,3. 65.00,,,8. 40.00,3. 65.00,8. 40.00,1998,boulder,MEN,521
6,7,Lombard,François,FRA,197.00,23. (8.00),6. 47.00,4. 55.00,4. 55.00,8. 40.00,9. (37.00),1998,boulder,MEN,268
7,8,Golob,Jurij,SLO,185.00,,11. 31.00,1. 100.00,,13. 26.00,12. 28.00,1998,boulder,MEN,410
8,9,Coffy,François,FRA,152.00,,8. 40.00,,21. 10.00,15. 22.00,2. 80.00,1998,boulder,MEN,250
9,10,Lamiche,Anthony,FRA,142.00,22. (9.00),10. 34.00,13. 26.00,11. 31.00,5. 51.00,17. (18.00),1998,boulder,MEN,36
10,11,Noe,Frédéric,FRA,134.00,9. 37.00,9. 37.00,,,10. 34.00,13. 26.00,1998,boulder,MEN,274
11,12,Jeandenand,Damien,FRA,127.00,10. 34.00,14. 24.00,15. 22.00,,23. (8.00),6. 47.00,1998,boulder,MEN,186
12,13,Fairfield,Timmy,CAN,120.00,23. 8.00,12. 28.00,9. 37.00,6. 47.00,29. (2.00),27. (4.00),1998,boulder,MEN,879
13,14,Langris,Sylvain,FRA,118.00,15. 22.00,7. 43.00,17. (18.00),,11. 31.00,15. 22.00,1998,boulder,MEN,833
14,15,Dutray,Mathieu,FRA,101.00,6. 47.00,16. 20.00,,15. 22.00,20. 12.00,,1998,boulder,MEN,562
15,16,Chemoulinkine,Serguei,RUS,86.00,,,,12. 28.00,14. 24.00,10. 34.00,1998,boulder,MEN,852
16,17,Danis,Jean Luc,FRA,80.00,8. 40.00,20. 12.00,,19. 14.00,19. 14.00,21. (10.00),1998,boulder,MEN,396
17,18,Fortin,Thibaut,FRA,75.00,27. 4.00,15. 22.00,20. 12.00,9. 37.00,,,1998,boulder,MEN,881
18,19,Meyer,Jérôme,FRA,74.00,11. 31.00,,,7. 43.00,,,1998,boulder,MEN,441
19,20,Nardi,Marzio,ITA,73.00,23. 8.00,,3. 65.00,,,,1998,boulder,MEN,602
20,21,Marnezy,David,FRA,66.00,,,,28. 3.00,16. 20.00,7. 43.00,1998,boulder,MEN,195
21,22,Dewilde,Paul,FRA,59.00,,,,,9. 37.00,15. 22.00,1998,boulder,MEN,696
22,23,Tcherechnev,Oleg,RUS,58.00,16. 20.00,,12. 28.00,25. 6.00,27. 4.00,,1998,boulder,MEN,673
23,24,Delais,Pierre,FRA,56.00,12. 28.00,,,,12. 28.00,,1998,boulder,MEN,858
24,25,Bresciani,Matteo,ITA,42.00,17. 18.00,21. 10.00,,,,19. 14.00,1998,boulder,MEN,552
25,26,Chau-Uhu,Olivier,FRA,40.00,,17. 18.00,,29. 2.00,17. 18.00,29. 2.00,1998,boulder,MEN,665
26,26,Zardini,Luca,ITA,40.00,,,8. 40.00,,,,1998,boulder,MEN,542
27,28,Kryvosheytsev,Yevgen,UKR,38.00,,,,26. 5.00,22. 9.00,14. 24.00,1998,boulder,MEN,227
28,29,Tron,Laurent,FRA,36.00,,,,16. 20.00,18. 16.00,,1998,boulder,MEN,538
29,30,Larthomas,Jacques,FRA,35.00,,,22. 9.00,13. 26.00,,,1998,boulder,MEN,433
30,31,Brenna,Cristian,ITA,34.00,,,10. 34.00,,,,1998,boulder,MEN,109
31,31,Bychkov,Dmitrii,RUS,34.00,,,18. 16.00,17. 18.00,,,1998,boulder,MEN,169
32,31,Lebreton,Olivier,FRA,34.00,19. 14.00,,,27. 4.00,23. 8.00,23. 8.00,1998,boulder,MEN,668
33,34,Giupponi,Luca,ITA,31.00,,,11. 31.00,,,,1998,boulder,MEN,514
34,35,Markevych,Petro,UKR,27.00,,,16. 20.00,24. 7.00,,,1998,boulder,MEN,717
35,35,Pecher,Antoine,FRA,27.00,,,,23. 8.00,21. 10.00,22. 9.00,1998,boulder,MEN,51
36,37,Chevieux,Elie,SUI,26.00,,13. 26.00,,,,,1998,boulder,MEN,219
37,37,Coroller,Frédéric,FRA,26.00,13. 26.00,,,,,,1998,boulder,MEN,247
38,39,Legal,Nicolas,FRA,24.00,14. 24.00,,,,,,1998,boulder,MEN,651
39,39,Ovchinnikov,Evgeny,RUS,24.00,,,,14. 24.00,,,1998,boulder,MEN,232
40,39,Scarian,Riccardo,ITA,24.00,,,14. 24.00,,,,1998,boulder,MEN,778
41,42,Chanourdie,Eric,FRA,18.00,,,,,25. 6.00,20. 12.00,1998,boulder,MEN,222
42,43,Auclair,François,FRA,17.00,30. 1.00,18. 16.00,,,,,1998,boulder,MEN,245
43,44,Bollinger,Pierre,FRA,16.00,,,,,,18. 16.00,1998,boulder,MEN,684
44,44,Clouet,Aymeric,FRA,16.00,18. 16.00,,,,,,1998,boulder,MEN,18
45,44,Vedenmeer,Andrey,UKR,16.00,,,,18. 16.00,,,1998,boulder,MEN,68
46,47,Petrenko,Maksym,UKR,14.00,,,19. 14.00,,,,1998,boulder,MEN,609
47,47,Trottmann,Matthias,SUI,14.00,,19. 14.00,,,,,1998,boulder,MEN,902
48,49,Briand,Baptiste,FRA,12.00,20. 12.00,,,,,,1998,boulder,MEN,72
49,49,Fuselier,Michaël,FRA,12.00,20. 12.00,,,,,,1998,boulder,MEN,567
50,49,Hasbani,Yves,FRA,12.00,,,,20. 12.00,,,1998,boulder,MEN,974
51,52,Cominotti,Giacomo,ITA,10.00,,,21. 10.00,,,,1998,boulder,MEN,286
52,53,Bossan,Emmanuel,FRA,9.00,,22. 9.00,,,,,1998,boulder,MEN,217
53,53,Paukaev,Alexandr,UKR,9.00,,,,22. 9.00,,,1998,boulder,MEN,49
54,55,Ceintre,Arnaud,FRA,8.00,23. 8.00,,,,,,1998,boulder,MEN,15
55,55,Gisler,David,SUI,8.00,,23. 8.00,,,,,1998,boulder,MEN,182
56,55,Marcotulli,Paolo,ITA,8.00,,,23. 8.00,,,,1998,boulder,MEN,718
57,58,Le Goff,Corentin,FRA,7.00,,24. 7.00,,,,,1998,boulder,MEN,138
58,58,Mawem,Bassa,FRA,7.00,,,,,,24. 7.00,1998,boulder,MEN,6
59,58,Tribout,Jean-Baptiste,FRA,7.00,,,24. 7.00,,,,1998,boulder,MEN,461
60,61,Bindhammer,Christian,GER,6.00,,,,,25. 6.00,,1998,boulder,MEN,112
61,61,Cervo,Filippo,ITA,6.00,,,25. 6.00,,,,1998,boulder,MEN,248
62,61,Fourteau,Jean-Marc,FRA,6.00,27. 4.00,30. 1.00,30. 1.00,,,,1998,boulder,MEN,407
63,61,Lauber,Andy,SUI,6.00,,25. 6.00,,,,,1998,boulder,MEN,37
64,61,Pinier,Nicolas,FRA,6.00,,,,,,25. 6.00,1998,boulder,MEN,653
65,66,Coenen,Oliver,BEL,5.00,,,,,,26. 5.00,1998,boulder,MEN,666
66,66,Hassler,Manuel,SUI,5.00,,26. 5.00,,,,,1998,boulder,MEN,575
67,66,Manarin,Massimo,ITA,5.00,,,26. 5.00,,,,1998,boulder,MEN,594
68,66,Schmid,Moritz,SUI,5.00,,26. 5.00,,,,,1998,boulder,MEN,625
69,70,Emprin,Christian,FRA,4.00,27. 4.00,,,,,,1998,boulder,MEN,126
70,70,Fichtinger,Reinhard,AUT,4.00,,,27. 4.00,,,,1998,boulder,MEN,757
71,70,Lamberti Bocconi,Alessandro,ITA,4.00,,,,,27. 4.00,,1998,boulder,MEN,35
72,70,Roumegoux,Christian,FRA,4.00,,,,,,27. 4.00,1998,boulder,MEN,148
73,74,Gusak,Igor,UKR,3.00,,,28. 3.00,,,,1998,boulder,MEN,354
74,74,Schönenberger,Urs,SUI,3.00,,28. 3.00,,,,,1998,boulder,MEN,933
75,76,Caspersen,Robert,NOR,2.00,,,,,29. 2.00,,1998,boulder,MEN,754
76,76,Faugere,Alexy,FRA,2.00,,,,,,29. 2.00,1998,boulder,MEN,25
77,76,Lagni,Bernardino,ITA,2.00,,,29. 2.00,,,,1998,boulder,MEN,87
78,76,Müller,Matthias,SUI,2.00,,29. 2.00,,,,,1998,boulder,MEN,2675
79,76,Siguier,Eric,FRA,2.00,,,,,,29. 2.00,1998,boulder,MEN,235
