,Rank,Name,Name.1,Nation,Points,Kranj (L) 19.11.2005,Valence (L) 27.10.2005,Shanghai (L+S) 22.10.2005,Marbella (L) 17.09.2005,Chamonix (L+S) 12.07.2005,Zürich (L) 24.06.2005,Imst (L) 27.05.2005,Puurs (L) 29.04.2005,Veliko Tarnovo (L+S) 23.04.2005,2005,event,gender
35,36,Chereshneva,Venera,RUS,28.00,,,12. 28.00,,,,,,,2005,lead,WOMEN
36,37,Ociepka,Kinga,POL,26.00,,,,,13. 26.00,,,,,2005,lead,WOMEN
37,38,Berry,Samantha,AUS,24.00,,,,,21. 10.00,19. 14.00,,,,2005,lead,WOMEN
38,38,Elez,Eva,ESP,24.00,,,,14. 24.00,,,,,,2005,lead,WOMEN
39,38,Korolkova,Ekaterina,RUS,24.00,,,14. 24.00,,,,,,,2005,lead,WOMEN
40,38,Zijlstra,Vera,NED,24.00,,,,,,,,14. 24.00,,2005,lead,WOMEN
41,42,Noguchi,Akiyo,JPN,22.00,,,15. 22.00,,,,,,,2005,lead,WOMEN
42,42,Rajfova,Silvie,CZE,22.00,15. 22.00,,,,,,,,,2005,lead,WOMEN
43,42,Ruh,Nadine,GER,22.00,,,,,,,28. 3.00,21. 10.00,22. 9.00,2005,lead,WOMEN
44,45,Huang,Bai-Le,TPE,20.00,25. 6.00,,,19. 14.00,,,,,,2005,lead,WOMEN
45,46,Hnizdilova,Sona,CZE,18.00,21. 10.00,,,,29. 2.00,25. 6.00,,,,2005,lead,WOMEN
46,46,Huang,Li-Ping,CHN,18.00,,,17. 18.00,,,,,,,2005,lead,WOMEN
47,46,OJEDA SANCHEZ,Daila,ESP,18.00,,,,17. 18.00,,,,,,2005,lead,WOMEN
48,46,Stöhr,Anna,AUT,18.00,,,,,,,17. 18.00,,,2005,lead,WOMEN
49,50,Etter,Susanne,SUI,17.00,,,,,,18. 16.00,30. 1.00,,,2005,lead,WOMEN
50,51,Anda Villanueva,Irati,ESP,16.00,,,,18. 16.00,,,,,,2005,lead,WOMEN
51,51,Iakovleva,Olga,RUS,16.00,,,,,,,,,18. 16.00,2005,lead,WOMEN
52,51,Uhden,Marietta,GER,16.00,,,,,,,18. 16.00,,,2005,lead,WOMEN
53,54,Largeron,Marine,FRA,15.00,,21. 10.00,,,26. 5.00,,,,,2005,lead,WOMEN
54,54,Louis,Stéphanie,SUI,15.00,,,,,,27. 4.00,24. 7.00,27. 4.00,,2005,lead,WOMEN
