,Rank,Name,Name.1,Nation,Points,57,56,58,59,1994,event,gender,athlete_id
0,1,Erbesfield,Robyn,USA,400.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1994,lead,WOMEN,1323
1,2,Patissier,Isabelle,FRA,253.00,12. 28.00,2. 80.00,3. 65.00,2. 80.00,1994,lead,WOMEN,1163
2,3,Richer,Natalie,FRA,220.00,2. 80.00,4. 55.00,10. 34.00,5. 51.00,1994,lead,WOMEN,1301
3,4,Sansoz,Liv,FRA,214.00,4. 55.00,3. 65.00,6. 47.00,6. 47.00,1994,lead,WOMEN,1222
4,5,Ovtchinnikova,Elena,USA,200.00,7. 43.00,20. 12.00,2. 80.00,3. 65.00,1994,lead,WOMEN,1101
5,6,Guillet,Marie,FRA,161.00,16. 20.00,6. 47.00,5. 51.00,7. 43.00,1994,lead,WOMEN,1242
6,7,Guyon,Laurence,FRA,116.00,3. 65.00,5. 51.00,,,1994,lead,WOMEN,1209
7,7,Inozemtseva,Yulia,RUS,116.00,17. 18.00,7. 43.00,4. 55.00,,1994,lead,WOMEN,1175
8,9,Sarkany,Muriel,BEL,108.00,9. 37.00,7. 43.00,12. 28.00,,1994,lead,WOMEN,1272
9,10,Cufar,Martina,SLO,106.00,6. 47.00,16. 20.00,23. 8.00,11. 31.00,1994,lead,WOMEN,1236
10,11,Striecks,Angela,GER,99.00,11. 31.00,15. 22.00,10. 34.00,20. 12.00,1994,lead,WOMEN,1020
11,12,Axon,Mia,USA,93.00,17. 18.00,16. 20.00,,4. 55.00,1994,lead,WOMEN,1230
12,13,Uhden,Marietta,GER,92.00,14. 24.00,10. 34.00,23. 8.00,13. 26.00,1994,lead,WOMEN,1277
13,14,Schlemmer,Tamara,GER,83.00,13. 26.00,11. 31.00,25. 6.00,16. 20.00,1994,lead,WOMEN,1379
14,15,Presson,Shelly,USA,81.00,23. 8.00,20. 12.00,14. 24.00,9. 37.00,1994,lead,WOMEN,1356
15,16,Guy,Naomi,GBR,80.00,8. 40.00,,20. 12.00,12. 28.00,1994,lead,WOMEN,1290
16,16,Lukancic,Metka,SLO,80.00,9. 37.00,7. 43.00,,,1994,lead,WOMEN,1251
17,18,Iovane,Luisa,ITA,76.00,14. 24.00,20. 12.00,,8. 40.00,1994,lead,WOMEN,1213
18,19,Butler,Felicity,GBR,66.00,5. 51.00,24. 7.00,,23. 8.00,1994,lead,WOMEN,1112
19,20,Kavoussi,Karin,AUT,65.00,21. 10.00,26. 5.00,12. 28.00,15. 22.00,1994,lead,WOMEN,1188
20,20,Raybaud,Nanette,FRA,65.00,21. 10.00,20. 12.00,7. 43.00,,1994,lead,WOMEN,1300
21,22,Jenkins,Ruth,GBR,52.00,30. 1.00,24. 7.00,16. 20.00,14. 24.00,1994,lead,WOMEN,1326
22,23,Chereshneva,Venera,RUS,51.00,,,9. 37.00,19. 14.00,1994,lead,WOMEN,1391
23,24,Pearsons,Silvia,GBR,48.00,20. 12.00,29. 2.00,,10. 34.00,1994,lead,WOMEN,1358
24,25,Stranska,Barbara,CZE,44.00,,13. 26.00,,17. 18.00,1994,lead,WOMEN,1039
25,26,Bibik,Olga,RUS,43.00,,,8. 40.00,28. 3.00,1994,lead,WOMEN,1308
26,27,Vallet,Catherine,FRA,38.00,,,15. 22.00,18. 16.00,1994,lead,WOMEN,1071
27,28,Choumilova,Elena,RUS,34.00,,12. 28.00,25. 6.00,,1994,lead,WOMEN,1106
28,29,Avezou,Cecile,FRA,30.00,29. 2.00,16. 20.00,,23. 8.00,1994,lead,WOMEN,1055
29,29,Linhartova,Eva,CZE,30.00,,,17. 18.00,20. 12.00,1994,lead,WOMEN,1097
30,31,Bodet,Stéphanie,FRA,28.00,,16. 20.00,,23. 8.00,1994,lead,WOMEN,1335
31,32,Palle,Isabelle,FRA,24.00,,14. 24.00,,,1994,lead,WOMEN,1164
32,33,Piszczek,Renata,POL,22.00,23. 8.00,,19. 14.00,,1994,lead,WOMEN,1329
33,34,Hilly,Margaux,FRA,20.00,23. 8.00,,,20. 12.00,1994,lead,WOMEN,1232
