,Rank,Name,Name.1,Nation,Points,1388,1381,1409,1380,1383,1382,1378,1376,1375,2012,event,gender,athlete_id
19,20,Söderlund,Matilda,SWE,85.00,,,,,19. 14.00,,,11. 31.00,8. 40.00,2012,lead,WOMEN,7661
20,21,van Bergen,Nikki,NED,70.00,15. 22.00,,,,16. 20.00,24. 7.00,18. 16.00,26. 5.00,,2012,lead,WOMEN,8196
21,22,Becerra,Mathilde,FRA,69.00,,,,,10. 34.00,26. 5.00,23. 8.00,20. 12.00,21. 10.00,2012,lead,WOMEN,9317
22,23,Chereshneva,Yana,RUS,68.00,,,,,,25. 6.00,10. 34.00,27. 4.00,14. 24.00,2012,lead,WOMEN,6324
23,24,Onoe,Aya,JPN,53.00,,16. 20.00,14. 24.00,,,,,23. 7.00,28. 2.00,2012,lead,WOMEN,9731
24,25,Stotz,Rebekka,SUI,50.00,17. 18.00,,,,,17. 18.00,25. 6.00,,23. 8.00,2012,lead,WOMEN,8878
25,26,Stütz,Christina,AUT,39.00,28. 3.00,,,,,20. 12.00,30. 1.00,19. 14.00,22. 9.00,2012,lead,WOMEN,7077
26,26,Tiripa,Ana,GER,39.00,19. 14.00,,,,,19. 14.00,22. 9.00,,28. 2.00,2012,lead,WOMEN,10742
27,28,Samoilina,Anastasiia,RUS,38.00,,,20. 12.00,13. 26.00,,,,,,2012,lead,WOMEN,10281
28,29,Ota,Risa,JPN,36.00,20. 12.00,14. 24.00,,,,,,,,2012,lead,WOMEN,9212
29,30,Eyer,Alexandra,SUI,35.00,,,,,,,20. 12.00,17. 18.00,26. 5.00,2012,lead,WOMEN,991
30,31,Dufraisse,Alizée,FRA,32.00,,,,,,,,13. 26.00,25. 6.00,2012,lead,WOMEN,6219
31,32,Lee,Hung Ying,TPE,31.00,,21. 10.00,24. 7.00,20. 12.00,,29. 2.00,,,,2012,lead,WOMEN,8122
32,33,Pilz,Jessica,AUT,30.00,16. 20.00,,,,,,21. 10.00,,,2012,lead,WOMEN,9970
33,34,Verhoeven,Anak,BEL,29.00,,,,,,15. 22.00,,,24. 7.00,2012,lead,WOMEN,9867
34,35,Eiter,Angela,AUT,28.00,,,,,,,11. 28.00,,,2012,lead,WOMEN,3487
35,35,Takeuchi,Ayaka,JPN,28.00,,19. 14.00,19. 14.00,,,,,,,2012,lead,WOMEN,10176
36,37,Saurwein,Katharina,AUT,26.00,13. 26.00,,,,,,,,,2012,lead,WOMEN,5244
37,38,RENQING,LaMu,CHN,24.00,,,,14. 24.00,,,,,,2012,lead,WOMEN,9191
38,39,PAN,Xuhua,CHN,20.00,,,,16. 20.00,,,,,,2012,lead,WOMEN,8787
39,39,Szekely,Andrea Brigitta,HUN,20.00,,,,,24. 7.00,21. 10.00,,28. 3.00,,2012,lead,WOMEN,6696
40,41,Baehr,Hannah,GER,19.00,18. 16.00,,,,,,28. 3.00,,,2012,lead,WOMEN,9837
41,42,Lin,Hsiu-Ju,TPE,18.00,,,,17. 18.00,,,,,,2012,lead,WOMEN,9262
42,42,Miller,Delaney,USA,18.00,,,,,17. 18.00,,,,,2012,lead,WOMEN,9673
43,44,Michelard,Laura,FRA,16.00,,,,,,,24. 7.00,21. 9.00,,2012,lead,WOMEN,9078
44,44,RenZeng,WangMu,CHN,16.00,,,,18. 16.00,,,,,,2012,lead,WOMEN,10089
45,44,Rude,Chelsea,USA,16.00,,,,,18. 16.00,,,,,2012,lead,WOMEN,5052
46,47,Hafsaas,Tina Johnsen,NOR,15.00,29. 1.00,,,,,22. 9.00,26. 5.00,,,2012,lead,WOMEN,9239
47,48,JIANG,Rong,CHN,14.00,,,,19. 14.00,,,,,,2012,lead,WOMEN,9190
48,48,Kazbekova,Ievgeniia,UKR,14.00,,,,,,,19. 14.00,,,2012,lead,WOMEN,9956
49,50,KIM,IN KYOUNG,KOR,13.00,,27. 4.00,22. 9.00,,,,,,,2012,lead,WOMEN,6791
50,51,Iida,Azumi,JPN,12.00,,20. 12.00,,,,,,,,2012,lead,WOMEN,9098
51,51,Thévenet,Marine,FRA,12.00,,,,,,,,,20. 12.00,2012,lead,WOMEN,6514
52,53,Chanourdie,Julia,FRA,10.00,,,,,,,27. 4.00,29. 2.00,27. 4.00,2012,lead,WOMEN,9984
53,53,Cho,Haimi,KOR,10.00,,,21. 10.00,,,,,,,2012,lead,WOMEN,11184
54,53,Himpel,Lina,GER,10.00,21. 10.00,,,,,,,,,2012,lead,WOMEN,9775
55,53,Sustersic,Tina,SLO,10.00,22. 9.00,,,,,,,30. 1.00,,2012,lead,WOMEN,8302
56,57,Lamarche,Iyma,CAN,9.00,,,,,22. 9.00,,,,,2012,lead,WOMEN,10085
57,57,Mizuguchi,Tsukasa,JPN,9.00,,22. 9.00,,,,,,,,2012,lead,WOMEN,9765
58,57,Romain,Salomé,FRA,9.00,,,,,,,,21. 9.00,,2012,lead,WOMEN,9985
59,60,Metcalf,Francesca,USA,8.00,,,,,23. 8.00,,,,,2012,lead,WOMEN,8212
60,60,Nadya Putri,Virgita,INA,8.00,,,23. 8.00,,,,,,,2012,lead,WOMEN,10732
61,60,Yasuda,Atori,JPN,8.00,,23. 8.00,,,,,,,,2012,lead,WOMEN,9099
62,63,Avezou,Cecile,FRA,7.00,,,,,,,,23. 7.00,,2012,lead,WOMEN,1055
63,63,Ebner,Andrea,ITA,7.00,24. 7.00,,,,,,,,,2012,lead,WOMEN,10001
64,63,Endo,Yuka,JPN,7.00,,24. 7.00,,,,,,,,2012,lead,WOMEN,5325
65,66,Kim,Solah,KOR,6.00,,,25. 6.00,,,,,,,2012,lead,WOMEN,10568
66,66,Osawa,Sakiko,JPN,6.00,,25. 6.00,,,,,,,,2012,lead,WOMEN,10066
67,66,Sethna,Elise,CAN,6.00,,,,,25. 6.00,,,,,2012,lead,WOMEN,9138
68,69,Condie,Kyra,USA,5.00,,,,,26. 5.00,,,,,2012,lead,WOMEN,11374
69,69,Sakakibara,Yuko,JPN,5.00,,26. 5.00,,,,,,,,2012,lead,WOMEN,5360
70,69,Syarifah,Abdul Rohma,INA,5.00,,,26. 5.00,,,,,,,2012,lead,WOMEN,10731
71,72,Caulier,Chloe,BEL,4.00,,,,,,27. 4.00,,,,2012,lead,WOMEN,9945
72,72,SA,Sol,KOR,4.00,27. 4.00,,,,,,,,,2012,lead,WOMEN,9266
73,72,Song,Hannarai,KOR,4.00,,,27. 4.00,,,,,,,2012,lead,WOMEN,9196
74,72,Wilson,Tegan,USA,4.00,,,,,27. 4.00,,,,,2012,lead,WOMEN,10139
75,76,Lanz,Tanja,SUI,3.00,,,,,,28. 3.00,,,,2012,lead,WOMEN,9416
76,76,Metsugi,Yoko,JPN,3.00,,28. 3.00,,,,,,,,2012,lead,WOMEN,5838
77,76,Savchenko,Ganna,UKR,3.00,,,,,28. 3.00,,,,,2012,lead,WOMEN,7274
78,79,Cartwright,Victoria,USA,2.00,,,,,29. 2.00,,,,,2012,lead,WOMEN,8676
79,79,Jeong,Woonwha,KOR,2.00,,,28. 2.00,,,,,,,2012,lead,WOMEN,6788
80,79,Kim,Hyojung,KOR,2.00,,,28. 2.00,,,,,,,2012,lead,WOMEN,9423
81,79,Sandbu,Maria Davies,NOR,2.00,,,,,,,29. 2.00,,,2012,lead,WOMEN,9439
82,83,Buma,Tabitha,NED,1.00,,,,,,30. 1.00,,,,2012,lead,WOMEN,9486
83,83,Juen,Soyoung,KOR,1.00,,,30. 1.00,,,,,,,2012,lead,WOMEN,11519
84,83,Kalan,Tjasa,SLO,1.00,29. 1.00,,,,,,,,,2012,lead,WOMEN,10826
85,83,Metcalf,Amelia,USA,1.00,,,,,30. 1.00,,,,,2012,lead,WOMEN,10136
86,83,Terenteva,Galina,RUS,1.00,,,,,,,,,30. 1.00,2012,lead,WOMEN,8413
