,Rank,Name,Name.1,Nation,Points,Munich 19.08.2011,Sheffield 02.07.2011,Barcelona 25.06.2011,Eindhoven 17.06.2011,Vail 03.06.2011,Canmore 27.05.2011,Vienna 13.05.2011,Log-Dragomer 07.05.2011,Milano 14.04.2011,2011,event,gender
43,44,Sanders,Courtney,USA,30.00,,21. 10.00,25. 6.00,,28. 2.00,20. 12.00,,,,2011,boulder,WOMEN
44,45,Stotz,Rebekka,SUI,29.00,,,,,,,16. 19.00,,21. 10.00,2011,boulder,WOMEN
45,46,Hensley,Tiffany,USA,28.00,,,,,12. 28.00,,,,,2011,boulder,WOMEN
46,47,Youngwerth,Tyler,USA,26.00,,,,,13. 26.00,,,,,2011,boulder,WOMEN
47,48,Asher,Elizabeth,USA,24.00,,,,,,14. 24.00,,,,2011,boulder,WOMEN
48,48,Hagiwara,Asaki,JPN,24.00,,,,,21. 10.00,24. 7.00,,,23. 7.00,2011,boulder,WOMEN
49,48,Kaiser,Clementine,FRA,24.00,,,19. 14.00,21. 10.00,,,,,,2011,boulder,WOMEN
50,51,Schwab,Tabea,SUI,23.00,,,,20. 12.00,,,,25. 6.00,26. 5.00,2011,boulder,WOMEN
51,52,DiGiulian,Sasha,USA,22.00,15. 22.00,,,,,,,,,2011,boulder,WOMEN
52,52,Nevelikova,Karolina,CZE,22.00,22. 8.00,,,,,,,19. 14.00,,2011,boulder,WOMEN
53,52,Rohner,Amanda,SUI,22.00,,,15. 22.00,,,,,,,2011,boulder,WOMEN
54,55,Weldon,Stacey,CAN,20.00,,,,,,16. 20.00,,,,2011,boulder,WOMEN
55,55,Winter,Julia,GER,20.00,16. 20.00,,,,,,,,,2011,boulder,WOMEN
56,57,Carpenter,Thirza,CAN,18.00,,,,,,17. 18.00,,,,2011,boulder,WOMEN
57,57,Malamid,Evgeniia,RUS,18.00,,,,,,,,,17. 18.00,2011,boulder,WOMEN
58,57,Rude,Chelsea,USA,18.00,,,,,17. 18.00,,,,,2011,boulder,WOMEN
59,57,Tunyavanich,Puntarika,THA,18.00,17. 18.00,,,,,,,,,2011,boulder,WOMEN
60,61,Kadic,Katja,SLO,16.00,,,,,,,,18. 16.00,,2011,boulder,WOMEN
61,61,Modrzejewska,Agata,POL,16.00,18. 16.00,,,,,,,,,2011,boulder,WOMEN
