,Rank,Name,Name.1,Nation,Points,30,32,33,34,31,1997,event,gender,athlete_id
0,1,Sarkany,Muriel,BEL,427.00,1. 100.00,2. 80.00,6. 47.00,1. 100.00,1. 100.00,1997,lead,WOMEN,1272
1,2,Sansoz,Liv,FRA,360.00,2. 80.00,1. 100.00,1. 100.00,2. 80.00,,1997,lead,WOMEN,1222
2,3,Bodet,Stéphanie,FRA,297.00,6. 47.00,3. 65.00,4. 55.00,3. 65.00,3. 65.00,1997,lead,WOMEN,1335
3,4,Choumilova,Elena,RUS,277.00,8. 40.00,4. 55.00,2. 80.00,5. 51.00,5. 51.00,1997,lead,WOMEN,1106
4,5,Cufar,Martina,SLO,241.00,11. 31.00,6. 47.00,8. 40.00,7. 43.00,2. 80.00,1997,lead,WOMEN,1236
5,6,Richer,Natalie,FRA,234.00,5. 51.00,5. 51.00,5. 51.00,13. 26.00,4. 55.00,1997,lead,WOMEN,1301
6,7,Avezou,Cecile,FRA,221.00,4. 55.00,8. 40.00,12. 28.00,4. 55.00,7. 43.00,1997,lead,WOMEN,1055
7,8,Uhden,Marietta,GER,191.00,3. 65.00,14. 24.00,3. 65.00,9. 37.00,,1997,lead,WOMEN,1277
8,9,Schultz,Annatina,SUI,147.00,13. 26.00,16. 20.00,16. 20.00,6. 47.00,10. 34.00,1997,lead,WOMEN,3870
9,10,Go,Mi-Sun,KOR,140.00,,10. 34.00,13. 26.00,8. 40.00,8. 40.00,1997,lead,WOMEN,1273
10,11,Hilly,Margaux,FRA,136.00,10. 34.00,9. 37.00,10. 34.00,11. 31.00,,1997,lead,WOMEN,1232
11,12,Gronkiewicz-Marcisz,Iwona,POL,130.00,9. 37.00,18. 16.00,7. 43.00,10. 34.00,,1997,lead,WOMEN,1157
12,13,Guillet,Marie,FRA,120.00,16. 20.00,11. 31.00,11. 31.00,20. 12.00,13. 26.00,1997,lead,WOMEN,1242
13,14,Iovane,Luisa,ITA,116.00,26. 5.00,13. 26.00,9. 37.00,14. 24.00,14. 24.00,1997,lead,WOMEN,1213
14,15,Pigneur,Delphine,FRA,103.00,18. 16.00,17. 18.00,17. 18.00,16. 20.00,11. 31.00,1997,lead,WOMEN,1080
15,16,Benetti,Lisa,ITA,80.00,19. 14.00,19. 14.00,14. 24.00,25. 6.00,15. 22.00,1997,lead,WOMEN,1203
16,17,Raffetseder,Gerda,AUT,73.00,23. 8.00,7. 43.00,23. 8.00,19. 14.00,,1997,lead,WOMEN,1135
17,18,Bereciartu Urruzola,Josune,ESP,65.00,12. 28.00,,15. 22.00,21. 10.00,26. 5.00,1997,lead,WOMEN,1171
18,19,Stremfelj,Katarina,SLO,64.00,14. 24.00,23. 8.00,19. 14.00,,17. 18.00,1997,lead,WOMEN,1196
