,Rank,Name,Name.1,Nation,Points,Munich 19.08.2011,Sheffield 02.07.2011,Barcelona 25.06.2011,Eindhoven 17.06.2011,Vail 03.06.2011,Canmore 27.05.2011,Vienna 13.05.2011,Log-Dragomer 07.05.2011,Milano 14.04.2011,2011,event,gender
42,43,Sethna,Eric,CAN,34.00,29. 1.00,,,,24. 7.00,13. 26.00,,,,2011,boulder,MEN
43,44,Gerland,Bastien,FRA,32.00,23. 6.00,,,13. 26.00,,,,,,2011,boulder,MEN
44,45,Bonder,Jeremy,FRA,31.00,,,27. 3.00,20. 12.00,,,17. 16.00,,,2011,boulder,MEN
45,46,Svub,Ondrej,SVK,29.00,,,,,,,29. 1.00,12. 28.00,,2011,boulder,MEN
46,47,Geiman,Austin,USA,28.00,,,,,12. 28.00,,,,,2011,boulder,MEN
47,48,Dory,Ian,USA,27.00,,21. 9.00,,,17. 18.00,,,,,2011,boulder,MEN
48,48,Hemund,Kevin,SUI,27.00,,,25. 5.00,,,,,,15. 22.00,2011,boulder,MEN
49,50,Callender,Nigel,IRL,24.00,,14. 24.00,,,,,,,,2011,boulder,MEN
50,50,Lerner,Zach,USA,24.00,,,,,14. 24.00,,,,,2011,boulder,MEN
51,50,Müller,Matthias,SUI,24.00,,,,,,,,14. 24.00,,2011,boulder,MEN
52,53,Becan,Jure,SLO,23.00,,,,,,,,18. 16.00,23. 7.00,2011,boulder,MEN
53,54,Core,Christian,ITA,22.00,,15. 22.00,,,,,,,,2011,boulder,MEN
54,55,Gullsten,Anthony,FIN,21.00,15. 21.00,,,,,,,,,2011,boulder,MEN
55,55,Kim,Jaha,KOR,21.00,,,,,22. 9.00,20. 12.00,,,,2011,boulder,MEN
56,57,Pringle,Ethan,USA,20.00,,,,,,,16. 20.00,,,2011,boulder,MEN
57,58,Muller,Josh,CAN,16.00,,,,,,18. 16.00,,,,2011,boulder,MEN
58,59,Hequin,Olivier,FRA,15.00,,,,,,,,,18. 15.00,2011,boulder,MEN
59,60,Nevelik,Ondrej,CZE,14.00,,,,,,,21. 9.00,25. 5.00,,2011,boulder,MEN
60,60,Paholek,Terry,CAN,14.00,,,,,,19. 14.00,,,,2011,boulder,MEN
61,60,Skofic,Domen,SLO,14.00,,,,,,,,19. 14.00,,2011,boulder,MEN
62,60,Traversi,Carlo,USA,14.00,,,,,19. 14.00,,,,,2011,boulder,MEN
63,64,TARRAZONA GASQUE,Ignasi,ESP,13.00,20. 11.00,29. 1.00,29. 1.00,,,,,,,2011,boulder,MEN
64,65,Catari,Carlos,VEN,12.00,,,20. 12.00,,,,,,,2011,boulder,MEN
65,66,Macias Matutano,Bruno,ESP,10.00,,,,,,,,21. 10.00,,2011,boulder,MEN
66,66,Sugita,Masatoshi,JPN,10.00,,,,,29. 1.00,22. 9.00,,,,2011,boulder,MEN
67,66,Ter-Minasyan,Arman,RUS,10.00,,,23. 7.00,27. 2.00,,,,,29. 1.00,2011,boulder,MEN
68,69,Ceria,Niccolo',ITA,9.00,,21. 9.00,,,,,,,,2011,boulder,MEN
69,69,Garden,James,GBR,9.00,22. 9.00,,,,,,,,,2011,boulder,MEN
70,69,Johansonn,Anton,FIN,9.00,,,,,,,,22. 9.00,,2011,boulder,MEN
71,69,Würth,Peter,GER,9.00,,29. 1.00,,,,23. 8.00,,,,2011,boulder,MEN
72,69,de Kock,Arjan,RSA,9.00,,,,,,,21. 9.00,,,2011,boulder,MEN
73,74,Difelice,Andre,CAN,7.00,,,,,26. 5.00,29. 2.00,,,,2011,boulder,MEN
74,74,Rudigier,Max,AUT,7.00,,,,,,,,,23. 7.00,2011,boulder,MEN
75,76,Gagneux,Pascal,FRA,6.00,23. 6.00,,,,,,,,,2011,boulder,MEN
76,76,Kim,Jabee,KOR,6.00,,,,,,25. 6.00,,,,2011,boulder,MEN
